asin,week_start_date,weekly_salesrank,解像度,サイズ,価格,ズーム性能,カテゴリ
B07GZGNTXZ,2023/1/1,8466,14,17,26,23,77
B07GZGNTXZ,2023/1/8,8489,15,18,25,24,75
B07GZGNTXZ,2023/1/15,13343,14,16,25,24,75
B07GZGNTXZ,2023/1/22,10648,13,15,26,23,71
B07GZGNTXZ,2023/1/29,16074,15,18,27,27,73
B07GZGNTXZ,2023/2/5,15455,15,18,30,24,78
B07GZGNTXZ,2023/2/12,12159,15,16,27,25,79
B07GZGNTXZ,2023/2/19,14489,14,18,29,25,99
B07GZGNTXZ,2023/2/26,8575,14,18,27,23,84
B07GZGNTXZ,2023/3/5,6038,16,20,25,23,87
B07GZGNTXZ,2023/3/12,11207,14,17,25,23,83
B07GZGNTXZ,2023/3/19,4763,15,19,27,23,76
B07GZGNTXZ,2023/3/26,9499,16,17,24,23,83
B07GZGNTXZ,2023/4/2,17341,15,17,23,22,82
B07GZGNTXZ,2023/4/9,12600,13,17,24,23,82
B07GZGNTXZ,2023/4/16,10752,16,17,28,23,84
B07GZGNTXZ,2023/4/23,11681,15,16,25,22,85
B07GZGNTXZ,2023/4/30,1195,15,17,26,23,89
B07GZGNTXZ,2023/5/7,7886,16,16,31,27,80
B07GZGNTXZ,2023/5/14,2787,16,18,27,22,83
B07GZGNTXZ,2023/5/21,10304,15,19,26,24,88
B07GZGNTXZ,2023/5/28,8989,14,18,23,22,81
B07GZGNTXZ,2023/6/4,8717,16,17,24,22,83
B07GZGNTXZ,2023/6/11,12719,18,16,26,27,74
B07GZGNTXZ,2023/6/18,14961,17,16,26,23,75
B07GZGNTXZ,2023/6/25,13116,14,15,22,24,74
B07GZGNTXZ,2023/7/2,11475,15,15,23,24,70
B07GZGNTXZ,2023/7/9,15748,15,17,24,24,76
B07GZGNTXZ,2023/7/16,17645,15,16,23,23,73
B07GZGNTXZ,2023/7/23,9315,14,15,23,25,74
B07GZGNTXZ,2023/7/30,9315,14,16,24,26,79
B07GZGNTXZ,2023/8/6,9683,14,15,23,24,76
B07GZGNTXZ,2023/8/13,29087,16,16,22,23,74
B07GZGNTXZ,2023/8/20,16441,14,15,22,25,75
B07GZGNTXZ,2023/8/27,15697,16,19,25,26,85
B07GZGNTXZ,2023/9/3,13767,14,18,25,25,79
B07GZGNTXZ,2023/9/10,22314,15,27,34,32,100
B07GZGNTXZ,2023/9/17,14341,16,24,35,33,87
B07GZGNTXZ,2023/9/24,21022,16,27,34,31,91
B07GZGNTXZ,2023/10/1,18070,16,23,30,31,94
B07GZGNTXZ,2023/10/8,16980,16,24,33,27,88
B07GZGNTXZ,2023/10/15,15014,15,22,26,27,85
B07GZGNTXZ,2023/10/22,13482,16,22,28,28,89
B07GZGNTXZ,2023/10/29,9418,16,21,29,27,90
B07GZGNTXZ,2023/11/5,15945,16,21,28,26,94
B07GZGNTXZ,2023/11/12,13517,13,19,26,25,81
B07GZGNTXZ,2023/11/19,10598,15,18,26,26,83
B07GZGNTXZ,2023/11/26,11307,16,20,26,28,87
B07GZGNTXZ,2023/12/3,24828,15,19,26,27,83
B07GZGNTXZ,2023/12/10,18621,15,18,28,28,79
B07GZGNTXZ,2023/12/17,11116,14,18,23,25,72
B07GZGNTXZ,2023/12/24,11902,12,16,23,21,66
B07GZGNTXZ,2023/12/31,16953,15,18,24,22,72
B07GZGNTXZ,2024/1/7,8106,16,18,24,25,72
B07GZGNTXZ,2024/1/14,16897,15,20,23,25,76
B07GZGNTXZ,2024/1/21,13705,14,17,23,26,79
B07GZGNTXZ,2024/1/28,15912,14,19,25,26,82
B07GZGNTXZ,2024/2/4,10543,15,18,24,27,81
B07GZGNTXZ,2024/2/11,17519,15,21,25,25,84
B07GZGNTXZ,2024/2/18,14712,15,20,26,26,88
B07GZGNTXZ,2024/2/25,17540,15,20,24,27,77
B07GZGNTXZ,2024/3/3,13845,15,22,26,26,84
B07GZGNTXZ,2024/3/10,17110,16,21,25,27,91
B07GZGNTXZ,2024/3/17,6410,15,21,27,27,91
B07GZGNTXZ,2024/3/24,6446,15,19,24,24,90
B07GZGNTXZ,2024/3/31,11413,14,19,24,23,86
B07GZGNTXZ,2024/4/7,8363,16,20,22,25,92
B07GZGNTXZ,2024/4/14,8143,18,19,23,28,94
B07GZGNTXZ,2024/4/21,12411,15,20,24,26,90
B07GZGNTXZ,2024/4/28,10140,17,21,25,26,98
B07GZGNTXZ,2024/5/5,13425,16,21,24,28,95
B07GZGNTXZ,2024/5/12,10754,17,22,26,26,94
B07GZGNTXZ,2024/5/19,13172,19,20,28,26,96
B07GZGNTXZ,2024/5/26,20285,15,19,24,26,89
B07GZGNTXZ,2024/6/2,8176,15,19,23,26,89
B07GZGNTXZ,2024/6/9,12419,16,17,22,25,84
B07GZGNTXZ,2024/6/16,17212,15,16,23,26,85
B07GZGNTXZ,2024/6/23,21121,15,16,23,27,76
B07GZGNTXZ,2024/6/30,12161,16,15,23,27,81
B07GZGNTXZ,2024/7/7,15158,14,15,21,23,78
B07GZGNTXZ,2024/7/14,39069,16,15,21,25,85
B07GZGNTXZ,2024/7/21,21202,14,16,20,25,74
B07GZGNTXZ,2024/7/28,12425,13,15,21,23,73
B07GZGNTXZ,2024/8/4,12255,15,14,19,22,74
B07GZGNTXZ,2024/8/11,14295,13,16,22,23,76
B07GZGNTXZ,2024/8/18,13542,16,16,22,24,79
B07GZGNTXZ,2024/8/25,9692,15,14,22,25,74
B07GZGNTXZ,2024/9/1,5094,16,16,22,25,77
B07GZGNTXZ,2024/9/8,18599,17,24,30,28,85
B07GZGNTXZ,2024/9/15,18484,16,23,27,28,89
B07GZGNTXZ,2024/9/22,26558,15,24,28,27,85
B07GZGNTXZ,2024/9/29,13602,15,21,24,25,85
B07GZGNTXZ,2024/10/6,19766,14,22,24,27,87
B07GZGNTXZ,2024/10/13,24148,16,23,25,27,95
B07GZGNTXZ,2024/10/20,28551,17,20,25,27,87
B07GZGNTXZ,2024/10/27,28869,14,19,23,27,86
B07GZGNTXZ,2024/11/3,14929,16,20,25,28,91
B07GZGNTXZ,2024/11/10,10217,17,19,25,26,90
B07GZGNTXZ,2024/11/17,19588,17,19,22,26,87
B07GZGNTXZ,2024/11/24,30939,16,19,24,26,89
B07GZGNTXZ,2024/12/1,31739,18,20,26,29,89
B07GZGNTXZ,2024/12/8,16974,17,19,25,26,88
B07GZGNTXZ,2024/12/15,23091,16,18,24,28,85
B07GZGNTXZ,2024/12/22,16261,15,15,21,26,76
B07GZGNTXZ,2024/12/29,20591,16,18,23,21,85
B07GZGNTXZ,2025/1/5,10880,16,20,24,26,79
B07GZGNTXZ,2025/1/12,76156,15,19,23,28,83
B07GZGNTXZ,2025/1/19,21066,15,18,22,27,81
B07GZGNTXZ,2025/1/26,91769,15,18,21,26,82
B07GZGNTXZ,2025/2/2,30232,15,17,24,26,83
B07GZGNTXZ,2025/2/9,31896,16,19,25,27,81
B07GZGNTXZ,2025/2/16,36086,15,21,26,30,87
B07GZGNTXZ,2025/2/23,28319,16,22,26,27,91
B07GZGNTXZ,2025/3/2,44421,17,18,25,28,89
B07GZGNTXZ,2025/3/9,21247,16,19,23,26,89
B07GZGNTXZ,2025/3/16,36154,18,21,27,29,89
B07GZGNTXZ,2025/3/23,41269,16,20,26,27,86
B07GZGNTXZ,2025/3/30,35357,15,19,25,25,84
B07GZGNTXZ,2025/4/6,29074,16,21,22,28,87
B07GZGNTXZ,2025/4/13,36686,18,17,24,26,83
B07GZGNTXZ,2025/4/20,180109,15,16,23,24,83
B07GZGNTXZ,2025/4/27,188876,17,22,25,23,90
B07GZGNTXZ,2025/5/4,186289,16,21,23,25,91
B07GZGNTXZ,2025/5/11,41417,17,20,25,27,86
B07GZGNTXZ,2025/5/18,74054,17,18,24,25,85
B07GZGNTXZ,2025/5/25,49655,18,18,24,24,89
B07GZGNTXZ,2025/6/1,54996,15,18,22,26,81
B07GZGNTXZ,2025/6/8,70520,16,17,22,26,79
B07GZGNTXZ,2025/6/15,45501,15,16,20,26,76
B07GZGNTXZ,2025/6/22,46800,15,16,22,24,72
B07GZGNTXZ,2025/6/29,84773,16,15,20,24,74
B07GZGNTXZ,2025/7/6,168347,15,16,22,24,73
B07GZGNTXZ,2025/7/13,79189,16,16,21,24,72
B07GZGNTXZ,2025/7/20,80439,15,15,22,24,76
B07GZGNTXZ,2025/7/27,85783,14,14,20,24,71
B07GZGNTXZ,2025/8/3,135419,16,15,20,23,79
B07GZGNTXZ,2025/8/10,241337,17,15,21,22,76
B07GZGNTXZ,2025/8/17,83146,17,17,24,24,85
B07GZGNTXZ,2025/8/24,59456,17,17,21,24,83
B07GZGNTXZ,2025/8/31,84251,17,18,21,24,84
B07GZGNTXZ,2025/9/7,80097,17,29,29,30,85
B07GZGNTXZ,2025/9/14,13217,16,27,27,26,81
B07GZGNTXZ,2025/9/21,11433,16,22,24,25,81
B07GZGNTXZ,2025/9/28,13089,16,22,24,27,83
B07GZGNTXZ,2025/10/5,15009,16,23,23,27,82
B07GZGNTXZ,2025/10/12,13254,16,21,22,24,86
B07GZGNTXZ,2025/10/19,17810,15,21,24,25,77
B07GZGNTXZ,2025/10/26,11217,15,18,22,25,75
B07GZGNTXZ,2025/11/2,8914,14,20,22,26,77
B07GZGNTXZ,2025/11/9,11525,14,19,23,25,75
B07GZGNTXZ,2025/11/16,16340,15,18,23,26,76
B07GZGNTXZ,2025/11/23,19668,16,21,24,25,83
B07GZGNTXZ,2025/11/30,21320,16,17,23,26,79
B07GZGNTXZ,2025/12/7,16619,17,17,23,24,83
B07GZGNTXZ,2025/12/14,18100,16,16,23,25,81
B07GZGNTXZ,2025/12/21,13244,14,15,21,22,84
B07GZGNTXZ,2025/12/28,15126,15,18,23,21,81
