asin,week_start_date,weekly_salesrank,解像度,サイズ,価格,ズーム性能,カテゴリ
B07SLXZCBW,2023/1/1,5383,14,17,26,23,77
B07SLXZCBW,2023/1/8,3402,15,18,25,24,75
B07SLXZCBW,2023/1/15,3596,14,16,25,24,75
B07SLXZCBW,2023/1/22,3116,13,15,26,23,71
B07SLXZCBW,2023/1/29,3512,15,18,27,27,73
B07SLXZCBW,2023/2/5,1958,15,18,30,24,78
B07SLXZCBW,2023/2/12,2451,15,16,27,25,79
B07SLXZCBW,2023/2/19,2951,14,18,29,25,99
B07SLXZCBW,2023/2/26,5227,14,18,27,23,84
B07SLXZCBW,2023/3/5,1958,16,20,25,23,87
B07SLXZCBW,2023/3/12,3708,14,17,25,23,83
B07SLXZCBW,2023/3/19,3229,15,19,27,23,76
B07SLXZCBW,2023/3/26,2397,16,17,24,23,83
B07SLXZCBW,2023/4/2,4435,15,17,23,22,82
B07SLXZCBW,2023/4/9,2732,13,17,24,23,82
B07SLXZCBW,2023/4/16,3131,16,17,28,23,84
B07SLXZCBW,2023/4/23,2688,15,16,25,22,85
B07SLXZCBW,2023/4/30,3043,15,17,26,23,89
B07SLXZCBW,2023/5/7,2172,16,16,31,27,80
B07SLXZCBW,2023/5/14,5078,16,18,27,22,83
B07SLXZCBW,2023/5/21,2065,15,19,26,24,88
B07SLXZCBW,2023/5/28,2001,14,18,23,22,81
B07SLXZCBW,2023/6/4,2427,16,17,24,22,83
B07SLXZCBW,2023/6/11,2510,18,16,26,27,74
B07SLXZCBW,2023/6/18,3965,17,16,26,23,75
B07SLXZCBW,2023/6/25,2095,14,15,22,24,74
B07SLXZCBW,2023/7/2,1725,15,15,23,24,70
B07SLXZCBW,2023/7/9,2326,15,17,24,24,76
B07SLXZCBW,2023/7/16,2381,15,16,23,23,73
B07SLXZCBW,2023/7/23,2537,14,15,23,25,74
B07SLXZCBW,2023/7/30,3855,14,16,24,26,79
B07SLXZCBW,2023/8/6,4511,14,15,23,24,76
B07SLXZCBW,2023/8/13,676,16,16,22,23,74
B07SLXZCBW,2023/8/20,4393,14,15,22,25,75
B07SLXZCBW,2023/8/27,3964,16,19,25,26,85
B07SLXZCBW,2023/9/3,3371,14,18,25,25,79
B07SLXZCBW,2023/9/10,3000,15,27,34,32,100
B07SLXZCBW,2023/9/17,5865,16,24,35,33,87
B07SLXZCBW,2023/9/24,6258,16,27,34,31,91
B07SLXZCBW,2023/10/1,4393,16,23,30,31,94
B07SLXZCBW,2023/10/8,6561,16,24,33,27,88
B07SLXZCBW,2023/10/15,7687,15,22,26,27,85
B07SLXZCBW,2023/10/22,4835,16,22,28,28,89
B07SLXZCBW,2023/10/29,5095,16,21,29,27,90
B07SLXZCBW,2023/11/5,6390,16,21,28,26,94
B07SLXZCBW,2023/11/12,8672,13,19,26,25,81
B07SLXZCBW,2023/11/19,23016,15,18,26,26,83
B07SLXZCBW,2023/11/26,18490,16,20,26,28,87
B07SLXZCBW,2023/12/3,14847,15,19,26,27,83
B07SLXZCBW,2023/12/10,19450,15,18,28,28,79
B07SLXZCBW,2023/12/17,18775,14,18,23,25,72
B07SLXZCBW,2023/12/24,10414,12,16,23,21,66
B07SLXZCBW,2023/12/31,30648,15,18,24,22,72
B07SLXZCBW,2024/1/7,13405,16,18,24,25,72
B07SLXZCBW,2024/1/14,6423,15,20,23,25,76
B07SLXZCBW,2024/1/21,7608,14,17,23,26,79
B07SLXZCBW,2024/1/28,12250,14,19,25,26,82
B07SLXZCBW,2024/2/4,17057,15,18,24,27,81
B07SLXZCBW,2024/2/11,18763,15,21,25,25,84
B07SLXZCBW,2024/2/18,9495,15,20,26,26,88
B07SLXZCBW,2024/2/25,16114,15,20,24,27,77
B07SLXZCBW,2024/3/3,9724,15,22,26,26,84
B07SLXZCBW,2024/3/10,8471,16,21,25,27,91
B07SLXZCBW,2024/3/17,11086,15,21,27,27,91
B07SLXZCBW,2024/3/24,9802,15,19,24,24,90
B07SLXZCBW,2024/3/31,12280,14,19,24,23,86
B07SLXZCBW,2024/4/7,8331,16,20,22,25,92
B07SLXZCBW,2024/4/14,11674,18,19,23,28,94
B07SLXZCBW,2024/4/21,9195,15,20,24,26,90
B07SLXZCBW,2024/4/28,8983,17,21,25,26,98
B07SLXZCBW,2024/5/5,12987,16,21,24,28,95
B07SLXZCBW,2024/5/12,12008,17,22,26,26,94
B07SLXZCBW,2024/5/19,15508,19,20,28,26,96
B07SLXZCBW,2024/5/26,16362,15,19,24,26,89
B07SLXZCBW,2024/6/2,11596,15,19,23,26,89
B07SLXZCBW,2024/6/9,8169,16,17,22,25,84
B07SLXZCBW,2024/6/16,8706,15,16,23,26,85
B07SLXZCBW,2024/6/23,15440,15,16,23,27,76
B07SLXZCBW,2024/6/30,10516,16,15,23,27,81
B07SLXZCBW,2024/7/7,7874,14,15,21,23,78
B07SLXZCBW,2024/7/14,14161,16,15,21,25,85
B07SLXZCBW,2024/7/21,9831,14,16,20,25,74
B07SLXZCBW,2024/7/28,7579,13,15,21,23,73
B07SLXZCBW,2024/8/4,15335,15,14,19,22,74
B07SLXZCBW,2024/8/11,14486,13,16,22,23,76
B07SLXZCBW,2024/8/18,9581,16,16,22,24,79
B07SLXZCBW,2024/8/25,11523,15,14,22,25,74
B07SLXZCBW,2024/9/1,20440,16,16,22,25,77
B07SLXZCBW,2024/9/8,17906,17,24,30,28,85
B07SLXZCBW,2024/9/15,16828,16,23,27,28,89
B07SLXZCBW,2024/9/22,15650,15,24,28,27,85
