asin,week_start_date,weekly_salesrank,解像度,サイズ,価格,ズーム性能,カテゴリ
B07V6DHHRX,2023/1/1,24790,14,17,26,23,77
B07V6DHHRX,2023/1/8,28755,15,18,25,24,75
B07V6DHHRX,2023/1/15,20762,14,16,25,24,75
B07V6DHHRX,2023/1/22,12217,13,15,26,23,71
B07V6DHHRX,2023/1/29,15596,15,18,27,27,73
B07V6DHHRX,2023/2/5,25742,15,18,30,24,78
B07V6DHHRX,2023/2/12,14113,15,16,27,25,79
B07V6DHHRX,2023/2/19,8749,14,18,29,25,99
B07V6DHHRX,2023/2/26,17732,14,18,27,23,84
B07V6DHHRX,2023/3/5,15893,16,20,25,23,87
B07V6DHHRX,2023/3/12,15984,14,17,25,23,83
B07V6DHHRX,2023/3/19,9248,15,19,27,23,76
B07V6DHHRX,2023/3/26,42585,16,17,24,23,83
B07V6DHHRX,2023/4/2,25479,15,17,23,22,82
B07V6DHHRX,2023/4/9,13562,13,17,24,23,82
B07V6DHHRX,2023/4/16,14976,16,17,28,23,84
B07V6DHHRX,2023/4/23,14699,15,16,25,22,85
B07V6DHHRX,2023/4/30,8767,15,17,26,23,89
B07V6DHHRX,2023/5/7,9404,16,16,31,27,80
B07V6DHHRX,2023/5/14,7265,16,18,27,22,83
B07V6DHHRX,2023/5/21,6797,15,19,26,24,88
B07V6DHHRX,2023/5/28,9460,14,18,23,22,81
B07V6DHHRX,2023/6/4,2139,16,17,24,22,83
B07V6DHHRX,2023/6/11,11782,18,16,26,27,74
B07V6DHHRX,2023/6/18,9733,17,16,26,23,75
B07V6DHHRX,2023/6/25,15110,14,15,22,24,74
B07V6DHHRX,2023/7/2,8817,15,15,23,24,70
B07V6DHHRX,2023/7/9,10555,15,17,24,24,76
B07V6DHHRX,2023/7/16,14251,15,16,23,23,73
B07V6DHHRX,2023/7/23,11669,14,15,23,25,74
B07V6DHHRX,2023/7/30,7904,14,16,24,26,79
B07V6DHHRX,2023/8/6,3967,14,15,23,24,76
B07V6DHHRX,2023/8/13,4309,16,16,22,23,74
B07V6DHHRX,2023/8/20,5818,14,15,22,25,75
B07V6DHHRX,2023/8/27,10292,16,19,25,26,85
B07V6DHHRX,2023/9/3,7,14,18,25,25,79
B07V6DHHRX,2023/9/10,460,15,27,34,32,100
B07V6DHHRX,2023/9/17,8874,16,24,35,33,87
B07V6DHHRX,2023/9/24,10364,16,27,34,31,91
B07V6DHHRX,2023/10/1,9715,16,23,30,31,94
B07V6DHHRX,2023/10/8,14901,16,24,33,27,88
B07V6DHHRX,2023/10/15,22313,15,22,26,27,85
B07V6DHHRX,2023/10/22,10737,16,22,28,28,89
B07V6DHHRX,2023/10/29,7184,16,21,29,27,90
B07V6DHHRX,2023/11/5,11822,16,21,28,26,94
B07V6DHHRX,2023/11/12,14709,13,19,26,25,81
B07V6DHHRX,2023/11/19,19526,15,18,26,26,83
B07V6DHHRX,2023/11/26,14986,16,20,26,28,87
B07V6DHHRX,2023/12/3,9403,15,19,26,27,83
B07V6DHHRX,2023/12/10,11489,15,18,28,28,79
B07V6DHHRX,2023/12/17,11639,14,18,23,25,72
B07V6DHHRX,2023/12/24,9517,12,16,23,21,66
B07V6DHHRX,2023/12/31,9167,15,18,24,22,72
B07V6DHHRX,2024/1/7,12316,16,18,24,25,72
B07V6DHHRX,2024/1/14,8835,15,20,23,25,76
B07V6DHHRX,2024/1/21,14401,14,17,23,26,79
B07V6DHHRX,2024/1/28,5925,14,19,25,26,82
B07V6DHHRX,2024/2/4,7450,15,18,24,27,81
B07V6DHHRX,2024/2/11,5866,15,21,25,25,84
B07V6DHHRX,2024/2/18,6138,15,20,26,26,88
B07V6DHHRX,2024/2/25,4614,15,20,24,27,77
B07V6DHHRX,2024/3/3,7420,15,22,26,26,84
B07V6DHHRX,2024/3/10,5692,16,21,25,27,91
B07V6DHHRX,2024/3/17,5645,15,21,27,27,91
B07V6DHHRX,2024/3/24,5864,15,19,24,24,90
B07V6DHHRX,2024/3/31,5622,14,19,24,23,86
B07V6DHHRX,2024/4/7,10976,16,20,22,25,92
B07V6DHHRX,2024/4/14,13203,18,19,23,28,94
B07V6DHHRX,2024/4/21,10810,15,20,24,26,90
B07V6DHHRX,2024/4/28,8567,17,21,25,26,98
B07V6DHHRX,2024/5/5,9410,16,21,24,28,95
B07V6DHHRX,2024/5/12,8820,17,22,26,26,94
B07V6DHHRX,2024/5/19,19911,19,20,28,26,96
B07V6DHHRX,2024/5/26,22921,15,19,24,26,89
B07V6DHHRX,2024/6/2,13548,15,19,23,26,89
B07V6DHHRX,2024/6/9,12180,16,17,22,25,84
B07V6DHHRX,2024/6/16,6310,15,16,23,26,85
B07V6DHHRX,2024/6/23,9995,15,16,23,27,76
B07V6DHHRX,2024/6/30,19463,16,15,23,27,81
B07V6DHHRX,2024/7/7,27590,14,15,21,23,78
B07V6DHHRX,2024/7/14,13800,16,15,21,25,85
B07V6DHHRX,2024/7/21,16180,14,16,20,25,74
B07V6DHHRX,2024/7/28,15800,13,15,21,23,73
B07V6DHHRX,2024/8/4,14510,15,14,19,22,74
B07V6DHHRX,2024/8/11,12750,13,16,22,23,76
B07V6DHHRX,2024/8/18,13905,16,16,22,24,79
B07V6DHHRX,2024/8/25,15085,15,14,22,25,74
B07V6DHHRX,2024/9/1,20729,16,16,22,25,77
B07V6DHHRX,2024/9/8,20130,17,24,30,28,85
B07V6DHHRX,2024/9/15,29727,16,23,27,28,89
B07V6DHHRX,2024/9/22,25471,15,24,28,27,85
B07V6DHHRX,2024/9/29,31124,15,21,24,25,85
B07V6DHHRX,2024/10/6,70779,14,22,24,27,87
B07V6DHHRX,2024/10/13,23876,16,23,25,27,95
B07V6DHHRX,2024/10/20,18482,17,20,25,27,87
B07V6DHHRX,2024/10/27,40417,14,19,23,27,86
B07V6DHHRX,2024/11/3,18426,16,20,25,28,91
B07V6DHHRX,2024/11/10,17500,17,19,25,26,90
B07V6DHHRX,2024/11/17,10177,17,19,22,26,87
B07V6DHHRX,2024/11/24,21015,16,19,24,26,89
B07V6DHHRX,2024/12/1,21042,18,20,26,29,89
B07V6DHHRX,2024/12/8,14179,17,19,25,26,88
B07V6DHHRX,2024/12/15,12132,16,18,24,28,85
B07V6DHHRX,2024/12/22,14901,15,15,21,26,76
B07V6DHHRX,2024/12/29,17326,16,18,23,21,85
B07V6DHHRX,2025/1/5,30002,16,20,24,26,79
B07V6DHHRX,2025/1/12,16154,15,19,23,28,83
B07V6DHHRX,2025/1/19,16840,15,18,22,27,81
B07V6DHHRX,2025/1/26,18674,15,18,21,26,82
B07V6DHHRX,2025/2/2,14586,15,17,24,26,83
B07V6DHHRX,2025/2/9,18191,16,19,25,27,81
B07V6DHHRX,2025/2/16,28200,15,21,26,30,87
B07V6DHHRX,2025/2/23,12077,16,22,26,27,91
B07V6DHHRX,2025/3/2,26094,17,18,25,28,89
B07V6DHHRX,2025/3/9,33237,16,19,23,26,89
B07V6DHHRX,2025/3/16,14757,18,21,27,29,89
B07V6DHHRX,2025/3/23,17341,16,20,26,27,86
B07V6DHHRX,2025/3/30,27744,15,19,25,25,84
B07V6DHHRX,2025/4/6,18130,16,21,22,28,87
B07V6DHHRX,2025/4/13,25242,18,17,24,26,83
B07V6DHHRX,2025/4/20,26749,15,16,23,24,83
B07V6DHHRX,2025/4/27,21092,17,22,25,23,90
B07V6DHHRX,2025/5/4,33699,16,21,23,25,91
B07V6DHHRX,2025/5/11,40643,17,20,25,27,86
B07V6DHHRX,2025/5/18,40007,17,18,24,25,85
B07V6DHHRX,2025/5/25,34454,18,18,24,24,89
B07V6DHHRX,2025/6/1,51549,15,18,22,26,81
B07V6DHHRX,2025/6/8,53403,16,17,22,26,79
B07V6DHHRX,2025/6/15,22465,15,16,20,26,76
B07V6DHHRX,2025/6/22,20357,15,16,22,24,72
B07V6DHHRX,2025/6/29,12788,16,15,20,24,74
B07V6DHHRX,2025/7/6,22980,15,16,22,24,73
B07V6DHHRX,2025/7/13,31111,16,16,21,24,72
B07V6DHHRX,2025/7/20,5772,15,15,22,24,76
B07V6DHHRX,2025/7/27,4562,14,14,20,24,71
B07V6DHHRX,2025/8/3,1570,16,15,20,23,79
