asin,week_start_date,weekly_salesrank,解像度,サイズ,価格,ズーム性能,カテゴリ
B097C55DCP,2023/1/1,14601,14,17,26,23,77
B097C55DCP,2023/1/8,14823,15,18,25,24,75
B097C55DCP,2023/1/15,7721,14,16,25,24,75
B097C55DCP,2023/1/22,9754,13,15,26,23,71
B097C55DCP,2023/1/29,7815,15,18,27,27,73
B097C55DCP,2023/2/5,5213,15,18,30,24,78
B097C55DCP,2023/2/12,3787,15,16,27,25,79
B097C55DCP,2023/2/19,13281,14,18,29,25,99
B097C55DCP,2023/2/26,4499,14,18,27,23,84
B097C55DCP,2023/3/5,10649,16,20,25,23,87
B097C55DCP,2023/3/12,9216,14,17,25,23,83
B097C55DCP,2023/3/19,5365,15,19,27,23,76
B097C55DCP,2023/3/26,7522,16,17,24,23,83
B097C55DCP,2023/4/2,7021,15,17,23,22,82
B097C55DCP,2023/4/9,3405,13,17,24,23,82
B097C55DCP,2023/4/16,7912,16,17,28,23,84
B097C55DCP,2023/4/23,8299,15,16,25,22,85
B097C55DCP,2023/4/30,10572,15,17,26,23,89
B097C55DCP,2023/5/7,6981,16,16,31,27,80
B097C55DCP,2023/5/14,11827,16,18,27,22,83
B097C55DCP,2023/5/21,7092,15,19,26,24,88
B097C55DCP,2023/5/28,6467,14,18,23,22,81
B097C55DCP,2023/6/4,5068,16,17,24,22,83
B097C55DCP,2023/6/11,10310,18,16,26,27,74
B097C55DCP,2023/6/18,7767,17,16,26,23,75
B097C55DCP,2023/6/25,7577,14,15,22,24,74
B097C55DCP,2023/7/2,5381,15,15,23,24,70
B097C55DCP,2023/7/9,7564,15,17,24,24,76
B097C55DCP,2023/7/16,10543,15,16,23,23,73
B097C55DCP,2023/7/23,7652,14,15,23,25,74
B097C55DCP,2023/7/30,8841,14,16,24,26,79
B097C55DCP,2023/8/6,10979,14,15,23,24,76
B097C55DCP,2023/8/13,18740,16,16,22,23,74
B097C55DCP,2023/8/20,6893,14,15,22,25,75
B097C55DCP,2023/8/27,5337,16,19,25,26,85
B097C55DCP,2023/9/3,5394,14,18,25,25,79
B097C55DCP,2023/9/10,8986,15,27,34,32,100
B097C55DCP,2023/9/17,10707,16,24,35,33,87
B097C55DCP,2023/9/24,9996,16,27,34,31,91
B097C55DCP,2023/10/1,10494,16,23,30,31,94
B097C55DCP,2023/10/8,4739,16,24,33,27,88
B097C55DCP,2023/10/15,10719,15,22,26,27,85
B097C55DCP,2023/10/22,4675,16,22,28,28,89
B097C55DCP,2023/10/29,6303,16,21,29,27,90
B097C55DCP,2023/11/5,4673,16,21,28,26,94
B097C55DCP,2023/11/12,4653,13,19,26,25,81
B097C55DCP,2023/11/19,4922,15,18,26,26,83
B097C55DCP,2023/11/26,13914,16,20,26,28,87
B097C55DCP,2023/12/3,7308,15,19,26,27,83
B097C55DCP,2023/12/10,6379,15,18,28,28,79
B097C55DCP,2023/12/17,10281,14,18,23,25,72
B097C55DCP,2023/12/24,14854,12,16,23,21,66
B097C55DCP,2023/12/31,13137,15,18,24,22,72
B097C55DCP,2024/1/7,7628,16,18,24,25,72
B097C55DCP,2024/1/14,6409,15,20,23,25,76
B097C55DCP,2024/1/21,7130,14,17,23,26,79
B097C55DCP,2024/1/28,5939,14,19,25,26,82
B097C55DCP,2024/2/4,5082,15,18,24,27,81
B097C55DCP,2024/2/11,7841,15,21,25,25,84
B097C55DCP,2024/2/18,3588,15,20,26,26,88
B097C55DCP,2024/2/25,6632,15,20,24,27,77
B097C55DCP,2024/3/3,7222,15,22,26,26,84
B097C55DCP,2024/3/10,4625,16,21,25,27,91
B097C55DCP,2024/3/17,7225,15,21,27,27,91
B097C55DCP,2024/3/24,5992,15,19,24,24,90
B097C55DCP,2024/3/31,5136,14,19,24,23,86
B097C55DCP,2024/4/7,10697,16,20,22,25,92
B097C55DCP,2024/4/14,6429,18,19,23,28,94
B097C55DCP,2024/4/21,11800,15,20,24,26,90
B097C55DCP,2024/4/28,7263,17,21,25,26,98
B097C55DCP,2024/5/5,5312,16,21,24,28,95
B097C55DCP,2024/5/12,3690,17,22,26,26,94
B097C55DCP,2024/5/19,8437,19,20,28,26,96
B097C55DCP,2024/5/26,7601,15,19,24,26,89
B097C55DCP,2024/6/2,6681,15,19,23,26,89
B097C55DCP,2024/6/9,6916,16,17,22,25,84
B097C55DCP,2024/6/16,6176,15,16,23,26,85
B097C55DCP,2024/6/23,5292,15,16,23,27,76
B097C55DCP,2024/6/30,7317,16,15,23,27,81
B097C55DCP,2024/7/7,4608,14,15,21,23,78
B097C55DCP,2024/7/14,10272,16,15,21,25,85
B097C55DCP,2024/7/21,7353,14,16,20,25,74
B097C55DCP,2024/7/28,6994,13,15,21,23,73
B097C55DCP,2024/8/4,7179,15,14,19,22,74
B097C55DCP,2024/8/11,15758,13,16,22,23,76
B097C55DCP,2024/8/18,5214,16,16,22,24,79
B097C55DCP,2024/8/25,4022,15,14,22,25,74
B097C55DCP,2024/9/1,7467,16,16,22,25,77
B097C55DCP,2024/9/8,18303,17,24,30,28,85
B097C55DCP,2024/9/15,12178,16,23,27,28,89
B097C55DCP,2024/9/22,13792,15,24,28,27,85
B097C55DCP,2024/9/29,13059,15,21,24,25,85
B097C55DCP,2024/10/6,4238,14,22,24,27,87
B097C55DCP,2024/10/13,12640,16,23,25,27,95
B097C55DCP,2024/10/20,9174,17,20,25,27,87
B097C55DCP,2024/10/27,8451,14,19,23,27,86
B097C55DCP,2024/11/3,13156,16,20,25,28,91
B097C55DCP,2024/11/10,10194,17,19,25,26,90
B097C55DCP,2024/11/17,6344,17,19,22,26,87
B097C55DCP,2024/11/24,9170,16,19,24,26,89
B097C55DCP,2024/12/1,11184,18,20,26,29,89
B097C55DCP,2024/12/8,8640,17,19,25,26,88
B097C55DCP,2024/12/15,9503,16,18,24,28,85
B097C55DCP,2024/12/22,11301,15,15,21,26,76
B097C55DCP,2024/12/29,32249,16,18,23,21,85
B097C55DCP,2025/1/5,9627,16,20,24,26,79
B097C55DCP,2025/1/12,7424,15,19,23,28,83
B097C55DCP,2025/1/19,12157,15,18,22,27,81
B097C55DCP,2025/1/26,6836,15,18,21,26,82
B097C55DCP,2025/2/2,6667,15,17,24,26,83
B097C55DCP,2025/2/9,4626,16,19,25,27,81
B097C55DCP,2025/2/16,5166,15,21,26,30,87
B097C55DCP,2025/2/23,9170,16,22,26,27,91
B097C55DCP,2025/3/2,11502,17,18,25,28,89
B097C55DCP,2025/3/9,7809,16,19,23,26,89
B097C55DCP,2025/3/16,6464,18,21,27,29,89
B097C55DCP,2025/3/23,11291,16,20,26,27,86
B097C55DCP,2025/3/30,6766,15,19,25,25,84
B097C55DCP,2025/4/6,12545,16,21,22,28,87
B097C55DCP,2025/4/13,21478,18,17,24,26,83
B097C55DCP,2025/4/20,8712,15,16,23,24,83
B097C55DCP,2025/4/27,10601,17,22,25,23,90
