asin,week_start_date,weekly_salesrank,解像度,サイズ,価格,ズーム性能,カテゴリ
B09NDF5BN7,2023/1/1,9903,14,17,26,23,77
B09NDF5BN7,2023/1/8,9512,15,18,25,24,75
B09NDF5BN7,2023/1/15,10653,14,16,25,24,75
B09NDF5BN7,2023/1/22,22433,13,15,26,23,71
B09NDF5BN7,2023/1/29,22007,15,18,27,27,73
B09NDF5BN7,2023/2/5,25961,15,18,30,24,78
B09NDF5BN7,2023/2/12,103087,15,16,27,25,79
B09NDF5BN7,2023/2/19,27454,14,18,29,25,99
B09NDF5BN7,2023/2/26,2878,14,18,27,23,84
B09NDF5BN7,2023/3/5,6024,16,20,25,23,87
B09NDF5BN7,2023/3/12,10528,14,17,25,23,83
B09NDF5BN7,2023/3/19,14461,15,19,27,23,76
B09NDF5BN7,2023/3/26,11696,16,17,24,23,83
B09NDF5BN7,2023/4/2,12442,15,17,23,22,82
B09NDF5BN7,2023/4/9,9242,13,17,24,23,82
B09NDF5BN7,2023/4/16,8050,16,17,28,23,84
B09NDF5BN7,2023/4/23,4260,15,16,25,22,85
B09NDF5BN7,2023/4/30,4762,15,17,26,23,89
B09NDF5BN7,2023/5/7,6517,16,16,31,27,80
B09NDF5BN7,2023/5/14,6390,16,18,27,22,83
B09NDF5BN7,2023/5/21,7978,15,19,26,24,88
B09NDF5BN7,2023/5/28,8302,14,18,23,22,81
B09NDF5BN7,2023/6/4,18153,16,17,24,22,83
B09NDF5BN7,2023/6/11,6618,18,16,26,27,74
B09NDF5BN7,2023/6/18,10380,17,16,26,23,75
B09NDF5BN7,2023/6/25,10180,14,15,22,24,74
B09NDF5BN7,2023/7/2,12074,15,15,23,24,70
B09NDF5BN7,2023/7/9,12698,15,17,24,24,76
B09NDF5BN7,2023/7/16,19329,15,16,23,23,73
B09NDF5BN7,2023/7/23,15657,14,15,23,25,74
B09NDF5BN7,2023/7/30,8094,14,16,24,26,79
B09NDF5BN7,2023/8/6,14665,14,15,23,24,76
B09NDF5BN7,2023/8/13,10107,16,16,22,23,74
B09NDF5BN7,2023/8/20,19467,14,15,22,25,75
B09NDF5BN7,2023/8/27,9930,16,19,25,26,85
B09NDF5BN7,2023/9/3,14060,14,18,25,25,79
B09NDF5BN7,2023/9/10,11856,15,27,34,32,100
B09NDF5BN7,2023/9/17,6146,16,24,35,33,87
B09NDF5BN7,2023/9/24,13784,16,27,34,31,91
B09NDF5BN7,2023/10/1,13096,16,23,30,31,94
B09NDF5BN7,2023/10/8,8518,16,24,33,27,88
B09NDF5BN7,2023/10/15,8870,15,22,26,27,85
B09NDF5BN7,2023/10/22,6797,16,22,28,28,89
B09NDF5BN7,2023/10/29,11539,16,21,29,27,90
B09NDF5BN7,2023/11/5,14150,16,21,28,26,94
B09NDF5BN7,2023/11/12,15322,13,19,26,25,81
B09NDF5BN7,2023/11/19,19180,15,18,26,26,83
B09NDF5BN7,2023/11/26,20931,16,20,26,28,87
B09NDF5BN7,2023/12/3,16291,15,19,26,27,83
B09NDF5BN7,2023/12/10,10706,15,18,28,28,79
B09NDF5BN7,2023/12/17,5090,14,18,23,25,72
B09NDF5BN7,2023/12/24,8108,12,16,23,21,66
B09NDF5BN7,2023/12/31,22508,15,18,24,22,72
B09NDF5BN7,2024/1/7,10470,16,18,24,25,72
B09NDF5BN7,2024/1/14,13695,15,20,23,25,76
B09NDF5BN7,2024/1/21,11866,14,17,23,26,79
B09NDF5BN7,2024/1/28,15132,14,19,25,26,82
B09NDF5BN7,2024/2/4,8331,15,18,24,27,81
B09NDF5BN7,2024/2/11,8038,15,21,25,25,84
B09NDF5BN7,2024/2/18,8474,15,20,26,26,88
B09NDF5BN7,2024/2/25,7298,15,20,24,27,77
B09NDF5BN7,2024/3/3,8962,15,22,26,26,84
B09NDF5BN7,2024/3/10,9517,16,21,25,27,91
B09NDF5BN7,2024/3/17,9443,15,21,27,27,91
B09NDF5BN7,2024/3/24,15732,15,19,24,24,90
B09NDF5BN7,2024/3/31,10385,14,19,24,23,86
B09NDF5BN7,2024/4/7,5623,16,20,22,25,92
B09NDF5BN7,2024/4/14,10188,18,19,23,28,94
B09NDF5BN7,2024/4/21,4766,15,20,24,26,90
B09NDF5BN7,2024/4/28,5474,17,21,25,26,98
B09NDF5BN7,2024/5/5,5861,16,21,24,28,95
B09NDF5BN7,2024/5/12,2694,17,22,26,26,94
B09NDF5BN7,2024/5/19,5881,19,20,28,26,96
B09NDF5BN7,2024/5/26,6242,15,19,24,26,89
B09NDF5BN7,2024/6/2,9193,15,19,23,26,89
B09NDF5BN7,2024/6/9,6820,16,17,22,25,84
B09NDF5BN7,2024/6/16,7976,15,16,23,26,85
B09NDF5BN7,2024/6/23,5818,15,16,23,27,76
B09NDF5BN7,2024/6/30,5348,16,15,23,27,81
B09NDF5BN7,2024/7/7,9981,14,15,21,23,78
B09NDF5BN7,2024/7/14,11414,16,15,21,25,85
B09NDF5BN7,2024/7/21,10122,14,16,20,25,74
B09NDF5BN7,2024/7/28,8399,13,15,21,23,73
B09NDF5BN7,2024/8/4,10092,15,14,19,22,74
B09NDF5BN7,2024/8/11,12234,13,16,22,23,76
B09NDF5BN7,2024/8/18,4652,16,16,22,24,79
B09NDF5BN7,2024/8/25,9070,15,14,22,25,74
B09NDF5BN7,2024/9/1,9801,16,16,22,25,77
B09NDF5BN7,2024/9/8,12156,17,24,30,28,85
B09NDF5BN7,2024/9/15,12354,16,23,27,28,89
B09NDF5BN7,2024/9/22,12193,15,24,28,27,85
B09NDF5BN7,2024/9/29,13389,15,21,24,25,85
B09NDF5BN7,2024/10/6,11411,14,22,24,27,87
B09NDF5BN7,2024/10/13,13815,16,23,25,27,95
B09NDF5BN7,2024/10/20,16487,17,20,25,27,87
B09NDF5BN7,2024/10/27,12791,14,19,23,27,86
B09NDF5BN7,2024/11/3,9944,16,20,25,28,91
B09NDF5BN7,2024/11/10,6699,17,19,25,26,90
B09NDF5BN7,2024/11/17,5532,17,19,22,26,87
B09NDF5BN7,2024/11/24,6518,16,19,24,26,89
B09NDF5BN7,2024/12/1,14520,18,20,26,29,89
B09NDF5BN7,2024/12/8,9074,17,19,25,26,88
B09NDF5BN7,2024/12/15,10747,16,18,24,28,85
B09NDF5BN7,2024/12/22,15106,15,15,21,26,76
B09NDF5BN7,2024/12/29,10887,16,18,23,21,85
B09NDF5BN7,2025/1/5,14120,16,20,24,26,79
B09NDF5BN7,2025/1/12,13348,15,19,23,28,83
B09NDF5BN7,2025/1/19,9843,15,18,22,27,81
B09NDF5BN7,2025/1/26,12831,15,18,21,26,82
B09NDF5BN7,2025/2/2,13760,15,17,24,26,83
B09NDF5BN7,2025/2/9,9299,16,19,25,27,81
B09NDF5BN7,2025/2/16,8486,15,21,26,30,87
B09NDF5BN7,2025/2/23,11439,16,22,26,27,91
B09NDF5BN7,2025/3/2,9088,17,18,25,28,89
B09NDF5BN7,2025/3/9,15647,16,19,23,26,89
B09NDF5BN7,2025/3/16,11956,18,21,27,29,89
B09NDF5BN7,2025/3/23,17144,16,20,26,27,86
B09NDF5BN7,2025/3/30,9287,15,19,25,25,84
B09NDF5BN7,2025/4/6,12267,16,21,22,28,87
B09NDF5BN7,2025/4/13,7811,18,17,24,26,83
B09NDF5BN7,2025/4/20,12598,15,16,23,24,83
B09NDF5BN7,2025/4/27,5669,17,22,25,23,90
B09NDF5BN7,2025/5/4,8413,16,21,23,25,91
B09NDF5BN7,2025/5/11,15414,17,20,25,27,86
B09NDF5BN7,2025/5/18,15030,17,18,24,25,85
B09NDF5BN7,2025/5/25,23573,18,18,24,24,89
B09NDF5BN7,2025/6/1,17073,15,18,22,26,81
B09NDF5BN7,2025/6/8,12196,16,17,22,26,79
B09NDF5BN7,2025/6/15,12510,15,16,20,26,76
B09NDF5BN7,2025/6/22,17590,15,16,22,24,72
B09NDF5BN7,2025/6/29,23663,16,15,20,24,74
B09NDF5BN7,2025/7/6,23485,15,16,22,24,73
B09NDF5BN7,2025/7/13,26241,16,16,21,24,72
B09NDF5BN7,2025/7/20,16765,15,15,22,24,76
B09NDF5BN7,2025/7/27,17968,14,14,20,24,71
B09NDF5BN7,2025/8/3,15188,16,15,20,23,79
B09NDF5BN7,2025/8/10,15707,17,15,21,22,76
B09NDF5BN7,2025/8/17,19218,17,17,24,24,85
B09NDF5BN7,2025/8/24,12223,17,17,21,24,83
B09NDF5BN7,2025/8/31,24772,17,18,21,24,84
B09NDF5BN7,2025/9/7,18362,17,29,29,30,85
B09NDF5BN7,2025/9/14,6390,16,27,27,26,81
B09NDF5BN7,2025/9/21,6884,16,22,24,25,81
B09NDF5BN7,2025/9/28,9269,16,22,24,27,83
B09NDF5BN7,2025/10/5,10768,16,23,23,27,82
B09NDF5BN7,2025/10/12,8126,16,21,22,24,86
B09NDF5BN7,2025/10/19,7133,15,21,24,25,77
B09NDF5BN7,2025/10/26,7912,15,18,22,25,75
B09NDF5BN7,2025/11/2,8114,14,20,22,26,77
B09NDF5BN7,2025/11/9,6082,14,19,23,25,75
B09NDF5BN7,2025/11/16,7645,15,18,23,26,76
B09NDF5BN7,2025/11/23,10504,16,21,24,25,83
B09NDF5BN7,2025/11/30,10370,16,17,23,26,79
B09NDF5BN7,2025/12/7,5214,17,17,23,24,83
