date,解像度,サイズ,価格,ズーム性能,week,カテゴリ
2023/1/1,65,60,62,56,2023/1/1,66
2023/1/2,56,43,71,70,2023/1/8,62
2023/1/3,53,89,62,70,2023/1/15,64
2023/1/4,69,72,51,68,2023/1/22,61
2023/1/5,80,71,74,66,2023/1/29,63
2023/1/6,75,60,65,60,2023/2/5,65
2023/1/7,69,72,78,60,2023/2/12,67
2023/1/8,62,79,72,76,2023/2/19,70
2023/1/9,65,70,57,83,2023/2/26,70
2023/1/10,82,51,65,61,2023/3/5,71
2023/1/11,82,49,55,57,2023/3/12,69
2023/1/12,81,76,69,79,2023/3/19,63
2023/1/13,98,67,69,52,2023/3/26,70
2023/1/14,64,53,65,81,2023/4/2,68
2023/1/15,71,64,78,72,2023/4/9,71
2023/1/16,82,48,60,73,2023/4/16,70
2023/1/17,74,72,67,57,2023/4/23,75
2023/1/18,79,63,57,51,2023/4/30,74
2023/1/19,66,60,51,82,2023/5/7,74
2023/1/20,67,58,75,52,2023/5/14,74
2023/1/21,52,57,64,50,2023/5/21,71
2023/1/22,60,53,74,61,2023/5/28,71
2023/1/23,67,67,66,68,2023/6/4,71
2023/1/24,79,64,64,54,2023/6/11,65
2023/1/25,78,58,66,55,2023/6/18,64
2023/1/26,81,61,55,54,2023/6/25,63
2023/1/27,65,35,56,55,2023/7/2,59
2023/1/28,84,34,69,78,2023/7/9,64
2023/1/29,72,55,69,90,2023/7/16,62
2023/1/30,73,55,79,68,2023/7/23,63
2023/1/31,100,64,70,61,2023/7/30,67
2023/2/1,80,59,70,63,2023/8/6,65
2023/2/2,81,90,68,62,2023/8/13,63
2023/2/3,78,72,51,75,2023/8/20,63
2023/2/4,70,68,86,72,2023/8/27,71
2023/2/5,71,67,72,96,2023/9/3,67
2023/2/6,74,66,71,74,2023/9/10,100
2023/2/7,94,61,71,65,2023/9/17,73
2023/2/8,64,66,83,56,2023/9/24,80
2023/2/9,78,63,72,46,2023/10/1,77
2023/2/10,64,46,70,49,2023/10/8,73
2023/2/11,64,87,75,76,2023/10/15,73
2023/2/12,68,82,68,73,2023/10/22,75
2023/2/13,75,55,68,65,2023/10/29,75
2023/2/14,71,56,66,72,2023/11/5,77
2023/2/15,86,69,72,63,2023/11/12,68
2023/2/16,72,69,47,60,2023/11/19,70
2023/2/17,73,62,61,67,2023/11/26,75
2023/2/18,73,74,85,59,2023/12/3,70
2023/2/19,75,71,80,80,2023/12/10,67
2023/2/20,89,64,77,73,2023/12/17,60
2023/2/21,75,71,62,62,2023/12/24,55
2023/2/22,87,56,76,69,2023/12/31,61
2023/2/23,87,58,68,86,2024/1/7,60
2023/2/24,65,60,60,59,2024/1/14,65
2023/2/25,50,64,78,63,2024/1/21,66
2023/2/26,70,69,81,65,2024/1/28,69
2023/2/27,81,54,57,65,2024/2/4,69
2023/2/28,59,70,77,73,2024/2/11,69
2023/3/1,68,50,56,63,2024/2/18,74
2023/3/2,64,56,73,62,2024/2/25,67
2023/3/3,78,67,55,64,2024/3/3,73
2023/3/4,73,63,77,82,2024/3/10,75
2023/3/5,71,66,76,84,2024/3/17,78
2023/3/6,75,88,78,78,2024/3/24,76
2023/3/7,73,65,70,92,2024/3/31,74
2023/3/8,64,62,69,67,2024/4/7,79
2023/3/9,71,59,57,67,2024/4/14,80
2023/3/10,61,64,52,67,2024/4/21,77
2023/3/11,56,54,57,96,2024/4/28,83
2023/3/12,79,99,62,80,2024/5/5,81
2023/3/13,70,43,68,69,2024/5/12,80
2023/3/14,65,62,49,62,2024/5/19,80
2023/3/15,80,54,68,68,2024/5/26,75
2023/3/16,76,54,60,55,2024/6/2,75
2023/3/17,80,67,61,56,2024/6/9,72
2023/3/18,65,63,72,80,2024/6/16,73
2023/3/19,59,60,72,95,2024/6/23,65
2023/3/20,77,81,67,68,2024/6/30,67
2023/3/21,53,83,74,76,2024/7/7,66
2023/3/22,63,56,65,58,2024/7/14,72
2023/3/23,67,64,58,62,2024/7/21,64
2023/3/24,69,51,69,70,2024/7/28,62
2023/3/25,68,52,68,81,2024/8/4,62
2023/3/26,66,52,67,65,2024/8/11,66
2023/3/27,75,79,67,55,2024/8/18,67
2023/3/28,65,66,53,71,2024/8/25,62
2023/3/29,86,69,70,56,2024/9/1,66
2023/3/30,74,69,54,70,2024/9/8,72
2023/3/31,63,75,69,48,2024/9/15,76
2023/4/1,57,97,56,72,2024/9/22,72
2023/4/2,70,100,75,74,2024/9/29,72
2023/4/3,68,64,60,70,2024/10/6,72
2023/4/4,73,59,63,66,2024/10/13,80
2023/4/5,59,53,65,51,2024/10/20,75
2023/4/6,75,54,50,64,2024/10/27,73
2023/4/7,71,68,63,61,2024/11/3,77
2023/4/8,50,67,66,82,2024/11/10,77
2023/4/9,68,62,58,78,2024/11/17,74
2023/4/10,74,57,53,62,2024/11/24,75
2023/4/11,75,58,66,82,2024/12/1,76
2023/4/12,75,46,76,68,2024/12/8,74
2023/4/13,69,57,69,53,2024/12/15,72
2023/4/14,67,58,57,62,2024/12/22,65
2023/4/15,67,49,75,74,2024/12/29,74
2023/4/16,61,62,69,75,2025/1/5,68
2023/4/17,73,71,69,77,2025/1/12,70
2023/4/18,65,79,60,42,2025/1/19,67
2023/4/19,74,67,77,64,2025/1/26,70
2023/4/20,74,72,75,49,2025/2/2,70
2023/4/21,71,73,65,86,2025/2/9,68
2023/4/22,64,73,59,59,2025/2/16,74
2023/4/23,67,59,69,82,2025/2/23,77
2023/4/24,67,60,60,64,2025/3/2,75
2023/4/25,90,68,61,67,2025/3/9,75
2023/4/26,84,64,67,40,2025/3/16,75
2023/4/27,50,58,67,63,2025/3/23,73
2023/4/28,63,53,57,54,2025/3/30,71
2023/4/29,57,71,66,73,2025/4/6,75
2023/4/30,73,67,72,67,2025/4/13,70
2023/5/1,63,67,68,85,2025/4/20,71
2023/5/2,65,64,64,57,2025/4/27,76
