date,category,week,season
2023/1/1,66,2023/1/1,79
2023/1/2,68,2023/1/8,81
2023/1/3,71,2023/1/15,82
2023/1/4,63,2023/1/22,78
2023/1/5,74,2023/1/29,81
2023/1/6,66,2023/2/5,89
2023/1/7,64,2023/2/12,86
2023/1/8,75,2023/2/19,89
2023/1/9,79,2023/2/26,89
2023/1/10,64,2023/3/5,88
2023/1/11,54,2023/3/12,86
2023/1/12,72,2023/3/19,79
2023/1/13,70,2023/3/26,87
2023/1/14,70,2023/4/2,89
2023/1/15,66,2023/4/9,91
2023/1/16,69,2023/4/16,94
2023/1/17,76,2023/4/23,87
2023/1/18,70,2023/4/30,89
2023/1/19,67,2023/5/7,99
2023/1/20,66,2023/5/14,91
2023/1/21,72,2023/5/21,95
2023/1/22,63,2023/5/28,83
2023/1/23,74,2023/6/4,87
2023/1/24,63,2023/6/11,84
2023/1/25,67,2023/6/18,83
2023/1/26,66,2023/6/25,83
2023/1/27,72,2023/7/2,78
2023/1/28,68,2023/7/9,86
2023/1/29,68,2023/7/16,76
2023/1/30,74,2023/7/23,80
2023/1/31,74,2023/7/30,79
2023/2/1,62,2023/8/6,77
2023/2/2,79,2023/8/13,80
2023/2/3,60,2023/8/20,79
2023/2/4,71,2023/8/27,92
2023/2/5,82,2023/9/3,84
2023/2/6,77,2023/9/10,95
2023/2/7,78,2023/9/17,98
2023/2/8,84,2023/9/24,95
2023/2/9,82,2023/10/1,100
2023/2/10,71,2023/10/8,84
2023/2/11,72,2023/10/15,72
2023/2/12,75,2023/10/22,74
2023/2/13,70,2023/10/29,74
2023/2/14,71,2023/11/5,82
2023/2/15,78,2023/11/12,68
2023/2/16,73,2023/11/19,69
2023/2/17,74,2023/11/26,75
2023/2/18,73,2023/12/3,72
2023/2/19,77,2023/12/10,66
2023/2/20,68,2023/12/17,62
2023/2/21,76,2023/12/24,59
2023/2/22,75,2023/12/31,58
2023/2/23,82,2024/1/7,60
2023/2/24,73,2024/1/14,66
2023/2/25,75,2024/1/21,70
2023/2/26,76,2024/1/28,75
2023/2/27,79,2024/2/4,71
2023/2/28,79,2024/2/11,71
2023/3/1,73,2024/2/18,81
2023/3/2,84,2024/2/25,70
2023/3/3,74,2024/3/3,79
2023/3/4,72,2024/3/10,80
2023/3/5,75,2024/3/17,83
2023/3/6,81,2024/3/24,77
2023/3/7,80,2024/3/31,79
2023/3/8,91,2024/4/7,76
2023/3/9,79,2024/4/14,85
2023/3/10,65,2024/4/21,81
2023/3/11,63,2024/4/28,83
2023/3/12,63,2024/5/5,88
2023/3/13,78,2024/5/12,92
2023/3/14,80,2024/5/19,87
2023/3/15,81,2024/5/26,81
2023/3/16,74,2024/6/2,81
2023/3/17,80,2024/6/9,78
2023/3/18,66,2024/6/16,78
2023/3/19,81,2024/6/23,72
2023/3/20,61,2024/6/30,77
2023/3/21,64,2024/7/7,73
2023/3/22,64,2024/7/14,77
2023/3/23,69,2024/7/21,68
2023/3/24,68,2024/7/28,65
2023/3/25,72,2024/8/4,70
2023/3/26,73,2024/8/11,63
2023/3/27,72,2024/8/18,74
2023/3/28,75,2024/8/25,66
2023/3/29,86,2024/9/1,74
2023/3/30,80,2024/9/8,80
2023/3/31,73,2024/9/15,76
2023/4/1,76,2024/9/22,79
2023/4/2,82,2024/9/29,77
2023/4/3,74,2024/10/6,74
2023/4/4,74,2024/10/13,80
2023/4/5,78,2024/10/20,78
2023/4/6,75,2024/10/27,76
2023/4/7,73,2024/11/3,82
2023/4/8,82,2024/11/10,82
2023/4/9,67,2024/11/17,81
2023/4/10,83,2024/11/24,78
2023/4/11,88,2024/12/1,80
2023/4/12,81,2024/12/8,80
2023/4/13,80,2024/12/15,83
2023/4/14,78,2024/12/22,73
2023/4/15,78,2024/12/29,77
2023/4/16,82,2025/1/5,74
2023/4/17,82,2025/1/12,75
2023/4/18,93,2025/1/19,77
2023/4/19,76,2025/1/26,79
2023/4/20,75,2025/2/2,82
2023/4/21,74,2025/2/9,76
2023/4/22,84,2025/2/16,87
2023/4/23,70,2025/2/23,92
2023/4/24,71,2025/3/2,88
2023/4/25,82,2025/3/9,88
2023/4/26,80,2025/3/16,84
2023/4/27,81,2025/3/23,85
2023/4/28,76,2025/3/30,79
2023/4/29,71,2025/4/6,81
2023/4/30,88,2025/4/13,80
2023/5/1,82,2025/4/20,80
2023/5/2,74,2025/4/27,85
2023/5/3,72,2025/5/4,87
2023/5/4,86,2025/5/11,85
2023/5/5,73,2025/5/18,85
2023/5/6,68,2025/5/25,86
2023/5/7,77,2025/6/1,79
2023/5/8,77,2025/6/8,76
2023/5/9,78,2025/6/15,74
2023/5/10,100,2025/6/22,67
2023/5/11,95,2025/6/29,75
2023/5/12,81,2025/7/6,73
2023/5/13,83,2025/7/13,70
2023/5/14,74,2025/7/20,76
2023/5/15,85,2025/7/27,67
2023/5/16,85,2025/8/3,76
2023/5/17,69,2025/8/10,70
2023/5/18,78,2025/8/17,79
2023/5/19,73,2025/8/24,76
2023/5/20,84,2025/8/31,83
2023/5/21,78,2025/9/7,81
2023/5/22,82,2025/9/14,77
2023/5/23,78,2025/9/21,75
2023/5/24,91,2025/9/28,79
2023/5/25,84,2025/10/5,77
2023/5/26,90,2025/10/12,78
2023/5/27,78,2025/10/19,66
2023/5/28,74,2025/10/26,70
2023/5/29,80,2025/11/2,70
2023/5/30,75,2025/11/9,69
2023/5/31,73,2025/11/16,72
2023/6/1,76,2025/11/23,75
2023/6/2,65,2025/11/30,77
2023/6/3,69,2025/12/7,81
2023/6/4,82,2025/12/14,82
2023/6/5,84,2025/12/21,85
2023/6/6,76,2025/12/28,77
2023/6/7,79,,
2023/6/8,64,,
2023/6/9,73,,
2023/6/10,65,,
2023/6/11,83,,
2023/6/12,77,,
2023/6/13,63,,
2023/6/14,70,,
2023/6/15,73,,
2023/6/16,68,,
2023/6/17,73,,
2023/6/18,72,,
2023/6/19,74,,
2023/6/20,66,,
2023/6/21,80,,
2023/6/22,64,,
2023/6/23,74,,
2023/6/24,69,,
2023/6/25,74,,
2023/6/26,67,,
2023/6/27,74,,
2023/6/28,71,,
2023/6/29,73,,
2023/6/30,80,,
2023/7/1,73,,
2023/7/2,60,,
2023/7/3,67,,
2023/7/4,73,,
2023/7/5,73,,
2023/7/6,70,,
2023/7/7,65,,
2023/7/8,65,,
2023/7/9,76,,
2023/7/10,66,,
2023/7/11,77,,
2023/7/12,77,,
2023/7/13,84,,
2023/7/14,73,,
2023/7/15,63,,
2023/7/16,67,,
2023/7/17,65,,
2023/7/18,67,,
2023/7/19,72,,
2023/7/20,65,,
2023/7/21,69,,
2023/7/22,60,,
2023/7/23,66,,
2023/7/24,69,,
2023/7/25,69,,
2023/7/26,68,,
2023/7/27,71,,
2023/7/28,71,,
2023/7/29,66,,
2023/7/30,73,,
2023/7/31,66,,
2023/8/1,70,,
2023/8/2,72,,
2023/8/3,73,,
2023/8/4,67,,
2023/8/5,66,,
2023/8/6,69,,
2023/8/7,66,,
2023/8/8,66,,
2023/8/9,72,,
2023/8/10,81,,
2023/8/11,67,,
2023/8/12,65,,
2023/8/13,64,,
2023/8/14,58,,
2023/8/15,70,,
2023/8/16,75,,
2023/8/17,69,,
2023/8/18,76,,
2023/8/19,73,,
2023/8/20,67,,
2023/8/21,69,,
2023/8/22,69,,
2023/8/23,68,,
2023/8/24,75,,
2023/8/25,66,,
2023/8/26,71,,
2023/8/27,78,,
2023/8/28,72,,
2023/8/29,92,,
2023/8/30,89,,
2023/8/31,82,,
2023/9/1,71,,
2023/9/2,71,,
2023/9/3,69,,
2023/9/4,78,,
2023/9/5,71,,
2023/9/6,72,,
2023/9/7,75,,
2023/9/8,68,,
2023/9/9,63,,
2023/9/10,83,,
2023/9/11,77,,
2023/9/12,79,,
2023/9/13,87,,
2023/9/14,81,,
2023/9/15,80,,
2023/9/16,70,,
2023/9/17,78,,
2023/9/18,70,,
2023/9/19,71,,
2023/9/20,88,,
2023/9/21,91,,
2023/9/22,74,,
2023/9/23,79,,
2023/9/24,74,,
2023/9/25,80,,
2023/9/26,81,,
2023/9/27,76,,
2023/9/28,73,,
2023/9/29,77,,
2023/9/30,75,,
2023/10/1,72,,
2023/10/2,80,,
2023/10/3,69,,
2023/10/4,71,,
2023/10/5,100,,
2023/10/6,86,,
2023/10/7,86,,
2023/10/8,71,,
2023/10/9,76,,
2023/10/10,66,,
2023/10/11,73,,
2023/10/12,64,,
2023/10/13,61,,
2023/10/14,73,,
2023/10/15,68,,
2023/10/16,62,,
2023/10/17,59,,
2023/10/18,62,,
2023/10/19,56,,
2023/10/20,57,,
2023/10/21,57,,
2023/10/22,65,,
2023/10/23,61,,
2023/10/24,57,,
2023/10/25,62,,
2023/10/26,56,,
2023/10/27,69,,
2023/10/28,56,,
2023/10/29,59,,
2023/10/30,70,,
2023/10/31,58,,
2023/11/1,66,,
2023/11/2,64,,
2023/11/3,57,,
2023/11/4,66,,
2023/11/5,66,,
2023/11/6,60,,
2023/11/7,83,,
2023/11/8,70,,
2023/11/9,69,,
2023/11/10,60,,
2023/11/11,59,,
2023/11/12,59,,
2023/11/13,50,,
2023/11/14,53,,
2023/11/15,68,,
2023/11/16,56,,
2023/11/17,48,,
2023/11/18,51,,
2023/11/19,54,,
2023/11/20,66,,
2023/11/21,65,,
2023/11/22,61,,
2023/11/23,55,,
2023/11/24,56,,
2023/11/25,50,,
2023/11/26,64,,
2023/11/27,68,,
2023/11/28,61,,
2023/11/29,58,,
2023/11/30,66,,
2023/12/1,56,,
2023/12/2,56,,
2023/12/3,55,,
2023/12/4,60,,
2023/12/5,62,,
2023/12/6,49,,
2023/12/7,51,,
2023/12/8,61,,
2023/12/9,62,,
2023/12/10,61,,
2023/12/11,59,,
2023/12/12,56,,
2023/12/13,53,,
2023/12/14,54,,
2023/12/15,52,,
2023/12/16,51,,
2023/12/17,61,,
2023/12/18,52,,
2023/12/19,55,,
2023/12/20,42,,
2023/12/21,53,,
2023/12/22,50,,
2023/12/23,51,,
2023/12/24,54,,
2023/12/25,57,,
2023/12/26,57,,
2023/12/27,42,,
2023/12/28,45,,
2023/12/29,41,,
2023/12/30,41,,
2023/12/31,41,,
2024/1/1,50,,
2024/1/2,48,,
2024/1/3,52,,
2024/1/4,40,,
2024/1/5,48,,
2024/1/6,55,,
2024/1/7,44,,
2024/1/8,51,,
2024/1/9,50,,
2024/1/10,49,,
2024/1/11,56,,
2024/1/12,55,,
2024/1/13,53,,
2024/1/14,53,,
2024/1/15,60,,
2024/1/16,58,,
2024/1/17,54,,
2024/1/18,61,,
2024/1/19,49,,
2024/1/20,52,,
2024/1/21,52,,
2024/1/22,56,,
2024/1/23,63,,
2024/1/24,61,,
2024/1/25,57,,
2024/1/26,58,,
2024/1/27,59,,
2024/1/28,63,,
2024/1/29,60,,
2024/1/30,70,,
2024/1/31,61,,
2024/2/1,72,,
2024/2/2,59,,
2024/2/3,58,,
2024/2/4,52,,
2024/2/5,62,,
2024/2/6,60,,
2024/2/7,60,,
2024/2/8,59,,
2024/2/9,65,,
2024/2/10,61,,
2024/2/11,67,,
2024/2/12,63,,
2024/2/13,57,,
2024/2/14,60,,
2024/2/15,62,,
2024/2/16,63,,
2024/2/17,57,,
2024/2/18,67,,
2024/2/19,57,,
2024/2/20,70,,
2024/2/21,70,,
2024/2/22,70,,
2024/2/23,63,,
2024/2/24,74,,
2024/2/25,56,,
2024/2/26,59,,
2024/2/27,72,,
2024/2/28,63,,
2024/2/29,56,,
2024/3/1,60,,
2024/3/2,42,,
2024/3/3,60,,
2024/3/4,65,,
2024/3/5,65,,
2024/3/6,64,,
2024/3/7,65,,
2024/3/8,63,,
2024/3/9,72,,
2024/3/10,65,,
2024/3/11,60,,
2024/3/12,64,,
2024/3/13,65,,
2024/3/14,65,,
2024/3/15,64,,
