asin,date,daily_salesrank
B0162EV9QQ,2023-01-01,918
B0162EV9QQ,2023-01-02,661
B0162EV9QQ,2023-01-03,806
B0162EV9QQ,2023-01-04,1281
B0162EV9QQ,2023-01-05,1547
B0162EV9QQ,2023-01-06,777
B0162EV9QQ,2023-01-07,916
B0162EV9QQ,2023-01-08,1334
B0162EV9QQ,2023-01-09,1562
B0162EV9QQ,2023-01-10,1767
B0162EV9QQ,2023-01-11,1887
B0162EV9QQ,2023-01-12,2000
B0162EV9QQ,2023-01-13,2054
B0162EV9QQ,2023-01-14,2103
B0162EV9QQ,2023-01-15,2133
B0162EV9QQ,2023-01-16,2204
B0162EV9QQ,2023-01-17,2206
B0162EV9QQ,2023-01-18,2253
B0162EV9QQ,2023-01-19,2293
B0162EV9QQ,2023-01-20,2319
B0162EV9QQ,2023-01-21,2325
B0162EV9QQ,2023-01-22,2351
B0162EV9QQ,2023-01-23,2374
B0162EV9QQ,2023-01-24,2387
B0162EV9QQ,2023-01-25,2398
B0162EV9QQ,2023-01-26,2429
B0162EV9QQ,2023-01-27,2459
B0162EV9QQ,2023-01-28,2485
B0162EV9QQ,2023-01-29,2507
B0162EV9QQ,2023-01-30,776
B0162EV9QQ,2023-01-31,1230
B0162EV9QQ,2023-02-01,1529
B0162EV9QQ,2023-02-02,1730
B0162EV9QQ,2023-02-03,1951
B0162EV9QQ,2023-02-04,2080
B0162EV9QQ,2023-02-05,2213
B0162EV9QQ,2023-02-06,2311
B0162EV9QQ,2023-02-07,2379
B0162EV9QQ,2023-02-08,2412
B0162EV9QQ,2023-02-09,1074
B0162EV9QQ,2023-02-10,1242
B0162EV9QQ,2023-02-11,843
B0162EV9QQ,2023-02-12,1142
B0162EV9QQ,2023-02-13,1480
B0162EV9QQ,2023-02-14,577
B0162EV9QQ,2023-02-15,890
B0162EV9QQ,2023-02-16,1262
B0162EV9QQ,2023-02-17,1496
B0162EV9QQ,2023-02-18,1699
B0162EV9QQ,2023-02-19,1851
B0162EV9QQ,2023-02-20,1983
B0162EV9QQ,2023-02-21,2068
B0162EV9QQ,2023-02-22,2138
B0162EV9QQ,2023-02-23,2214
B0162EV9QQ,2023-02-24,2258
B0162EV9QQ,2023-02-25,439
B0162EV9QQ,2023-02-26,789
B0162EV9QQ,2023-02-27,1189
B0162EV9QQ,2023-02-28,1363
B0162EV9QQ,2023-03-01,1613
B0162EV9QQ,2023-03-02,1765
B0162EV9QQ,2023-03-03,1977
B0162EV9QQ,2023-03-04,2035
B0162EV9QQ,2023-03-05,2141
B0162EV9QQ,2023-03-06,2218
B0162EV9QQ,2023-03-07,2277
B0162EV9QQ,2023-03-08,516
B0162EV9QQ,2023-03-09,913
B0162EV9QQ,2023-03-10,1139
B0162EV9QQ,2023-03-11,1362
B0162EV9QQ,2023-03-12,1652
B0162EV9QQ,2023-03-13,1876
B0162EV9QQ,2023-03-14,1983
B0162EV9QQ,2023-03-15,634
B0162EV9QQ,2023-03-16,632
B0162EV9QQ,2023-03-17,1073
B0162EV9QQ,2023-03-18,1241
B0162EV9QQ,2023-03-19,1484
B0162EV9QQ,2023-03-20,1742
B0162EV9QQ,2023-03-21,1742
B0162EV9QQ,2023-03-22,1951
B0162EV9QQ,2023-03-23,2002
B0162EV9QQ,2023-03-24,629
B0162EV9QQ,2023-03-25,1008
B0162EV9QQ,2023-03-26,578
B0162EV9QQ,2023-03-27,1710
B0162EV9QQ,2023-03-28,1895
B0162EV9QQ,2023-03-29,629
B0162EV9QQ,2023-03-30,1145
B0162EV9QQ,2023-03-31,1348
B0162EV9QQ,2023-04-01,1651
B0162EV9QQ,2023-04-02,753
B0162EV9QQ,2023-04-03,883
B0162EV9QQ,2023-04-04,
B0162EV9QQ,2023-04-05,1575
B0162EV9QQ,2023-04-06,1912
B0162EV9QQ,2023-04-07,863
B0162EV9QQ,2023-04-08,1079
B0162EV9QQ,2023-04-09,
B0162EV9QQ,2023-04-10,625
B0162EV9QQ,2023-04-11,1028
