asin,date,daily_salesrank
B01C10VSM0,2023-01-01,1149
B01C10VSM0,2023-01-02,1368
B01C10VSM0,2023-01-03,1532
B01C10VSM0,2023-01-04,1702
B01C10VSM0,2023-01-05,1874
B01C10VSM0,2023-01-06,635
B01C10VSM0,2023-01-07,1052
B01C10VSM0,2023-01-08,1363
B01C10VSM0,2023-01-09,1537
B01C10VSM0,2023-01-10,1777
B01C10VSM0,2023-01-11,1834
B01C10VSM0,2023-01-12,1969
B01C10VSM0,2023-01-13,1992
B01C10VSM0,2023-01-14,2002
B01C10VSM0,2023-01-15,2046
B01C10VSM0,2023-01-16,2092
B01C10VSM0,2023-01-17,563
B01C10VSM0,2023-01-18,455
B01C10VSM0,2023-01-19,574
B01C10VSM0,2023-01-20,647
B01C10VSM0,2023-01-21,479
B01C10VSM0,2023-01-22,653
B01C10VSM0,2023-01-23,993
B01C10VSM0,2023-01-24,1276
B01C10VSM0,2023-01-25,1426
B01C10VSM0,2023-01-26,1566
B01C10VSM0,2023-01-27,1653
B01C10VSM0,2023-01-28,1705
B01C10VSM0,2023-01-29,1792
B01C10VSM0,2023-01-30,735
B01C10VSM0,2023-01-31,1177
B01C10VSM0,2023-02-01,554
B01C10VSM0,2023-02-02,451
B01C10VSM0,2023-02-03,779
B01C10VSM0,2023-02-04,544
B01C10VSM0,2023-02-05,780
B01C10VSM0,2023-02-06,670
B01C10VSM0,2023-02-07,854
B01C10VSM0,2023-02-08,1067
B01C10VSM0,2023-02-09,1288
B01C10VSM0,2023-02-10,1430
B01C10VSM0,2023-02-11,1586
B01C10VSM0,2023-02-12,1678
B01C10VSM0,2023-02-13,679
B01C10VSM0,2023-02-14,551
B01C10VSM0,2023-02-15,636
B01C10VSM0,2023-02-16,682
B01C10VSM0,2023-02-17,853
B01C10VSM0,2023-02-18,1204
B01C10VSM0,2023-02-19,771
B01C10VSM0,2023-02-20,1126
B01C10VSM0,2023-02-21,367
B01C10VSM0,2023-02-22,623
B01C10VSM0,2023-02-23,741
B01C10VSM0,2023-02-24,1094
B01C10VSM0,2023-02-25,1250
B01C10VSM0,2023-02-26,1428
B01C10VSM0,2023-02-27,1540
B01C10VSM0,2023-02-28,724
B01C10VSM0,2023-03-01,633
B01C10VSM0,2023-03-02,1246
B01C10VSM0,2023-03-03,1517
B01C10VSM0,2023-03-04,1572
B01C10VSM0,2023-03-05,741
B01C10VSM0,2023-03-06,641
B01C10VSM0,2023-03-07,938
B01C10VSM0,2023-03-08,1136
B01C10VSM0,2023-03-09,1424
B01C10VSM0,2023-03-10,1492
B01C10VSM0,2023-03-11,1691
B01C10VSM0,2023-03-12,1789
B01C10VSM0,2023-03-13,1874
B01C10VSM0,2023-03-14,1918
B01C10VSM0,2023-03-15,1944
B01C10VSM0,2023-03-16,2000
B01C10VSM0,2023-03-17,2028
