asin,date,daily_salesrank
B07CDRZYM5,2023-01-01,555
B07CDRZYM5,2023-01-02,563
B07CDRZYM5,2023-01-03,567
B07CDRZYM5,2023-01-04,681
B07CDRZYM5,2023-01-05,681
B07CDRZYM5,2023-01-06,704
B07CDRZYM5,2023-01-07,666
B07CDRZYM5,2023-01-08,689
B07CDRZYM5,2023-01-09,651
B07CDRZYM5,2023-01-10,670
B07CDRZYM5,2023-01-11,643
B07CDRZYM5,2023-01-12,632
B07CDRZYM5,2023-01-13,612
B07CDRZYM5,2023-01-14,592
B07CDRZYM5,2023-01-15,615
B07CDRZYM5,2023-01-16,636
B07CDRZYM5,2023-01-17,614
B07CDRZYM5,2023-01-18,617
B07CDRZYM5,2023-01-19,124
B07CDRZYM5,2023-01-20,107
B07CDRZYM5,2023-01-21,589
B07CDRZYM5,2023-01-22,426
B07CDRZYM5,2023-01-23,470
B07CDRZYM5,2023-01-24,552
B07CDRZYM5,2023-01-25,384
B07CDRZYM5,2023-01-26,320
B07CDRZYM5,2023-01-27,353
B07CDRZYM5,2023-01-28,421
B07CDRZYM5,2023-01-29,526
B07CDRZYM5,2023-01-30,597
B07CDRZYM5,2023-01-31,606
B07CDRZYM5,2023-02-01,376
B07CDRZYM5,2023-02-02,536
B07CDRZYM5,2023-02-03,410
B07CDRZYM5,2023-02-04,515
B07CDRZYM5,2023-02-05,601
B07CDRZYM5,2023-02-06,642
B07CDRZYM5,2023-02-07,584
B07CDRZYM5,2023-02-08,590
B07CDRZYM5,2023-02-09,584
B07CDRZYM5,2023-02-10,596
B07CDRZYM5,2023-02-11,537
B07CDRZYM5,2023-02-12,585
B07CDRZYM5,2023-02-13,651
B07CDRZYM5,2023-02-14,616
B07CDRZYM5,2023-02-15,604
B07CDRZYM5,2023-02-16,625
B07CDRZYM5,2023-02-17,397
B07CDRZYM5,2023-02-18,481
B07CDRZYM5,2023-02-19,564
B07CDRZYM5,2023-02-20,654
B07CDRZYM5,2023-02-21,631
B07CDRZYM5,2023-02-22,422
B07CDRZYM5,2023-02-23,475
B07CDRZYM5,2023-02-24,424
B07CDRZYM5,2023-02-25,335
B07CDRZYM5,2023-02-26,483
B07CDRZYM5,2023-02-27,447
B07CDRZYM5,2023-02-28,387
B07CDRZYM5,2023-03-01,534
B07CDRZYM5,2023-03-02,598
B07CDRZYM5,2023-03-03,662
B07CDRZYM5,2023-03-04,636
B07CDRZYM5,2023-03-05,467
B07CDRZYM5,2023-03-06,485
B07CDRZYM5,2023-03-07,626
B07CDRZYM5,2023-03-08,405
B07CDRZYM5,2023-03-09,348
B07CDRZYM5,2023-03-10,518
B07CDRZYM5,2023-03-11,542
B07CDRZYM5,2023-03-12,634
B07CDRZYM5,2023-03-13,311
B07CDRZYM5,2023-03-14,364
B07CDRZYM5,2023-03-15,305
B07CDRZYM5,2023-03-16,508
B07CDRZYM5,2023-03-17,587
B07CDRZYM5,2023-03-18,441
B07CDRZYM5,2023-03-19,220
B07CDRZYM5,2023-03-20,223
B07CDRZYM5,2023-03-21,190
B07CDRZYM5,2023-03-22,173
B07CDRZYM5,2023-03-23,145
B07CDRZYM5,2023-03-24,220
B07CDRZYM5,2023-03-25,279
B07CDRZYM5,2023-03-26,218
B07CDRZYM5,2023-03-27,216
B07CDRZYM5,2023-03-28,236
B07CDRZYM5,2023-03-29,284
B07CDRZYM5,2023-03-30,468
B07CDRZYM5,2023-03-31,536
B07CDRZYM5,2023-04-01,405
B07CDRZYM5,2023-04-02,455
B07CDRZYM5,2023-04-03,657
B07CDRZYM5,2023-04-04,668
B07CDRZYM5,2023-04-05,672
B07CDRZYM5,2023-04-06,679
B07CDRZYM5,2023-04-07,648
B07CDRZYM5,2023-04-08,436
B07CDRZYM5,2023-04-09,616
B07CDRZYM5,2023-04-10,665
B07CDRZYM5,2023-04-11,665
B07CDRZYM5,2023-04-12,676
B07CDRZYM5,2023-04-13,675
B07CDRZYM5,2023-04-14,372
B07CDRZYM5,2023-04-15,519
B07CDRZYM5,2023-04-16,523
B07CDRZYM5,2023-04-17,593
B07CDRZYM5,2023-04-18,671
B07CDRZYM5,2023-04-19,662
B07CDRZYM5,2023-04-20,686
B07CDRZYM5,2023-04-21,692
B07CDRZYM5,2023-04-22,691
B07CDRZYM5,2023-04-23,738
B07CDRZYM5,2023-04-24,790
B07CDRZYM5,2023-04-25,738
B07CDRZYM5,2023-04-26,513
B07CDRZYM5,2023-04-27,613
B07CDRZYM5,2023-04-28,627
B07CDRZYM5,2023-04-29,700
B07CDRZYM5,2023-04-30,701
B07CDRZYM5,2023-05-01,769
B07CDRZYM5,2023-05-02,752
B07CDRZYM5,2023-05-03,727
B07CDRZYM5,2023-05-04,725
B07CDRZYM5,2023-05-05,711
B07CDRZYM5,2023-05-06,711
B07CDRZYM5,2023-05-07,722
B07CDRZYM5,2023-05-08,470
B07CDRZYM5,2023-05-09,575
B07CDRZYM5,2023-05-10,652
B07CDRZYM5,2023-05-11,682
B07CDRZYM5,2023-05-12,678
B07CDRZYM5,2023-05-13,668
B07CDRZYM5,2023-05-14,727
B07CDRZYM5,2023-05-15,791
B07CDRZYM5,2023-05-16,720
B07CDRZYM5,2023-05-17,783
B07CDRZYM5,2023-05-18,781
B07CDRZYM5,2023-05-19,749
B07CDRZYM5,2023-05-20,389
B07CDRZYM5,2023-05-21,591
B07CDRZYM5,2023-05-22,478
B07CDRZYM5,2023-05-23,588
B07CDRZYM5,2023-05-24,774
B07CDRZYM5,2023-05-25,796
B07CDRZYM5,2023-05-26,716
B07CDRZYM5,2023-05-27,684
B07CDRZYM5,2023-05-28,787
B07CDRZYM5,2023-05-29,709
B07CDRZYM5,2023-05-30,734
B07CDRZYM5,2023-05-31,809
B07CDRZYM5,2023-06-01,818
B07CDRZYM5,2023-06-02,800
B07CDRZYM5,2023-06-03,784
B07CDRZYM5,2023-06-04,797
B07CDRZYM5,2023-06-05,850
B07CDRZYM5,2023-06-06,779
B07CDRZYM5,2023-06-07,804
B07CDRZYM5,2023-06-08,770
B07CDRZYM5,2023-06-09,740
B07CDRZYM5,2023-06-10,731
B07CDRZYM5,2023-06-11,784
B07CDRZYM5,2023-06-12,770
B07CDRZYM5,2023-06-13,550
