asin,date,daily_salesrank
B07JQX29XR,2023-01-01,5377
B07JQX29XR,2023-01-02,5405
B07JQX29XR,2023-01-03,5421
B07JQX29XR,2023-01-04,5429
B07JQX29XR,2023-01-05,5437
B07JQX29XR,2023-01-06,5445
B07JQX29XR,2023-01-07,5450
B07JQX29XR,2023-01-08,5482
B07JQX29XR,2023-01-09,5486
B07JQX29XR,2023-01-10,5494
B07JQX29XR,2023-01-11,559
B07JQX29XR,2023-01-12,1044
B07JQX29XR,2023-01-13,1470
B07JQX29XR,2023-01-14,5520
B07JQX29XR,2023-01-15,5515
B07JQX29XR,2023-01-16,
B07JQX29XR,2023-01-17,5509
B07JQX29XR,2023-01-18,5531
B07JQX29XR,2023-01-19,5547
B07JQX29XR,2023-01-20,5549
B07JQX29XR,2023-01-21,5530
B07JQX29XR,2023-01-22,5528
B07JQX29XR,2023-01-23,5540
B07JQX29XR,2023-01-24,5536
B07JQX29XR,2023-01-25,5526
B07JQX29XR,2023-01-26,5532
B07JQX29XR,2023-01-27,5536
B07JQX29XR,2023-01-28,5527
B07JQX29XR,2023-01-29,5535
B07JQX29XR,2023-01-30,5539
B07JQX29XR,2023-01-31,5550
B07JQX29XR,2023-02-01,5547
B07JQX29XR,2023-02-02,5549
B07JQX29XR,2023-02-03,5555
B07JQX29XR,2023-02-04,
B07JQX29XR,2023-02-05,5566
B07JQX29XR,2023-02-06,5571
B07JQX29XR,2023-02-07,5571
B07JQX29XR,2023-02-08,5569
B07JQX29XR,2023-02-09,5569
B07JQX29XR,2023-02-10,5593
B07JQX29XR,2023-02-11,5578
B07JQX29XR,2023-02-12,5581
B07JQX29XR,2023-02-13,5594
B07JQX29XR,2023-02-14,574
B07JQX29XR,2023-02-15,1002
B07JQX29XR,2023-02-16,1323
B07JQX29XR,2023-02-17,1626
B07JQX29XR,2023-02-18,1902
B07JQX29XR,2023-02-19,2171
B07JQX29XR,2023-02-20,2497
B07JQX29XR,2023-02-21,2646
B07JQX29XR,2023-02-22,2862
B07JQX29XR,2023-02-23,3053
B07JQX29XR,2023-02-24,3214
B07JQX29XR,2023-02-25,3303
B07JQX29XR,2023-02-26,3382
B07JQX29XR,2023-02-27,3437
B07JQX29XR,2023-02-28,3522
B07JQX29XR,2023-03-01,3624
B07JQX29XR,2023-03-02,3639
B07JQX29XR,2023-03-03,3780
B07JQX29XR,2023-03-04,3867
B07JQX29XR,2023-03-05,3924
B07JQX29XR,2023-03-06,4008
B07JQX29XR,2023-03-07,4112
B07JQX29XR,2023-03-08,4158
B07JQX29XR,2023-03-09,4238
B07JQX29XR,2023-03-10,4299
B07JQX29XR,2023-03-11,4370
B07JQX29XR,2023-03-12,4415
B07JQX29XR,2023-03-13,4490
B07JQX29XR,2023-03-14,4541
B07JQX29XR,2023-03-15,4586
B07JQX29XR,2023-03-16,4662
B07JQX29XR,2023-03-17,4717
B07JQX29XR,2023-03-18,4763
B07JQX29XR,2023-03-19,4804
B07JQX29XR,2023-03-20,4854
B07JQX29XR,2023-03-21,4909
B07JQX29XR,2023-03-22,4949
B07JQX29XR,2023-03-23,4985
B07JQX29XR,2023-03-24,5023
B07JQX29XR,2023-03-25,5053
B07JQX29XR,2023-03-26,5095
B07JQX29XR,2023-03-27,5134
B07JQX29XR,2023-03-28,5155
B07JQX29XR,2023-03-29,5204
B07JQX29XR,2023-03-30,5260
B07JQX29XR,2023-03-31,5282
B07JQX29XR,2023-04-01,5299
B07JQX29XR,2023-04-02,5323
B07JQX29XR,2023-04-03,5354
B07JQX29XR,2023-04-04,5374
B07JQX29XR,2023-04-05,5397
B07JQX29XR,2023-04-06,5416
B07JQX29XR,2023-04-07,5424
B07JQX29XR,2023-04-08,5444
B07JQX29XR,2023-04-09,5482
B07JQX29XR,2023-04-10,5485
B07JQX29XR,2023-04-11,5496
B07JQX29XR,2023-04-12,5498
B07JQX29XR,2023-04-13,5508
B07JQX29XR,2023-04-14,5515
B07JQX29XR,2023-04-15,5524
B07JQX29XR,2023-04-16,5520
B07JQX29XR,2023-04-17,5548
B07JQX29XR,2023-04-18,5552
B07JQX29XR,2023-04-19,5566
B07JQX29XR,2023-04-20,5599
B07JQX29XR,2023-04-21,5595
B07JQX29XR,2023-04-22,5607
B07JQX29XR,2023-04-23,5597
B07JQX29XR,2023-04-24,5619
B07JQX29XR,2023-04-25,5633
B07JQX29XR,2023-04-26,5639
B07JQX29XR,2023-04-27,5649
B07JQX29XR,2023-04-28,5669
B07JQX29XR,2023-04-29,5661
B07JQX29XR,2023-04-30,5657
B07JQX29XR,2023-05-01,5650
B07JQX29XR,2023-05-02,5662
B07JQX29XR,2023-05-03,5670
B07JQX29XR,2023-05-04,5680
B07JQX29XR,2023-05-05,5681
B07JQX29XR,2023-05-06,5688
B07JQX29XR,2023-05-07,5682
B07JQX29XR,2023-05-08,5685
B07JQX29XR,2023-05-09,5685
B07JQX29XR,2023-05-10,5706
B07JQX29XR,2023-05-11,5703
B07JQX29XR,2023-05-12,5714
B07JQX29XR,2023-05-13,5727
B07JQX29XR,2023-05-14,5744
B07JQX29XR,2023-05-15,5756
B07JQX29XR,2023-05-16,5755
B07JQX29XR,2023-05-17,5756
B07JQX29XR,2023-05-18,5758
B07JQX29XR,2023-05-19,5735
B07JQX29XR,2023-05-20,5748
B07JQX29XR,2023-05-21,5754
B07JQX29XR,2023-05-22,5756
B07JQX29XR,2023-05-23,5769
B07JQX29XR,2023-05-24,5767
B07JQX29XR,2023-05-25,5769
B07JQX29XR,2023-05-26,5746
B07JQX29XR,2023-05-27,5747
B07JQX29XR,2023-05-28,5752
B07JQX29XR,2023-05-29,5615
B07JQX29XR,2023-05-30,5596
B07JQX29XR,2023-05-31,5591
B07JQX29XR,2023-06-01,
B07JQX29XR,2023-06-02,5569
B07JQX29XR,2023-06-03,5560
B07JQX29XR,2023-06-04,5566
B07JQX29XR,2023-06-05,5582
B07JQX29XR,2023-06-06,5581
B07JQX29XR,2023-06-07,5589
B07JQX29XR,2023-06-08,5587
B07JQX29XR,2023-06-09,5577
B07JQX29XR,2023-06-10,5581
B07JQX29XR,2023-06-11,5583
B07JQX29XR,2023-06-12,5597
B07JQX29XR,2023-06-13,5596
B07JQX29XR,2023-06-14,5596
B07JQX29XR,2023-06-15,5596
B07JQX29XR,2023-06-16,5589
B07JQX29XR,2023-06-17,5578
B07JQX29XR,2023-06-18,5593
B07JQX29XR,2023-06-19,5596
B07JQX29XR,2023-06-20,5607
B07JQX29XR,2023-06-21,5617
B07JQX29XR,2023-06-22,5625
B07JQX29XR,2023-06-23,5586
B07JQX29XR,2023-06-24,5588
B07JQX29XR,2023-06-25,5557
B07JQX29XR,2023-06-26,5556
B07JQX29XR,2023-06-27,5555
B07JQX29XR,2023-06-28,5554
B07JQX29XR,2023-06-29,5552
B07JQX29XR,2023-06-30,5556
B07JQX29XR,2023-07-01,5555
B07JQX29XR,2023-07-02,5563
B07JQX29XR,2023-07-03,5581
B07JQX29XR,2023-07-04,5591
B07JQX29XR,2023-07-05,5604
B07JQX29XR,2023-07-06,696
B07JQX29XR,2023-07-07,880
B07JQX29XR,2023-07-08,1340
B07JQX29XR,2023-07-09,1620
B07JQX29XR,2023-07-10,1973
B07JQX29XR,2023-07-11,2264
B07JQX29XR,2023-07-12,2571
B07JQX29XR,2023-07-13,2911
B07JQX29XR,2023-07-14,3065
B07JQX29XR,2023-07-15,3233
B07JQX29XR,2023-07-16,3323
B07JQX29XR,2023-07-17,3470
B07JQX29XR,2023-07-18,3567
B07JQX29XR,2023-07-19,3649
B07JQX29XR,2023-07-20,3725
B07JQX29XR,2023-07-21,3784
B07JQX29XR,2023-07-22,3840
B07JQX29XR,2023-07-23,3901
B07JQX29XR,2023-07-24,3992
B07JQX29XR,2023-07-25,4041
B07JQX29XR,2023-07-26,4113
B07JQX29XR,2023-07-27,4193
B07JQX29XR,2023-07-28,4228
B07JQX29XR,2023-07-29,4287
B07JQX29XR,2023-07-30,4368
B07JQX29XR,2023-07-31,4410
B07JQX29XR,2023-08-01,4464
B07JQX29XR,2023-08-02,4521
B07JQX29XR,2023-08-03,4566
B07JQX29XR,2023-08-04,4607
B07JQX29XR,2023-08-05,4671
B07JQX29XR,2023-08-06,4712
B07JQX29XR,2023-08-07,4755
B07JQX29XR,2023-08-08,4783
B07JQX29XR,2023-08-09,4839
