asin,date,daily_salesrank
B07SQCZRCG,2023-01-01,
B07SQCZRCG,2023-01-02,
B07SQCZRCG,2023-01-03,
B07SQCZRCG,2023-01-04,
B07SQCZRCG,2023-01-05,
B07SQCZRCG,2023-01-06,
B07SQCZRCG,2023-01-07,
B07SQCZRCG,2023-01-08,
B07SQCZRCG,2023-01-09,
B07SQCZRCG,2023-01-10,
B07SQCZRCG,2023-01-11,
B07SQCZRCG,2023-01-12,
B07SQCZRCG,2023-01-13,
B07SQCZRCG,2023-01-14,
B07SQCZRCG,2023-01-15,
B07SQCZRCG,2023-01-16,
B07SQCZRCG,2023-01-17,
B07SQCZRCG,2023-01-18,
B07SQCZRCG,2023-01-19,
B07SQCZRCG,2023-01-20,
B07SQCZRCG,2023-01-21,
B07SQCZRCG,2023-01-22,
B07SQCZRCG,2023-01-23,
B07SQCZRCG,2023-01-24,
B07SQCZRCG,2023-01-25,
B07SQCZRCG,2023-01-26,
B07SQCZRCG,2023-01-27,
B07SQCZRCG,2023-01-28,
B07SQCZRCG,2023-01-29,
B07SQCZRCG,2023-01-30,
B07SQCZRCG,2023-01-31,
B07SQCZRCG,2023-02-01,
B07SQCZRCG,2023-02-02,
B07SQCZRCG,2023-02-03,
B07SQCZRCG,2023-02-04,
B07SQCZRCG,2023-02-05,
B07SQCZRCG,2023-02-06,
B07SQCZRCG,2023-02-07,
B07SQCZRCG,2023-02-08,
B07SQCZRCG,2023-02-09,
B07SQCZRCG,2023-02-10,
B07SQCZRCG,2023-02-11,
B07SQCZRCG,2023-02-12,
B07SQCZRCG,2023-02-13,
B07SQCZRCG,2023-02-14,
B07SQCZRCG,2023-02-15,
B07SQCZRCG,2023-02-16,
B07SQCZRCG,2023-02-17,
B07SQCZRCG,2023-02-18,
B07SQCZRCG,2023-02-19,
B07SQCZRCG,2023-02-20,
B07SQCZRCG,2023-02-21,
B07SQCZRCG,2023-02-22,
B07SQCZRCG,2023-02-23,
B07SQCZRCG,2023-02-24,
B07SQCZRCG,2023-02-25,
B07SQCZRCG,2023-02-26,
B07SQCZRCG,2023-02-27,
B07SQCZRCG,2023-02-28,
B07SQCZRCG,2023-03-01,
B07SQCZRCG,2023-03-02,
B07SQCZRCG,2023-03-03,
B07SQCZRCG,2023-03-04,
B07SQCZRCG,2023-03-05,
B07SQCZRCG,2023-03-06,
B07SQCZRCG,2023-03-07,
B07SQCZRCG,2023-03-08,
B07SQCZRCG,2023-03-09,
B07SQCZRCG,2023-03-10,
B07SQCZRCG,2023-03-11,
B07SQCZRCG,2023-03-12,
B07SQCZRCG,2023-03-13,
B07SQCZRCG,2023-03-14,
B07SQCZRCG,2023-03-15,
B07SQCZRCG,2023-03-16,
B07SQCZRCG,2023-03-17,
B07SQCZRCG,2023-03-18,
B07SQCZRCG,2023-03-19,
B07SQCZRCG,2023-03-20,
B07SQCZRCG,2023-03-21,
B07SQCZRCG,2023-03-22,
B07SQCZRCG,2023-03-23,
B07SQCZRCG,2023-03-24,
B07SQCZRCG,2023-03-25,
B07SQCZRCG,2023-03-26,
B07SQCZRCG,2023-03-27,
B07SQCZRCG,2023-03-28,
B07SQCZRCG,2023-03-29,
B07SQCZRCG,2023-03-30,
B07SQCZRCG,2023-03-31,
B07SQCZRCG,2023-04-01,
B07SQCZRCG,2023-04-02,
B07SQCZRCG,2023-04-03,
B07SQCZRCG,2023-04-04,
B07SQCZRCG,2023-04-05,
B07SQCZRCG,2023-04-06,
B07SQCZRCG,2023-04-07,
B07SQCZRCG,2023-04-08,
B07SQCZRCG,2023-04-09,
B07SQCZRCG,2023-04-10,
B07SQCZRCG,2023-04-11,
B07SQCZRCG,2023-04-12,
B07SQCZRCG,2023-04-13,
B07SQCZRCG,2023-04-14,
B07SQCZRCG,2023-04-15,
B07SQCZRCG,2023-04-16,
B07SQCZRCG,2023-04-17,
B07SQCZRCG,2023-04-18,
B07SQCZRCG,2023-04-19,
B07SQCZRCG,2023-04-20,
B07SQCZRCG,2023-04-21,
B07SQCZRCG,2023-04-22,
B07SQCZRCG,2023-04-23,
B07SQCZRCG,2023-04-24,
B07SQCZRCG,2023-04-25,
B07SQCZRCG,2023-04-26,
B07SQCZRCG,2023-04-27,
B07SQCZRCG,2023-04-28,
B07SQCZRCG,2023-04-29,
B07SQCZRCG,2023-04-30,
B07SQCZRCG,2023-05-01,
B07SQCZRCG,2023-05-02,
B07SQCZRCG,2023-05-03,
B07SQCZRCG,2023-05-04,
B07SQCZRCG,2023-05-05,
B07SQCZRCG,2023-05-06,
B07SQCZRCG,2023-05-07,
B07SQCZRCG,2023-05-08,
B07SQCZRCG,2023-05-09,
B07SQCZRCG,2023-05-10,
B07SQCZRCG,2023-05-11,
B07SQCZRCG,2023-05-12,
B07SQCZRCG,2023-05-13,
B07SQCZRCG,2023-05-14,
B07SQCZRCG,2023-05-15,
B07SQCZRCG,2023-05-16,
B07SQCZRCG,2023-05-17,
B07SQCZRCG,2023-05-18,
B07SQCZRCG,2023-05-19,
B07SQCZRCG,2023-05-20,
B07SQCZRCG,2023-05-21,
B07SQCZRCG,2023-05-22,
B07SQCZRCG,2023-05-23,
B07SQCZRCG,2023-05-24,
B07SQCZRCG,2023-05-25,
B07SQCZRCG,2023-05-26,
B07SQCZRCG,2023-05-27,
B07SQCZRCG,2023-05-28,
B07SQCZRCG,2023-05-29,
B07SQCZRCG,2023-05-30,
B07SQCZRCG,2023-05-31,
B07SQCZRCG,2023-06-01,
B07SQCZRCG,2023-06-02,
B07SQCZRCG,2023-06-03,
B07SQCZRCG,2023-06-04,
B07SQCZRCG,2023-06-05,
B07SQCZRCG,2023-06-06,
B07SQCZRCG,2023-06-07,
B07SQCZRCG,2023-06-08,
B07SQCZRCG,2023-06-09,
B07SQCZRCG,2023-06-10,
B07SQCZRCG,2023-06-11,
B07SQCZRCG,2023-06-12,
B07SQCZRCG,2023-06-13,
B07SQCZRCG,2023-06-14,
B07SQCZRCG,2023-06-15,
B07SQCZRCG,2023-06-16,
B07SQCZRCG,2023-06-17,
B07SQCZRCG,2023-06-18,
B07SQCZRCG,2023-06-19,
B07SQCZRCG,2023-06-20,
B07SQCZRCG,2023-06-21,
B07SQCZRCG,2023-06-22,
B07SQCZRCG,2023-06-23,
B07SQCZRCG,2023-06-24,
B07SQCZRCG,2023-06-25,
B07SQCZRCG,2023-06-26,
B07SQCZRCG,2023-06-27,
B07SQCZRCG,2023-06-28,
B07SQCZRCG,2023-06-29,
B07SQCZRCG,2023-06-30,
B07SQCZRCG,2023-07-01,
B07SQCZRCG,2023-07-02,
B07SQCZRCG,2023-07-03,
B07SQCZRCG,2023-07-04,
B07SQCZRCG,2023-07-05,
B07SQCZRCG,2023-07-06,
B07SQCZRCG,2023-07-07,
B07SQCZRCG,2023-07-08,
B07SQCZRCG,2023-07-09,
B07SQCZRCG,2023-07-10,
B07SQCZRCG,2023-07-11,
B07SQCZRCG,2023-07-12,
B07SQCZRCG,2023-07-13,
B07SQCZRCG,2023-07-14,
B07SQCZRCG,2023-07-15,
B07SQCZRCG,2023-07-16,
B07SQCZRCG,2023-07-17,
B07SQCZRCG,2023-07-18,
B07SQCZRCG,2023-07-19,
B07SQCZRCG,2023-07-20,
B07SQCZRCG,2023-07-21,
B07SQCZRCG,2023-07-22,
B07SQCZRCG,2023-07-23,
B07SQCZRCG,2023-07-24,
B07SQCZRCG,2023-07-25,
B07SQCZRCG,2023-07-26,
B07SQCZRCG,2023-07-27,
B07SQCZRCG,2023-07-28,
B07SQCZRCG,2023-07-29,
B07SQCZRCG,2023-07-30,
B07SQCZRCG,2023-07-31,
B07SQCZRCG,2023-08-01,
B07SQCZRCG,2023-08-02,
B07SQCZRCG,2023-08-03,
B07SQCZRCG,2023-08-04,
B07SQCZRCG,2023-08-05,
B07SQCZRCG,2023-08-06,
B07SQCZRCG,2023-08-07,
B07SQCZRCG,2023-08-08,
B07SQCZRCG,2023-08-09,
B07SQCZRCG,2023-08-10,
B07SQCZRCG,2023-08-11,
B07SQCZRCG,2023-08-12,
B07SQCZRCG,2023-08-13,
