asin,date,daily_salesrank
B07YC9Z3MV,2023-01-01,4212
B07YC9Z3MV,2023-01-02,4200
B07YC9Z3MV,2023-01-03,4198
B07YC9Z3MV,2023-01-04,4194
B07YC9Z3MV,2023-01-05,4198
B07YC9Z3MV,2023-01-06,4202
B07YC9Z3MV,2023-01-07,4198
B07YC9Z3MV,2023-01-08,4209
B07YC9Z3MV,2023-01-09,4208
B07YC9Z3MV,2023-01-10,4218
B07YC9Z3MV,2023-01-11,
B07YC9Z3MV,2023-01-12,4216
B07YC9Z3MV,2023-01-13,4200
B07YC9Z3MV,2023-01-14,4197
B07YC9Z3MV,2023-01-15,4204
B07YC9Z3MV,2023-01-16,4213
B07YC9Z3MV,2023-01-17,4196
B07YC9Z3MV,2023-01-18,4225
B07YC9Z3MV,2023-01-19,4270
B07YC9Z3MV,2023-01-20,4241
B07YC9Z3MV,2023-01-21,4216
B07YC9Z3MV,2023-01-22,4222
B07YC9Z3MV,2023-01-23,4226
B07YC9Z3MV,2023-01-24,4213
B07YC9Z3MV,2023-01-25,4228
B07YC9Z3MV,2023-01-26,4230
B07YC9Z3MV,2023-01-27,4224
B07YC9Z3MV,2023-01-28,4219
B07YC9Z3MV,2023-01-29,4227
B07YC9Z3MV,2023-01-30,4230
B07YC9Z3MV,2023-01-31,4238
B07YC9Z3MV,2023-02-01,4232
B07YC9Z3MV,2023-02-02,
B07YC9Z3MV,2023-02-03,4222
B07YC9Z3MV,2023-02-04,4222
B07YC9Z3MV,2023-02-05,
B07YC9Z3MV,2023-02-06,4235
B07YC9Z3MV,2023-02-07,4225
B07YC9Z3MV,2023-02-08,4224
B07YC9Z3MV,2023-02-09,4219
B07YC9Z3MV,2023-02-10,4241
B07YC9Z3MV,2023-02-11,4227
B07YC9Z3MV,2023-02-12,4247
B07YC9Z3MV,2023-02-13,4243
B07YC9Z3MV,2023-02-14,4249
B07YC9Z3MV,2023-02-15,4245
B07YC9Z3MV,2023-02-16,
B07YC9Z3MV,2023-02-17,4252
B07YC9Z3MV,2023-02-18,4250
B07YC9Z3MV,2023-02-19,4234
B07YC9Z3MV,2023-02-20,
B07YC9Z3MV,2023-02-21,4245
B07YC9Z3MV,2023-02-22,4244
B07YC9Z3MV,2023-02-23,4266
B07YC9Z3MV,2023-02-24,4268
B07YC9Z3MV,2023-02-25,4259
B07YC9Z3MV,2023-02-26,4254
B07YC9Z3MV,2023-02-27,4224
B07YC9Z3MV,2023-02-28,4222
B07YC9Z3MV,2023-03-01,4226
B07YC9Z3MV,2023-03-02,4239
B07YC9Z3MV,2023-03-03,4256
B07YC9Z3MV,2023-03-04,4268
B07YC9Z3MV,2023-03-05,4272
B07YC9Z3MV,2023-03-06,4280
B07YC9Z3MV,2023-03-07,4294
B07YC9Z3MV,2023-03-08,4302
B07YC9Z3MV,2023-03-09,4320
B07YC9Z3MV,2023-03-10,4309
B07YC9Z3MV,2023-03-11,4327
B07YC9Z3MV,2023-03-12,4317
B07YC9Z3MV,2023-03-13,4318
B07YC9Z3MV,2023-03-14,4324
B07YC9Z3MV,2023-03-15,4328
B07YC9Z3MV,2023-03-16,4347
B07YC9Z3MV,2023-03-17,4347
B07YC9Z3MV,2023-03-18,4370
B07YC9Z3MV,2023-03-19,4356
B07YC9Z3MV,2023-03-20,4368
B07YC9Z3MV,2023-03-21,4376
B07YC9Z3MV,2023-03-22,4374
B07YC9Z3MV,2023-03-23,4373
B07YC9Z3MV,2023-03-24,4365
B07YC9Z3MV,2023-03-25,4372
B07YC9Z3MV,2023-03-26,1996
B07YC9Z3MV,2023-03-27,2000
B07YC9Z3MV,2023-03-28,1993
B07YC9Z3MV,2023-03-29,2007
B07YC9Z3MV,2023-03-30,2006
B07YC9Z3MV,2023-03-31,1978
B07YC9Z3MV,2023-04-01,1971
B07YC9Z3MV,2023-04-02,2024
B07YC9Z3MV,2023-04-03,2063
B07YC9Z3MV,2023-04-04,2089
B07YC9Z3MV,2023-04-05,2069
B07YC9Z3MV,2023-04-06,2059
B07YC9Z3MV,2023-04-07,2038
B07YC9Z3MV,2023-04-08,2032
B07YC9Z3MV,2023-04-09,2048
B07YC9Z3MV,2023-04-10,2027
B07YC9Z3MV,2023-04-11,2046
B07YC9Z3MV,2023-04-12,2026
B07YC9Z3MV,2023-04-13,2014
B07YC9Z3MV,2023-04-14,1998
B07YC9Z3MV,2023-04-15,1961
B07YC9Z3MV,2023-04-16,1999
B07YC9Z3MV,2023-04-17,2017
B07YC9Z3MV,2023-04-18,2016
B07YC9Z3MV,2023-04-19,2054
B07YC9Z3MV,2023-04-20,2058
B07YC9Z3MV,2023-04-21,2052
B07YC9Z3MV,2023-04-22,2044
B07YC9Z3MV,2023-04-23,2058
B07YC9Z3MV,2023-04-24,2087
B07YC9Z3MV,2023-04-25,2108
B07YC9Z3MV,2023-04-26,2110
B07YC9Z3MV,2023-04-27,2034
B07YC9Z3MV,2023-04-28,2042
B07YC9Z3MV,2023-04-29,2008
B07YC9Z3MV,2023-04-30,2024
B07YC9Z3MV,2023-05-01,2021
B07YC9Z3MV,2023-05-02,2045
B07YC9Z3MV,2023-05-03,2050
B07YC9Z3MV,2023-05-04,2041
B07YC9Z3MV,2023-05-05,2041
B07YC9Z3MV,2023-05-06,2050
B07YC9Z3MV,2023-05-07,2042
B07YC9Z3MV,2023-05-08,2041
B07YC9Z3MV,2023-05-09,2038
B07YC9Z3MV,2023-05-10,2030
B07YC9Z3MV,2023-05-11,2010
B07YC9Z3MV,2023-05-12,2004
B07YC9Z3MV,2023-05-13,2008
B07YC9Z3MV,2023-05-14,
B07YC9Z3MV,2023-05-15,2045
B07YC9Z3MV,2023-05-16,2064
B07YC9Z3MV,2023-05-17,2077
B07YC9Z3MV,2023-05-18,2101
B07YC9Z3MV,2023-05-19,2079
B07YC9Z3MV,2023-05-20,2091
B07YC9Z3MV,2023-05-21,2097
B07YC9Z3MV,2023-05-22,2071
B07YC9Z3MV,2023-05-23,2083
B07YC9Z3MV,2023-05-24,2087
B07YC9Z3MV,2023-05-25,2078
B07YC9Z3MV,2023-05-26,2050
B07YC9Z3MV,2023-05-27,2001
B07YC9Z3MV,2023-05-28,1987
B07YC9Z3MV,2023-05-29,1937
B07YC9Z3MV,2023-05-30,1944
B07YC9Z3MV,2023-05-31,
B07YC9Z3MV,2023-06-01,1961
B07YC9Z3MV,2023-06-02,1973
B07YC9Z3MV,2023-06-03,
B07YC9Z3MV,2023-06-04,
B07YC9Z3MV,2023-06-05,665
B07YC9Z3MV,2023-06-06,1046
B07YC9Z3MV,2023-06-07,859
B07YC9Z3MV,2023-06-08,
B07YC9Z3MV,2023-06-09,
B07YC9Z3MV,2023-06-10,
B07YC9Z3MV,2023-06-11,1655
B07YC9Z3MV,2023-06-12,1843
B07YC9Z3MV,2023-06-13,
B07YC9Z3MV,2023-06-14,1947
B07YC9Z3MV,2023-06-15,
B07YC9Z3MV,2023-06-16,
B07YC9Z3MV,2023-06-17,
B07YC9Z3MV,2023-06-18,
B07YC9Z3MV,2023-06-19,1989
B07YC9Z3MV,2023-06-20,
B07YC9Z3MV,2023-06-21,649
B07YC9Z3MV,2023-06-22,1406
B07YC9Z3MV,2023-06-23,1552
B07YC9Z3MV,2023-06-24,1693
B07YC9Z3MV,2023-06-25,
B07YC9Z3MV,2023-06-26,1870
B07YC9Z3MV,2023-06-27,
B07YC9Z3MV,2023-06-28,1948
B07YC9Z3MV,2023-06-29,
B07YC9Z3MV,2023-06-30,
B07YC9Z3MV,2023-07-01,1999
B07YC9Z3MV,2023-07-02,
B07YC9Z3MV,2023-07-03,2085
B07YC9Z3MV,2023-07-04,2097
B07YC9Z3MV,2023-07-05,
B07YC9Z3MV,2023-07-06,2128
B07YC9Z3MV,2023-07-07,2101
B07YC9Z3MV,2023-07-08,2066
B07YC9Z3MV,2023-07-09,2078
B07YC9Z3MV,2023-07-10,2094
B07YC9Z3MV,2023-07-11,
B07YC9Z3MV,2023-07-12,2165
B07YC9Z3MV,2023-07-13,2250
B07YC9Z3MV,2023-07-14,
B07YC9Z3MV,2023-07-15,2221
B07YC9Z3MV,2023-07-16,
B07YC9Z3MV,2023-07-17,2135
B07YC9Z3MV,2023-07-18,
B07YC9Z3MV,2023-07-19,2127
B07YC9Z3MV,2023-07-20,
B07YC9Z3MV,2023-07-21,2087
B07YC9Z3MV,2023-07-22,
B07YC9Z3MV,2023-07-23,
B07YC9Z3MV,2023-07-24,2085
B07YC9Z3MV,2023-07-25,
B07YC9Z3MV,2023-07-26,2083
B07YC9Z3MV,2023-07-27,2083
B07YC9Z3MV,2023-07-28,2065
B07YC9Z3MV,2023-07-29,
B07YC9Z3MV,2023-07-30,2039
B07YC9Z3MV,2023-07-31,2072
B07YC9Z3MV,2023-08-01,
B07YC9Z3MV,2023-08-02,
B07YC9Z3MV,2023-08-03,
B07YC9Z3MV,2023-08-04,
B07YC9Z3MV,2023-08-05,
B07YC9Z3MV,2023-08-06,
B07YC9Z3MV,2023-08-07,2103
B07YC9Z3MV,2023-08-08,2107
B07YC9Z3MV,2023-08-09,
B07YC9Z3MV,2023-08-10,
B07YC9Z3MV,2023-08-11,2094
B07YC9Z3MV,2023-08-12,2086
B07YC9Z3MV,2023-08-13,2054
B07YC9Z3MV,2023-08-14,2062
B07YC9Z3MV,2023-08-15,2053
B07YC9Z3MV,2023-08-16,2069
B07YC9Z3MV,2023-08-17,2084
B07YC9Z3MV,2023-08-18,792
B07YC9Z3MV,2023-08-19,
B07YC9Z3MV,2023-08-20,1507
B07YC9Z3MV,2023-08-21,1632
B07YC9Z3MV,2023-08-22,1755
B07YC9Z3MV,2023-08-23,
B07YC9Z3MV,2023-08-24,
B07YC9Z3MV,2023-08-25,
B07YC9Z3MV,2023-08-26,2056
B07YC9Z3MV,2023-08-27,
B07YC9Z3MV,2023-08-28,2050
B07YC9Z3MV,2023-08-29,
B07YC9Z3MV,2023-08-30,
B07YC9Z3MV,2023-08-31,
B07YC9Z3MV,2023-09-01,
B07YC9Z3MV,2023-09-02,
B07YC9Z3MV,2023-09-03,
B07YC9Z3MV,2023-09-04,2093
B07YC9Z3MV,2023-09-05,
B07YC9Z3MV,2023-09-06,
B07YC9Z3MV,2023-09-07,
B07YC9Z3MV,2023-09-08,
B07YC9Z3MV,2023-09-09,2061
B07YC9Z3MV,2023-09-10,
B07YC9Z3MV,2023-09-11,2059
B07YC9Z3MV,2023-09-12,
B07YC9Z3MV,2023-09-13,2088
B07YC9Z3MV,2023-09-14,
B07YC9Z3MV,2023-09-15,
B07YC9Z3MV,2023-09-16,
B07YC9Z3MV,2023-09-17,
B07YC9Z3MV,2023-09-18,
B07YC9Z3MV,2023-09-19,2136
B07YC9Z3MV,2023-09-20,
B07YC9Z3MV,2023-09-21,
B07YC9Z3MV,2023-09-22,2147
B07YC9Z3MV,2023-09-23,
B07YC9Z3MV,2023-09-24,
B07YC9Z3MV,2023-09-25,
B07YC9Z3MV,2023-09-26,2156
B07YC9Z3MV,2023-09-27,
B07YC9Z3MV,2023-09-28,2159
B07YC9Z3MV,2023-09-29,
B07YC9Z3MV,2023-09-30,2147
B07YC9Z3MV,2023-10-01,
B07YC9Z3MV,2023-10-02,
B07YC9Z3MV,2023-10-03,2193
B07YC9Z3MV,2023-10-04,2192
B07YC9Z3MV,2023-10-05,
B07YC9Z3MV,2023-10-06,623
B07YC9Z3MV,2023-10-07,902
B07YC9Z3MV,2023-10-08,1273
B07YC9Z3MV,2023-10-09,
B07YC9Z3MV,2023-10-10,1687
B07YC9Z3MV,2023-10-11,1835
B07YC9Z3MV,2023-10-12,1949
B07YC9Z3MV,2023-10-13,939
B07YC9Z3MV,2023-10-14,1442
B07YC9Z3MV,2023-10-15,1011
B07YC9Z3MV,2023-10-16,1409
B07YC9Z3MV,2023-10-17,1589
B07YC9Z3MV,2023-10-18,1755
B07YC9Z3MV,2023-10-19,1874
B07YC9Z3MV,2023-10-20,
B07YC9Z3MV,2023-10-21,2025
B07YC9Z3MV,2023-10-22,
B07YC9Z3MV,2023-10-23,2056
B07YC9Z3MV,2023-10-24,987
B07YC9Z3MV,2023-10-25,1439
B07YC9Z3MV,2023-10-26,1520
B07YC9Z3MV,2023-10-27,
B07YC9Z3MV,2023-10-28,1846
B07YC9Z3MV,2023-10-29,1887
B07YC9Z3MV,2023-10-30,
B07YC9Z3MV,2023-10-31,1991
B07YC9Z3MV,2023-11-01,2049
B07YC9Z3MV,2023-11-02,
B07YC9Z3MV,2023-11-03,2143
B07YC9Z3MV,2023-11-04,2170
B07YC9Z3MV,2023-11-05,
B07YC9Z3MV,2023-11-06,2200
B07YC9Z3MV,2023-11-07,
B07YC9Z3MV,2023-11-08,669
B07YC9Z3MV,2023-11-09,1020
B07YC9Z3MV,2023-11-10,1329
B07YC9Z3MV,2023-11-11,1664
B07YC9Z3MV,2023-11-12,1792
B07YC9Z3MV,2023-11-13,
