asin,date,daily_salesrank
B07YLRMKRG,2023-01-01,195
B07YLRMKRG,2023-01-02,149
B07YLRMKRG,2023-01-03,50
B07YLRMKRG,2023-01-04,59
B07YLRMKRG,2023-01-05,46
B07YLRMKRG,2023-01-06,48
B07YLRMKRG,2023-01-07,58
B07YLRMKRG,2023-01-08,65
B07YLRMKRG,2023-01-09,86
B07YLRMKRG,2023-01-10,140
B07YLRMKRG,2023-01-11,114
B07YLRMKRG,2023-01-12,70
B07YLRMKRG,2023-01-13,79
B07YLRMKRG,2023-01-14,87
B07YLRMKRG,2023-01-15,138
B07YLRMKRG,2023-01-16,85
B07YLRMKRG,2023-01-17,80
B07YLRMKRG,2023-01-18,94
B07YLRMKRG,2023-01-19,38
B07YLRMKRG,2023-01-20,28
B07YLRMKRG,2023-01-21,28
B07YLRMKRG,2023-01-22,43
B07YLRMKRG,2023-01-23,28
B07YLRMKRG,2023-01-24,32
B07YLRMKRG,2023-01-25,40
B07YLRMKRG,2023-01-26,46
B07YLRMKRG,2023-01-27,45
B07YLRMKRG,2023-01-28,34
B07YLRMKRG,2023-01-29,28
B07YLRMKRG,2023-01-30,42
B07YLRMKRG,2023-01-31,37
B07YLRMKRG,2023-02-01,25
B07YLRMKRG,2023-02-02,26
B07YLRMKRG,2023-02-03,42
B07YLRMKRG,2023-02-04,47
B07YLRMKRG,2023-02-05,61
B07YLRMKRG,2023-02-06,44
B07YLRMKRG,2023-02-07,40
B07YLRMKRG,2023-02-08,36
B07YLRMKRG,2023-02-09,28
B07YLRMKRG,2023-02-10,30
B07YLRMKRG,2023-02-11,38
B07YLRMKRG,2023-02-12,51
B07YLRMKRG,2023-02-13,57
B07YLRMKRG,2023-02-14,46
B07YLRMKRG,2023-02-15,60
B07YLRMKRG,2023-02-16,62
B07YLRMKRG,2023-02-17,48
B07YLRMKRG,2023-02-18,45
B07YLRMKRG,2023-02-19,63
B07YLRMKRG,2023-02-20,57
B07YLRMKRG,2023-02-21,47
B07YLRMKRG,2023-02-22,39
B07YLRMKRG,2023-02-23,39
B07YLRMKRG,2023-02-24,40
B07YLRMKRG,2023-02-25,48
B07YLRMKRG,2023-02-26,60
B07YLRMKRG,2023-02-27,84
B07YLRMKRG,2023-02-28,83
B07YLRMKRG,2023-03-01,92
B07YLRMKRG,2023-03-02,90
B07YLRMKRG,2023-03-03,105
B07YLRMKRG,2023-03-04,119
B07YLRMKRG,2023-03-05,93
B07YLRMKRG,2023-03-06,81
B07YLRMKRG,2023-03-07,83
B07YLRMKRG,2023-03-08,72
B07YLRMKRG,2023-03-09,103
B07YLRMKRG,2023-03-10,103
B07YLRMKRG,2023-03-11,161
B07YLRMKRG,2023-03-12,165
B07YLRMKRG,2023-03-13,195
B07YLRMKRG,2023-03-14,141
B07YLRMKRG,2023-03-15,135
B07YLRMKRG,2023-03-16,127
B07YLRMKRG,2023-03-17,156
B07YLRMKRG,2023-03-18,97
B07YLRMKRG,2023-03-19,109
B07YLRMKRG,2023-03-20,66
B07YLRMKRG,2023-03-21,55
B07YLRMKRG,2023-03-22,61
B07YLRMKRG,2023-03-23,63
B07YLRMKRG,2023-03-24,95
B07YLRMKRG,2023-03-25,94
B07YLRMKRG,2023-03-26,89
B07YLRMKRG,2023-03-27,92
B07YLRMKRG,2023-03-28,142
B07YLRMKRG,2023-03-29,119
B07YLRMKRG,2023-03-30,78
B07YLRMKRG,2023-03-31,61
B07YLRMKRG,2023-04-01,56
B07YLRMKRG,2023-04-02,63
B07YLRMKRG,2023-04-03,67
B07YLRMKRG,2023-04-04,73
B07YLRMKRG,2023-04-05,89
B07YLRMKRG,2023-04-06,110
B07YLRMKRG,2023-04-07,54
B07YLRMKRG,2023-04-08,54
B07YLRMKRG,2023-04-09,55
B07YLRMKRG,2023-04-10,61
B07YLRMKRG,2023-04-11,80
B07YLRMKRG,2023-04-12,93
B07YLRMKRG,2023-04-13,81
B07YLRMKRG,2023-04-14,75
B07YLRMKRG,2023-04-15,50
B07YLRMKRG,2023-04-16,51
B07YLRMKRG,2023-04-17,88
B07YLRMKRG,2023-04-18,74
B07YLRMKRG,2023-04-19,59
