asin,date,daily_salesrank
B07ZPSWGYN,2023-01-01,1097
B07ZPSWGYN,2023-01-02,1068
B07ZPSWGYN,2023-01-03,1099
B07ZPSWGYN,2023-01-04,1249
B07ZPSWGYN,2023-01-05,1247
B07ZPSWGYN,2023-01-06,1231
B07ZPSWGYN,2023-01-07,1239
B07ZPSWGYN,2023-01-08,1259
B07ZPSWGYN,2023-01-09,1224
B07ZPSWGYN,2023-01-10,1245
B07ZPSWGYN,2023-01-11,1212
B07ZPSWGYN,2023-01-12,1210
B07ZPSWGYN,2023-01-13,1201
B07ZPSWGYN,2023-01-14,1149
B07ZPSWGYN,2023-01-15,1181
B07ZPSWGYN,2023-01-16,1221
B07ZPSWGYN,2023-01-17,1178
B07ZPSWGYN,2023-01-18,1191
B07ZPSWGYN,2023-01-19,1166
B07ZPSWGYN,2023-01-20,1149
B07ZPSWGYN,2023-01-21,1137
B07ZPSWGYN,2023-01-22,1145
B07ZPSWGYN,2023-01-23,1169
B07ZPSWGYN,2023-01-24,1156
B07ZPSWGYN,2023-01-25,1150
B07ZPSWGYN,2023-01-26,1144
B07ZPSWGYN,2023-01-27,1144
B07ZPSWGYN,2023-01-28,1125
B07ZPSWGYN,2023-01-29,1187
B07ZPSWGYN,2023-01-30,1236
B07ZPSWGYN,2023-01-31,1228
B07ZPSWGYN,2023-02-01,1222
B07ZPSWGYN,2023-02-02,1227
B07ZPSWGYN,2023-02-03,1237
B07ZPSWGYN,2023-02-04,1205
B07ZPSWGYN,2023-02-05,1227
B07ZPSWGYN,2023-02-06,1255
B07ZPSWGYN,2023-02-07,1168
B07ZPSWGYN,2023-02-08,1144
B07ZPSWGYN,2023-02-09,1127
B07ZPSWGYN,2023-02-10,1155
B07ZPSWGYN,2023-02-11,1128
B07ZPSWGYN,2023-02-12,1189
B07ZPSWGYN,2023-02-13,555
B07ZPSWGYN,2023-02-14,807
B07ZPSWGYN,2023-02-15,1017
B07ZPSWGYN,2023-02-16,1105
B07ZPSWGYN,2023-02-17,1151
B07ZPSWGYN,2023-02-18,1148
B07ZPSWGYN,2023-02-19,1202
B07ZPSWGYN,2023-02-20,1221
B07ZPSWGYN,2023-02-21,1243
B07ZPSWGYN,2023-02-22,1232
B07ZPSWGYN,2023-02-23,1190
B07ZPSWGYN,2023-02-24,1231
B07ZPSWGYN,2023-02-25,1196
B07ZPSWGYN,2023-02-26,1201
B07ZPSWGYN,2023-02-27,1205
B07ZPSWGYN,2023-02-28,1209
B07ZPSWGYN,2023-03-01,1199
B07ZPSWGYN,2023-03-02,1255
B07ZPSWGYN,2023-03-03,1287
B07ZPSWGYN,2023-03-04,1254
B07ZPSWGYN,2023-03-05,1259
B07ZPSWGYN,2023-03-06,1295
B07ZPSWGYN,2023-03-07,1288
B07ZPSWGYN,2023-03-08,1233
B07ZPSWGYN,2023-03-09,1263
B07ZPSWGYN,2023-03-10,1206
B07ZPSWGYN,2023-03-11,1241
B07ZPSWGYN,2023-03-12,1265
B07ZPSWGYN,2023-03-13,1277
B07ZPSWGYN,2023-03-14,1280
B07ZPSWGYN,2023-03-15,1258
B07ZPSWGYN,2023-03-16,1249
B07ZPSWGYN,2023-03-17,1257
B07ZPSWGYN,2023-03-18,1222
B07ZPSWGYN,2023-03-19,587
B07ZPSWGYN,2023-03-20,789
B07ZPSWGYN,2023-03-21,576
B07ZPSWGYN,2023-03-22,862
B07ZPSWGYN,2023-03-23,1044
B07ZPSWGYN,2023-03-24,1133
B07ZPSWGYN,2023-03-25,1217
B07ZPSWGYN,2023-03-26,1257
B07ZPSWGYN,2023-03-27,1301
B07ZPSWGYN,2023-03-28,1297
B07ZPSWGYN,2023-03-29,1292
B07ZPSWGYN,2023-03-30,642
B07ZPSWGYN,2023-03-31,745
B07ZPSWGYN,2023-04-01,1098
B07ZPSWGYN,2023-04-02,1234
B07ZPSWGYN,2023-04-03,724
B07ZPSWGYN,2023-04-04,1131
B07ZPSWGYN,2023-04-05,1195
B07ZPSWGYN,2023-04-06,1247
B07ZPSWGYN,2023-04-07,1226
B07ZPSWGYN,2023-04-08,1251
B07ZPSWGYN,2023-04-09,1289
B07ZPSWGYN,2023-04-10,1289
B07ZPSWGYN,2023-04-11,1305
B07ZPSWGYN,2023-04-12,1297
B07ZPSWGYN,2023-04-13,1266
B07ZPSWGYN,2023-04-14,1271
B07ZPSWGYN,2023-04-15,1188
B07ZPSWGYN,2023-04-16,1244
B07ZPSWGYN,2023-04-17,1328
B07ZPSWGYN,2023-04-18,1314
B07ZPSWGYN,2023-04-19,1304
B07ZPSWGYN,2023-04-20,1328
B07ZPSWGYN,2023-04-21,1326
B07ZPSWGYN,2023-04-22,1291
B07ZPSWGYN,2023-04-23,1369
B07ZPSWGYN,2023-04-24,1409
B07ZPSWGYN,2023-04-25,1361
B07ZPSWGYN,2023-04-26,1344
B07ZPSWGYN,2023-04-27,1322
B07ZPSWGYN,2023-04-28,1303
B07ZPSWGYN,2023-04-29,1286
B07ZPSWGYN,2023-04-30,1341
B07ZPSWGYN,2023-05-01,1359
B07ZPSWGYN,2023-05-02,1397
B07ZPSWGYN,2023-05-03,1344
B07ZPSWGYN,2023-05-04,1317
B07ZPSWGYN,2023-05-05,1311
B07ZPSWGYN,2023-05-06,1358
B07ZPSWGYN,2023-05-07,1316
B07ZPSWGYN,2023-05-08,1329
B07ZPSWGYN,2023-05-09,1330
B07ZPSWGYN,2023-05-10,1308
B07ZPSWGYN,2023-05-11,1307
B07ZPSWGYN,2023-05-12,1325
B07ZPSWGYN,2023-05-13,1281
B07ZPSWGYN,2023-05-14,1306
B07ZPSWGYN,2023-05-15,1351
B07ZPSWGYN,2023-05-16,1320
B07ZPSWGYN,2023-05-17,1365
B07ZPSWGYN,2023-05-18,1368
B07ZPSWGYN,2023-05-19,1371
B07ZPSWGYN,2023-05-20,1320
B07ZPSWGYN,2023-05-21,1333
B07ZPSWGYN,2023-05-22,1363
B07ZPSWGYN,2023-05-23,1340
B07ZPSWGYN,2023-05-24,1349
B07ZPSWGYN,2023-05-25,1330
B07ZPSWGYN,2023-05-26,1308
B07ZPSWGYN,2023-05-27,1303
B07ZPSWGYN,2023-05-28,1293
B07ZPSWGYN,2023-05-29,1263
B07ZPSWGYN,2023-05-30,1268
B07ZPSWGYN,2023-05-31,1277
B07ZPSWGYN,2023-06-01,1330
B07ZPSWGYN,2023-06-02,1331
B07ZPSWGYN,2023-06-03,1367
B07ZPSWGYN,2023-06-04,1383
B07ZPSWGYN,2023-06-05,1416
B07ZPSWGYN,2023-06-06,1374
B07ZPSWGYN,2023-06-07,1365
B07ZPSWGYN,2023-06-08,1318
B07ZPSWGYN,2023-06-09,1301
B07ZPSWGYN,2023-06-10,1310
B07ZPSWGYN,2023-06-11,1314
B07ZPSWGYN,2023-06-12,1395
B07ZPSWGYN,2023-06-13,1343
B07ZPSWGYN,2023-06-14,1341
B07ZPSWGYN,2023-06-15,1316
B07ZPSWGYN,2023-06-16,1348
B07ZPSWGYN,2023-06-17,1343
B07ZPSWGYN,2023-06-18,1358
B07ZPSWGYN,2023-06-19,1373
B07ZPSWGYN,2023-06-20,1371
B07ZPSWGYN,2023-06-21,1362
B07ZPSWGYN,2023-06-22,1373
B07ZPSWGYN,2023-06-23,1344
B07ZPSWGYN,2023-06-24,1332
B07ZPSWGYN,2023-06-25,1314
B07ZPSWGYN,2023-06-26,1367
B07ZPSWGYN,2023-06-27,1386
B07ZPSWGYN,2023-06-28,1347
B07ZPSWGYN,2023-06-29,1325
B07ZPSWGYN,2023-06-30,1338
B07ZPSWGYN,2023-07-01,1379
B07ZPSWGYN,2023-07-02,1433
B07ZPSWGYN,2023-07-03,1491
B07ZPSWGYN,2023-07-04,1458
B07ZPSWGYN,2023-07-05,1444
B07ZPSWGYN,2023-07-06,1422
B07ZPSWGYN,2023-07-07,1392
B07ZPSWGYN,2023-07-08,1338
B07ZPSWGYN,2023-07-09,1378
B07ZPSWGYN,2023-07-10,1475
B07ZPSWGYN,2023-07-11,1483
B07ZPSWGYN,2023-07-12,1575
B07ZPSWGYN,2023-07-13,1633
B07ZPSWGYN,2023-07-14,1507
B07ZPSWGYN,2023-07-15,1434
B07ZPSWGYN,2023-07-16,1413
B07ZPSWGYN,2023-07-17,1388
B07ZPSWGYN,2023-07-18,1406
B07ZPSWGYN,2023-07-19,1425
B07ZPSWGYN,2023-07-20,1403
B07ZPSWGYN,2023-07-21,1366
B07ZPSWGYN,2023-07-22,1332
B07ZPSWGYN,2023-07-23,1348
B07ZPSWGYN,2023-07-24,1404
B07ZPSWGYN,2023-07-25,1403
B07ZPSWGYN,2023-07-26,1396
B07ZPSWGYN,2023-07-27,1346
B07ZPSWGYN,2023-07-28,666
B07ZPSWGYN,2023-07-29,1051
B07ZPSWGYN,2023-07-30,1212
B07ZPSWGYN,2023-07-31,1319
B07ZPSWGYN,2023-08-01,
B07ZPSWGYN,2023-08-02,
B07ZPSWGYN,2023-08-03,1402
B07ZPSWGYN,2023-08-04,
B07ZPSWGYN,2023-08-05,
B07ZPSWGYN,2023-08-06,1393
B07ZPSWGYN,2023-08-07,
B07ZPSWGYN,2023-08-08,
B07ZPSWGYN,2023-08-09,
B07ZPSWGYN,2023-08-10,
B07ZPSWGYN,2023-08-11,1378
B07ZPSWGYN,2023-08-12,1366
B07ZPSWGYN,2023-08-13,1335
B07ZPSWGYN,2023-08-14,1374
B07ZPSWGYN,2023-08-15,1372
B07ZPSWGYN,2023-08-16,1357
B07ZPSWGYN,2023-08-17,1410
B07ZPSWGYN,2023-08-18,1410
B07ZPSWGYN,2023-08-19,1395
B07ZPSWGYN,2023-08-20,1418
B07ZPSWGYN,2023-08-21,1417
B07ZPSWGYN,2023-08-22,1417
B07ZPSWGYN,2023-08-23,1421
B07ZPSWGYN,2023-08-24,1424
B07ZPSWGYN,2023-08-25,1400
B07ZPSWGYN,2023-08-26,1383
B07ZPSWGYN,2023-08-27,1386
B07ZPSWGYN,2023-08-28,739
B07ZPSWGYN,2023-08-29,936
B07ZPSWGYN,2023-08-30,717
B07ZPSWGYN,2023-08-31,1031
B07ZPSWGYN,2023-09-01,1120
B07ZPSWGYN,2023-09-02,1311
B07ZPSWGYN,2023-09-03,1349
B07ZPSWGYN,2023-09-04,1405
B07ZPSWGYN,2023-09-05,1385
B07ZPSWGYN,2023-09-06,1367
B07ZPSWGYN,2023-09-07,1370
B07ZPSWGYN,2023-09-08,1351
B07ZPSWGYN,2023-09-09,1341
B07ZPSWGYN,2023-09-10,1320
B07ZPSWGYN,2023-09-11,1369
B07ZPSWGYN,2023-09-12,1389
B07ZPSWGYN,2023-09-13,1389
B07ZPSWGYN,2023-09-14,1394
B07ZPSWGYN,2023-09-15,1386
B07ZPSWGYN,2023-09-16,1392
B07ZPSWGYN,2023-09-17,1406
B07ZPSWGYN,2023-09-18,1434
B07ZPSWGYN,2023-09-19,1433
B07ZPSWGYN,2023-09-20,796
B07ZPSWGYN,2023-09-21,1085
B07ZPSWGYN,2023-09-22,1214
B07ZPSWGYN,2023-09-23,1280
B07ZPSWGYN,2023-09-24,1367
B07ZPSWGYN,2023-09-25,1400
B07ZPSWGYN,2023-09-26,1401
B07ZPSWGYN,2023-09-27,1432
B07ZPSWGYN,2023-09-28,1383
B07ZPSWGYN,2023-09-29,1351
B07ZPSWGYN,2023-09-30,1381
B07ZPSWGYN,2023-10-01,1407
B07ZPSWGYN,2023-10-02,1459
B07ZPSWGYN,2023-10-03,1466
B07ZPSWGYN,2023-10-04,1394
B07ZPSWGYN,2023-10-05,1388
B07ZPSWGYN,2023-10-06,1379
B07ZPSWGYN,2023-10-07,1372
B07ZPSWGYN,2023-10-08,1391
B07ZPSWGYN,2023-10-09,1396
B07ZPSWGYN,2023-10-10,1400
B07ZPSWGYN,2023-10-11,1426
B07ZPSWGYN,2023-10-12,1404
B07ZPSWGYN,2023-10-13,535
B07ZPSWGYN,2023-10-14,728
B07ZPSWGYN,2023-10-15,1306
B07ZPSWGYN,2023-10-16,1452
B07ZPSWGYN,2023-10-17,1475
B07ZPSWGYN,2023-10-18,1445
B07ZPSWGYN,2023-10-19,1423
B07ZPSWGYN,2023-10-20,1410
B07ZPSWGYN,2023-10-21,1384
B07ZPSWGYN,2023-10-22,1403
B07ZPSWGYN,2023-10-23,1862
B07ZPSWGYN,2023-10-24,1872
B07ZPSWGYN,2023-10-25,1883
B07ZPSWGYN,2023-10-26,1893
B07ZPSWGYN,2023-10-27,1861
B07ZPSWGYN,2023-10-28,649
B07ZPSWGYN,2023-10-29,782
B07ZPSWGYN,2023-10-30,1194
B07ZPSWGYN,2023-10-31,1376
B07ZPSWGYN,2023-11-01,1592
B07ZPSWGYN,2023-11-02,1740
B07ZPSWGYN,2023-11-03,1823
B07ZPSWGYN,2023-11-04,1861
B07ZPSWGYN,2023-11-05,1862
B07ZPSWGYN,2023-11-06,1875
B07ZPSWGYN,2023-11-07,1866
B07ZPSWGYN,2023-11-08,1435
B07ZPSWGYN,2023-11-09,1417
B07ZPSWGYN,2023-11-10,1397
B07ZPSWGYN,2023-11-11,1423
B07ZPSWGYN,2023-11-12,1395
B07ZPSWGYN,2023-11-13,1419
B07ZPSWGYN,2023-11-14,1421
B07ZPSWGYN,2023-11-15,1397
B07ZPSWGYN,2023-11-16,1412
B07ZPSWGYN,2023-11-17,1438
B07ZPSWGYN,2023-11-18,1428
B07ZPSWGYN,2023-11-19,1400
B07ZPSWGYN,2023-11-20,1434
B07ZPSWGYN,2023-11-21,1426
B07ZPSWGYN,2023-11-22,1422
B07ZPSWGYN,2023-11-23,1406
B07ZPSWGYN,2023-11-24,1442
B07ZPSWGYN,2023-11-25,1587
B07ZPSWGYN,2023-11-26,704
B07ZPSWGYN,2023-11-27,1162
B07ZPSWGYN,2023-11-28,1339
B07ZPSWGYN,2023-11-29,1398
B07ZPSWGYN,2023-11-30,1477
B07ZPSWGYN,2023-12-01,1509
B07ZPSWGYN,2023-12-02,1589
B07ZPSWGYN,2023-12-03,1571
B07ZPSWGYN,2023-12-04,1567
B07ZPSWGYN,2023-12-05,1515
B07ZPSWGYN,2023-12-06,1490
B07ZPSWGYN,2023-12-07,
B07ZPSWGYN,2023-12-08,1529
