asin,date,daily_salesrank
B0815PXPKZ,2023-01-01,172
B0815PXPKZ,2023-01-02,148
B0815PXPKZ,2023-01-03,165
B0815PXPKZ,2023-01-04,232
B0815PXPKZ,2023-01-05,107
B0815PXPKZ,2023-01-06,103
B0815PXPKZ,2023-01-07,121
B0815PXPKZ,2023-01-08,132
B0815PXPKZ,2023-01-09,161
B0815PXPKZ,2023-01-10,120
B0815PXPKZ,2023-01-11,99
B0815PXPKZ,2023-01-12,120
B0815PXPKZ,2023-01-13,88
B0815PXPKZ,2023-01-14,97
B0815PXPKZ,2023-01-15,138
B0815PXPKZ,2023-01-16,163
B0815PXPKZ,2023-01-17,227
B0815PXPKZ,2023-01-18,118
B0815PXPKZ,2023-01-19,204
B0815PXPKZ,2023-01-20,157
B0815PXPKZ,2023-01-21,183
B0815PXPKZ,2023-01-22,160
B0815PXPKZ,2023-01-23,163
B0815PXPKZ,2023-01-24,223
B0815PXPKZ,2023-01-25,300
B0815PXPKZ,2023-01-26,224
B0815PXPKZ,2023-01-27,128
B0815PXPKZ,2023-01-28,182
B0815PXPKZ,2023-01-29,158
B0815PXPKZ,2023-01-30,185
B0815PXPKZ,2023-01-31,187
B0815PXPKZ,2023-02-01,185
B0815PXPKZ,2023-02-02,98
B0815PXPKZ,2023-02-03,101
B0815PXPKZ,2023-02-04,110
B0815PXPKZ,2023-02-05,173
B0815PXPKZ,2023-02-06,150
B0815PXPKZ,2023-02-07,192
B0815PXPKZ,2023-02-08,104
B0815PXPKZ,2023-02-09,108
B0815PXPKZ,2023-02-10,106
B0815PXPKZ,2023-02-11,109
B0815PXPKZ,2023-02-12,133
B0815PXPKZ,2023-02-13,144
B0815PXPKZ,2023-02-14,158
B0815PXPKZ,2023-02-15,269
B0815PXPKZ,2023-02-16,141
B0815PXPKZ,2023-02-17,130
B0815PXPKZ,2023-02-18,117
B0815PXPKZ,2023-02-19,169
B0815PXPKZ,2023-02-20,140
B0815PXPKZ,2023-02-21,170
B0815PXPKZ,2023-02-22,111
B0815PXPKZ,2023-02-23,120
B0815PXPKZ,2023-02-24,84
B0815PXPKZ,2023-02-25,90
B0815PXPKZ,2023-02-26,144
B0815PXPKZ,2023-02-27,135
B0815PXPKZ,2023-02-28,138
B0815PXPKZ,2023-03-01,94
B0815PXPKZ,2023-03-02,78
B0815PXPKZ,2023-03-03,78
B0815PXPKZ,2023-03-04,86
B0815PXPKZ,2023-03-05,90
B0815PXPKZ,2023-03-06,82
B0815PXPKZ,2023-03-07,71
B0815PXPKZ,2023-03-08,94
B0815PXPKZ,2023-03-09,99
B0815PXPKZ,2023-03-10,99
B0815PXPKZ,2023-03-11,118
B0815PXPKZ,2023-03-12,109
B0815PXPKZ,2023-03-13,131
B0815PXPKZ,2023-03-14,94
B0815PXPKZ,2023-03-15,118
B0815PXPKZ,2023-03-16,105
B0815PXPKZ,2023-03-17,101
B0815PXPKZ,2023-03-18,112
B0815PXPKZ,2023-03-19,158
B0815PXPKZ,2023-03-20,124
B0815PXPKZ,2023-03-21,178
B0815PXPKZ,2023-03-22,181
B0815PXPKZ,2023-03-23,175
B0815PXPKZ,2023-03-24,170
B0815PXPKZ,2023-03-25,129
B0815PXPKZ,2023-03-26,186
B0815PXPKZ,2023-03-27,194
B0815PXPKZ,2023-03-28,123
B0815PXPKZ,2023-03-29,157
B0815PXPKZ,2023-03-30,142
B0815PXPKZ,2023-03-31,132
B0815PXPKZ,2023-04-01,131
B0815PXPKZ,2023-04-02,152
B0815PXPKZ,2023-04-03,124
B0815PXPKZ,2023-04-04,134
B0815PXPKZ,2023-04-05,130
B0815PXPKZ,2023-04-06,130
B0815PXPKZ,2023-04-07,128
B0815PXPKZ,2023-04-08,132
B0815PXPKZ,2023-04-09,169
B0815PXPKZ,2023-04-10,132
B0815PXPKZ,2023-04-11,80
B0815PXPKZ,2023-04-12,97
B0815PXPKZ,2023-04-13,97
B0815PXPKZ,2023-04-14,87
B0815PXPKZ,2023-04-15,130
B0815PXPKZ,2023-04-16,143
B0815PXPKZ,2023-04-17,165
B0815PXPKZ,2023-04-18,107
B0815PXPKZ,2023-04-19,90
B0815PXPKZ,2023-04-20,95
B0815PXPKZ,2023-04-21,96
B0815PXPKZ,2023-04-22,109
B0815PXPKZ,2023-04-23,145
B0815PXPKZ,2023-04-24,139
B0815PXPKZ,2023-04-25,123
B0815PXPKZ,2023-04-26,101
B0815PXPKZ,2023-04-27,116
B0815PXPKZ,2023-04-28,94
B0815PXPKZ,2023-04-29,124
B0815PXPKZ,2023-04-30,124
B0815PXPKZ,2023-05-01,142
B0815PXPKZ,2023-05-02,110
B0815PXPKZ,2023-05-03,95
B0815PXPKZ,2023-05-04,130
B0815PXPKZ,2023-05-05,130
B0815PXPKZ,2023-05-06,105
B0815PXPKZ,2023-05-07,154
B0815PXPKZ,2023-05-08,129
B0815PXPKZ,2023-05-09,107
B0815PXPKZ,2023-05-10,118
B0815PXPKZ,2023-05-11,99
