asin,date,daily_salesrank
B083PR3Y2K,2023-01-01,8424
B083PR3Y2K,2023-01-02,5250
B083PR3Y2K,2023-01-03,5204
B083PR3Y2K,2023-01-04,7454
B083PR3Y2K,2023-01-05,10555
B083PR3Y2K,2023-01-06,13448
B083PR3Y2K,2023-01-07,13779
B083PR3Y2K,2023-01-08,3820
B083PR3Y2K,2023-01-09,2549
B083PR3Y2K,2023-01-10,7675
B083PR3Y2K,2023-01-11,4354
B083PR3Y2K,2023-01-12,4834
B083PR3Y2K,2023-01-13,3744
B083PR3Y2K,2023-01-14,3079
B083PR3Y2K,2023-01-15,4143
B083PR3Y2K,2023-01-16,3572
B083PR3Y2K,2023-01-17,3854
B083PR3Y2K,2023-01-18,3255
B083PR3Y2K,2023-01-19,2632
B083PR3Y2K,2023-01-20,3108
B083PR3Y2K,2023-01-21,3546
B083PR3Y2K,2023-01-22,2616
B083PR3Y2K,2023-01-23,4234
B083PR3Y2K,2023-01-24,3839
B083PR3Y2K,2023-01-25,2860
B083PR3Y2K,2023-01-26,3946
B083PR3Y2K,2023-01-27,3652
B083PR3Y2K,2023-01-28,2007
B083PR3Y2K,2023-01-29,4349
B083PR3Y2K,2023-01-30,4883
B083PR3Y2K,2023-01-31,11032
B083PR3Y2K,2023-02-01,9701
B083PR3Y2K,2023-02-02,9265
B083PR3Y2K,2023-02-03,13220
B083PR3Y2K,2023-02-04,21605
B083PR3Y2K,2023-02-05,30507
B083PR3Y2K,2023-02-06,36199
B083PR3Y2K,2023-02-07,10124
B083PR3Y2K,2023-02-08,8915
B083PR3Y2K,2023-02-09,13081
B083PR3Y2K,2023-02-10,28330
B083PR3Y2K,2023-02-11,32949
B083PR3Y2K,2023-02-12,41555
B083PR3Y2K,2023-02-13,18307
B083PR3Y2K,2023-02-14,13316
B083PR3Y2K,2023-02-15,28870
B083PR3Y2K,2023-02-16,19109
B083PR3Y2K,2023-02-17,9135
B083PR3Y2K,2023-02-18,9555
B083PR3Y2K,2023-02-19,17203
B083PR3Y2K,2023-02-20,10089
B083PR3Y2K,2023-02-21,17424
B083PR3Y2K,2023-02-22,19503
