asin,date,daily_salesrank
B08B1GLD8L,2023-01-01,31
B08B1GLD8L,2023-01-02,29
B08B1GLD8L,2023-01-03,38
B08B1GLD8L,2023-01-04,48
B08B1GLD8L,2023-01-05,52
B08B1GLD8L,2023-01-06,47
B08B1GLD8L,2023-01-07,54
B08B1GLD8L,2023-01-08,56
B08B1GLD8L,2023-01-09,59
B08B1GLD8L,2023-01-10,62
B08B1GLD8L,2023-01-11,60
B08B1GLD8L,2023-01-12,59
B08B1GLD8L,2023-01-13,48
B08B1GLD8L,2023-01-14,32
B08B1GLD8L,2023-01-15,25
B08B1GLD8L,2023-01-16,25
B08B1GLD8L,2023-01-17,18
B08B1GLD8L,2023-01-18,16
B08B1GLD8L,2023-01-19,14
B08B1GLD8L,2023-01-20,7
B08B1GLD8L,2023-01-21,4
B08B1GLD8L,2023-01-22,4
B08B1GLD8L,2023-01-23,
B08B1GLD8L,2023-01-24,4
B08B1GLD8L,2023-01-25,
B08B1GLD8L,2023-01-26,6
B08B1GLD8L,2023-01-27,7
B08B1GLD8L,2023-01-28,5
B08B1GLD8L,2023-01-29,6
B08B1GLD8L,2023-01-30,9
B08B1GLD8L,2023-01-31,5
B08B1GLD8L,2023-02-01,7
B08B1GLD8L,2023-02-02,6
B08B1GLD8L,2023-02-03,6
B08B1GLD8L,2023-02-04,6
B08B1GLD8L,2023-02-05,7
B08B1GLD8L,2023-02-06,10
B08B1GLD8L,2023-02-07,10
B08B1GLD8L,2023-02-08,13
B08B1GLD8L,2023-02-09,10
B08B1GLD8L,2023-02-10,13
B08B1GLD8L,2023-02-11,13
B08B1GLD8L,2023-02-12,16
B08B1GLD8L,2023-02-13,19
B08B1GLD8L,2023-02-14,17
B08B1GLD8L,2023-02-15,17
B08B1GLD8L,2023-02-16,14
B08B1GLD8L,2023-02-17,16
B08B1GLD8L,2023-02-18,14
B08B1GLD8L,2023-02-19,15
B08B1GLD8L,2023-02-20,22
B08B1GLD8L,2023-02-21,18
B08B1GLD8L,2023-02-22,12
B08B1GLD8L,2023-02-23,12
B08B1GLD8L,2023-02-24,15
B08B1GLD8L,2023-02-25,10
B08B1GLD8L,2023-02-26,10
B08B1GLD8L,2023-02-27,10
B08B1GLD8L,2023-02-28,6
B08B1GLD8L,2023-03-01,5
B08B1GLD8L,2023-03-02,4
B08B1GLD8L,2023-03-03,7
B08B1GLD8L,2023-03-04,8
B08B1GLD8L,2023-03-05,11
B08B1GLD8L,2023-03-06,11
B08B1GLD8L,2023-03-07,12
B08B1GLD8L,2023-03-08,11
B08B1GLD8L,2023-03-09,9
B08B1GLD8L,2023-03-10,9
B08B1GLD8L,2023-03-11,10
B08B1GLD8L,2023-03-12,11
B08B1GLD8L,2023-03-13,12
B08B1GLD8L,2023-03-14,11
B08B1GLD8L,2023-03-15,8
B08B1GLD8L,2023-03-16,8
B08B1GLD8L,2023-03-17,8
B08B1GLD8L,2023-03-18,8
B08B1GLD8L,2023-03-19,7
B08B1GLD8L,2023-03-20,6
B08B1GLD8L,2023-03-21,7
B08B1GLD8L,2023-03-22,5
B08B1GLD8L,2023-03-23,4
B08B1GLD8L,2023-03-24,5
B08B1GLD8L,2023-03-25,5
B08B1GLD8L,2023-03-26,9
B08B1GLD8L,2023-03-27,13
B08B1GLD8L,2023-03-28,13
B08B1GLD8L,2023-03-29,9
B08B1GLD8L,2023-03-30,10
B08B1GLD8L,2023-03-31,9
B08B1GLD8L,2023-04-01,10
B08B1GLD8L,2023-04-02,13
B08B1GLD8L,2023-04-03,14
B08B1GLD8L,2023-04-04,12
B08B1GLD8L,2023-04-05,13
B08B1GLD8L,2023-04-06,12
B08B1GLD8L,2023-04-07,8
B08B1GLD8L,2023-04-08,10
B08B1GLD8L,2023-04-09,13
B08B1GLD8L,2023-04-10,12
