asin,date,daily_salesrank
B094VFZXMG,2023-01-01,339
B094VFZXMG,2023-01-02,372
B094VFZXMG,2023-01-03,337
B094VFZXMG,2023-01-04,280
B094VFZXMG,2023-01-05,319
B094VFZXMG,2023-01-06,267
B094VFZXMG,2023-01-07,342
B094VFZXMG,2023-01-08,315
B094VFZXMG,2023-01-09,318
B094VFZXMG,2023-01-10,304
B094VFZXMG,2023-01-11,273
B094VFZXMG,2023-01-12,236
B094VFZXMG,2023-01-13,118
B094VFZXMG,2023-01-14,180
B094VFZXMG,2023-01-15,203
B094VFZXMG,2023-01-16,255
B094VFZXMG,2023-01-17,266
B094VFZXMG,2023-01-18,302
B094VFZXMG,2023-01-19,203
B094VFZXMG,2023-01-20,292
B094VFZXMG,2023-01-21,339
B094VFZXMG,2023-01-22,305
B094VFZXMG,2023-01-23,360
B094VFZXMG,2023-01-24,330
B094VFZXMG,2023-01-25,237
B094VFZXMG,2023-01-26,200
B094VFZXMG,2023-01-27,138
B094VFZXMG,2023-01-28,256
B094VFZXMG,2023-01-29,225
B094VFZXMG,2023-01-30,308
B094VFZXMG,2023-01-31,291
B094VFZXMG,2023-02-01,189
B094VFZXMG,2023-02-02,196
B094VFZXMG,2023-02-03,267
B094VFZXMG,2023-02-04,345
B094VFZXMG,2023-02-05,490
B094VFZXMG,2023-02-06,448
B094VFZXMG,2023-02-07,340
B094VFZXMG,2023-02-08,403
B094VFZXMG,2023-02-09,507
B094VFZXMG,2023-02-10,231
B094VFZXMG,2023-02-11,160
B094VFZXMG,2023-02-12,166
B094VFZXMG,2023-02-13,226
B094VFZXMG,2023-02-14,167
B094VFZXMG,2023-02-15,188
B094VFZXMG,2023-02-16,166
B094VFZXMG,2023-02-17,150
B094VFZXMG,2023-02-18,210
B094VFZXMG,2023-02-19,192
B094VFZXMG,2023-02-20,158
B094VFZXMG,2023-02-21,158
B094VFZXMG,2023-02-22,301
B094VFZXMG,2023-02-23,274
B094VFZXMG,2023-02-24,227
B094VFZXMG,2023-02-25,216
B094VFZXMG,2023-02-26,283
B094VFZXMG,2023-02-27,174
B094VFZXMG,2023-02-28,289
B094VFZXMG,2023-03-01,320
B094VFZXMG,2023-03-02,116
B094VFZXMG,2023-03-03,116
B094VFZXMG,2023-03-04,106
B094VFZXMG,2023-03-05,126
