asin,date,daily_salesrank
B09571SNLK,2023-01-01,91
B09571SNLK,2023-01-02,80
B09571SNLK,2023-01-03,32
B09571SNLK,2023-01-04,47
B09571SNLK,2023-01-05,46
B09571SNLK,2023-01-06,42
B09571SNLK,2023-01-07,58
B09571SNLK,2023-01-08,70
B09571SNLK,2023-01-09,93
B09571SNLK,2023-01-10,120
B09571SNLK,2023-01-11,155
B09571SNLK,2023-01-12,110
B09571SNLK,2023-01-13,113
B09571SNLK,2023-01-14,90
B09571SNLK,2023-01-15,90
B09571SNLK,2023-01-16,89
B09571SNLK,2023-01-17,84
B09571SNLK,2023-01-18,81
B09571SNLK,2023-01-19,52
B09571SNLK,2023-01-20,62
B09571SNLK,2023-01-21,22
B09571SNLK,2023-01-22,22
B09571SNLK,2023-01-23,25
B09571SNLK,2023-01-24,24
B09571SNLK,2023-01-25,26
B09571SNLK,2023-01-26,23
B09571SNLK,2023-01-27,24
B09571SNLK,2023-01-28,46
B09571SNLK,2023-01-29,35
B09571SNLK,2023-01-30,65
B09571SNLK,2023-01-31,77
B09571SNLK,2023-02-01,38
B09571SNLK,2023-02-02,40
B09571SNLK,2023-02-03,35
B09571SNLK,2023-02-04,30
B09571SNLK,2023-02-05,35
B09571SNLK,2023-02-06,46
B09571SNLK,2023-02-07,64
B09571SNLK,2023-02-08,30
B09571SNLK,2023-02-09,23
B09571SNLK,2023-02-10,21
B09571SNLK,2023-02-11,16
B09571SNLK,2023-02-12,15
B09571SNLK,2023-02-13,17
B09571SNLK,2023-02-14,17
B09571SNLK,2023-02-15,16
B09571SNLK,2023-02-16,20
B09571SNLK,2023-02-17,19
B09571SNLK,2023-02-18,37
B09571SNLK,2023-02-19,42
B09571SNLK,2023-02-20,49
B09571SNLK,2023-02-21,62
B09571SNLK,2023-02-22,58
B09571SNLK,2023-02-23,54
B09571SNLK,2023-02-24,48
B09571SNLK,2023-02-25,42
B09571SNLK,2023-02-26,34
B09571SNLK,2023-02-27,38
B09571SNLK,2023-02-28,29
