asin,date,daily_salesrank
B09DKK6VCL,2023-01-01,83
B09DKK6VCL,2023-01-02,66
B09DKK6VCL,2023-01-03,55
B09DKK6VCL,2023-01-04,50
B09DKK6VCL,2023-01-05,37
B09DKK6VCL,2023-01-06,40
B09DKK6VCL,2023-01-07,40
B09DKK6VCL,2023-01-08,45
B09DKK6VCL,2023-01-09,69
B09DKK6VCL,2023-01-10,67
B09DKK6VCL,2023-01-11,57
B09DKK6VCL,2023-01-12,64
B09DKK6VCL,2023-01-13,57
B09DKK6VCL,2023-01-14,46
B09DKK6VCL,2023-01-15,53
B09DKK6VCL,2023-01-16,50
B09DKK6VCL,2023-01-17,39
B09DKK6VCL,2023-01-18,48
B09DKK6VCL,2023-01-19,51
B09DKK6VCL,2023-01-20,52
B09DKK6VCL,2023-01-21,45
B09DKK6VCL,2023-01-22,46
B09DKK6VCL,2023-01-23,55
B09DKK6VCL,2023-01-24,32
B09DKK6VCL,2023-01-25,50
B09DKK6VCL,2023-01-26,42
B09DKK6VCL,2023-01-27,45
B09DKK6VCL,2023-01-28,34
B09DKK6VCL,2023-01-29,44
B09DKK6VCL,2023-01-30,47
B09DKK6VCL,2023-01-31,56
B09DKK6VCL,2023-02-01,56
B09DKK6VCL,2023-02-02,27
B09DKK6VCL,2023-02-03,22
B09DKK6VCL,2023-02-04,19
B09DKK6VCL,2023-02-05,18
B09DKK6VCL,2023-02-06,18
B09DKK6VCL,2023-02-07,30
B09DKK6VCL,2023-02-08,27
B09DKK6VCL,2023-02-09,39
B09DKK6VCL,2023-02-10,78
B09DKK6VCL,2023-02-11,55
B09DKK6VCL,2023-02-12,56
B09DKK6VCL,2023-02-13,52
B09DKK6VCL,2023-02-14,61
B09DKK6VCL,2023-02-15,52
B09DKK6VCL,2023-02-16,64
B09DKK6VCL,2023-02-17,71
B09DKK6VCL,2023-02-18,62
B09DKK6VCL,2023-02-19,84
B09DKK6VCL,2023-02-20,50
B09DKK6VCL,2023-02-21,44
B09DKK6VCL,2023-02-22,51
B09DKK6VCL,2023-02-23,76
B09DKK6VCL,2023-02-24,37
B09DKK6VCL,2023-02-25,46
B09DKK6VCL,2023-02-26,51
B09DKK6VCL,2023-02-27,40
B09DKK6VCL,2023-02-28,40
B09DKK6VCL,2023-03-01,53
B09DKK6VCL,2023-03-02,37
B09DKK6VCL,2023-03-03,31
B09DKK6VCL,2023-03-04,32
B09DKK6VCL,2023-03-05,32
B09DKK6VCL,2023-03-06,48
B09DKK6VCL,2023-03-07,36
B09DKK6VCL,2023-03-08,58
B09DKK6VCL,2023-03-09,55
B09DKK6VCL,2023-03-10,56
B09DKK6VCL,2023-03-11,72
B09DKK6VCL,2023-03-12,71
B09DKK6VCL,2023-03-13,89
B09DKK6VCL,2023-03-14,99
B09DKK6VCL,2023-03-15,106
B09DKK6VCL,2023-03-16,92
B09DKK6VCL,2023-03-17,51
B09DKK6VCL,2023-03-18,49
B09DKK6VCL,2023-03-19,42
B09DKK6VCL,2023-03-20,41
B09DKK6VCL,2023-03-21,75
B09DKK6VCL,2023-03-22,90
B09DKK6VCL,2023-03-23,91
B09DKK6VCL,2023-03-24,114
B09DKK6VCL,2023-03-25,106
B09DKK6VCL,2023-03-26,82
B09DKK6VCL,2023-03-27,108
B09DKK6VCL,2023-03-28,95
B09DKK6VCL,2023-03-29,96
B09DKK6VCL,2023-03-30,104
B09DKK6VCL,2023-03-31,62
B09DKK6VCL,2023-04-01,48
B09DKK6VCL,2023-04-02,65
B09DKK6VCL,2023-04-03,38
B09DKK6VCL,2023-04-04,54
B09DKK6VCL,2023-04-05,51
B09DKK6VCL,2023-04-06,41
B09DKK6VCL,2023-04-07,54
B09DKK6VCL,2023-04-08,56
B09DKK6VCL,2023-04-09,56
B09DKK6VCL,2023-04-10,60
B09DKK6VCL,2023-04-11,63
B09DKK6VCL,2023-04-12,76
B09DKK6VCL,2023-04-13,82
B09DKK6VCL,2023-04-14,57
B09DKK6VCL,2023-04-15,47
B09DKK6VCL,2023-04-16,70
B09DKK6VCL,2023-04-17,90
B09DKK6VCL,2023-04-18,63
B09DKK6VCL,2023-04-19,60
B09DKK6VCL,2023-04-20,88
B09DKK6VCL,2023-04-21,89
B09DKK6VCL,2023-04-22,61
B09DKK6VCL,2023-04-23,33
B09DKK6VCL,2023-04-24,36
B09DKK6VCL,2023-04-25,32
B09DKK6VCL,2023-04-26,28
B09DKK6VCL,2023-04-27,39
B09DKK6VCL,2023-04-28,33
B09DKK6VCL,2023-04-29,52
B09DKK6VCL,2023-04-30,77
B09DKK6VCL,2023-05-01,99
B09DKK6VCL,2023-05-02,123
B09DKK6VCL,2023-05-03,105
B09DKK6VCL,2023-05-04,104
B09DKK6VCL,2023-05-05,91
B09DKK6VCL,2023-05-06,126
B09DKK6VCL,2023-05-07,97
B09DKK6VCL,2023-05-08,84
B09DKK6VCL,2023-05-09,72
B09DKK6VCL,2023-05-10,65
B09DKK6VCL,2023-05-11,82
B09DKK6VCL,2023-05-12,78
B09DKK6VCL,2023-05-13,94
B09DKK6VCL,2023-05-14,98
B09DKK6VCL,2023-05-15,110
B09DKK6VCL,2023-05-16,85
B09DKK6VCL,2023-05-17,77
B09DKK6VCL,2023-05-18,77
B09DKK6VCL,2023-05-19,91
B09DKK6VCL,2023-05-20,102
B09DKK6VCL,2023-05-21,110
B09DKK6VCL,2023-05-22,96
B09DKK6VCL,2023-05-23,97
B09DKK6VCL,2023-05-24,87
B09DKK6VCL,2023-05-25,90
B09DKK6VCL,2023-05-26,84
