asin,date,daily_salesrank
B0BP6ZCQC5,2023-01-01,35
B0BP6ZCQC5,2023-01-02,51
B0BP6ZCQC5,2023-01-03,87
B0BP6ZCQC5,2023-01-04,102
B0BP6ZCQC5,2023-01-05,107
B0BP6ZCQC5,2023-01-06,81
B0BP6ZCQC5,2023-01-07,80
B0BP6ZCQC5,2023-01-08,87
B0BP6ZCQC5,2023-01-09,84
B0BP6ZCQC5,2023-01-10,59
B0BP6ZCQC5,2023-01-11,71
B0BP6ZCQC5,2023-01-12,78
B0BP6ZCQC5,2023-01-13,69
B0BP6ZCQC5,2023-01-14,56
B0BP6ZCQC5,2023-01-15,79
B0BP6ZCQC5,2023-01-16,97
B0BP6ZCQC5,2023-01-17,212
B0BP6ZCQC5,2023-01-18,201
B0BP6ZCQC5,2023-01-19,189
B0BP6ZCQC5,2023-01-20,264
B0BP6ZCQC5,2023-01-21,180
B0BP6ZCQC5,2023-01-22,55
B0BP6ZCQC5,2023-01-23,46
B0BP6ZCQC5,2023-01-24,33
B0BP6ZCQC5,2023-01-25,27
B0BP6ZCQC5,2023-01-26,25
B0BP6ZCQC5,2023-01-27,26
B0BP6ZCQC5,2023-01-28,26
B0BP6ZCQC5,2023-01-29,26
B0BP6ZCQC5,2023-01-30,36
B0BP6ZCQC5,2023-01-31,34
B0BP6ZCQC5,2023-02-01,37
B0BP6ZCQC5,2023-02-02,26
B0BP6ZCQC5,2023-02-03,34
B0BP6ZCQC5,2023-02-04,50
B0BP6ZCQC5,2023-02-05,58
B0BP6ZCQC5,2023-02-06,54
B0BP6ZCQC5,2023-02-07,57
B0BP6ZCQC5,2023-02-08,50
B0BP6ZCQC5,2023-02-09,63
B0BP6ZCQC5,2023-02-10,44
B0BP6ZCQC5,2023-02-11,32
B0BP6ZCQC5,2023-02-12,40
B0BP6ZCQC5,2023-02-13,52
B0BP6ZCQC5,2023-02-14,49
B0BP6ZCQC5,2023-02-15,46
B0BP6ZCQC5,2023-02-16,54
B0BP6ZCQC5,2023-02-17,38
B0BP6ZCQC5,2023-02-18,37
B0BP6ZCQC5,2023-02-19,44
B0BP6ZCQC5,2023-02-20,39
B0BP6ZCQC5,2023-02-21,79
B0BP6ZCQC5,2023-02-22,121
B0BP6ZCQC5,2023-02-23,87
B0BP6ZCQC5,2023-02-24,100
B0BP6ZCQC5,2023-02-25,122
B0BP6ZCQC5,2023-02-26,120
B0BP6ZCQC5,2023-02-27,122
B0BP6ZCQC5,2023-02-28,110
B0BP6ZCQC5,2023-03-01,129
B0BP6ZCQC5,2023-03-02,78
B0BP6ZCQC5,2023-03-03,52
B0BP6ZCQC5,2023-03-04,43
B0BP6ZCQC5,2023-03-05,44
B0BP6ZCQC5,2023-03-06,45
B0BP6ZCQC5,2023-03-07,47
B0BP6ZCQC5,2023-03-08,73
B0BP6ZCQC5,2023-03-09,76
B0BP6ZCQC5,2023-03-10,54
B0BP6ZCQC5,2023-03-11,71
B0BP6ZCQC5,2023-03-12,83
B0BP6ZCQC5,2023-03-13,83
B0BP6ZCQC5,2023-03-14,79
B0BP6ZCQC5,2023-03-15,54
B0BP6ZCQC5,2023-03-16,61
B0BP6ZCQC5,2023-03-17,41
B0BP6ZCQC5,2023-03-18,46
B0BP6ZCQC5,2023-03-19,34
B0BP6ZCQC5,2023-03-20,31
B0BP6ZCQC5,2023-03-21,35
B0BP6ZCQC5,2023-03-22,28
B0BP6ZCQC5,2023-03-23,29
B0BP6ZCQC5,2023-03-24,32
B0BP6ZCQC5,2023-03-25,35
B0BP6ZCQC5,2023-03-26,44
B0BP6ZCQC5,2023-03-27,62
B0BP6ZCQC5,2023-03-28,55
B0BP6ZCQC5,2023-03-29,108
B0BP6ZCQC5,2023-03-30,102
B0BP6ZCQC5,2023-03-31,62
B0BP6ZCQC5,2023-04-01,40
