asin,date,daily_salesrank
B0BP6ZS2TX,2023-01-01,37
B0BP6ZS2TX,2023-01-02,45
B0BP6ZS2TX,2023-01-03,87
B0BP6ZS2TX,2023-01-04,102
B0BP6ZS2TX,2023-01-05,102
B0BP6ZS2TX,2023-01-06,81
B0BP6ZS2TX,2023-01-07,80
B0BP6ZS2TX,2023-01-08,83
B0BP6ZS2TX,2023-01-09,82
B0BP6ZS2TX,2023-01-10,59
B0BP6ZS2TX,2023-01-11,67
B0BP6ZS2TX,2023-01-12,78
B0BP6ZS2TX,2023-01-13,69
B0BP6ZS2TX,2023-01-14,56
B0BP6ZS2TX,2023-01-15,84
B0BP6ZS2TX,2023-01-16,97
B0BP6ZS2TX,2023-01-17,228
B0BP6ZS2TX,2023-01-18,201
B0BP6ZS2TX,2023-01-19,189
B0BP6ZS2TX,2023-01-20,191
B0BP6ZS2TX,2023-01-21,180
B0BP6ZS2TX,2023-01-22,55
B0BP6ZS2TX,2023-01-23,43
B0BP6ZS2TX,2023-01-24,44
B0BP6ZS2TX,2023-01-25,36
B0BP6ZS2TX,2023-01-26,25
B0BP6ZS2TX,2023-01-27,26
B0BP6ZS2TX,2023-01-28,26
B0BP6ZS2TX,2023-01-29,23
B0BP6ZS2TX,2023-01-30,36
B0BP6ZS2TX,2023-01-31,30
B0BP6ZS2TX,2023-02-01,37
B0BP6ZS2TX,2023-02-02,26
B0BP6ZS2TX,2023-02-03,34
B0BP6ZS2TX,2023-02-04,50
B0BP6ZS2TX,2023-02-05,54
B0BP6ZS2TX,2023-02-06,54
B0BP6ZS2TX,2023-02-07,57
B0BP6ZS2TX,2023-02-08,50
B0BP6ZS2TX,2023-02-09,44
B0BP6ZS2TX,2023-02-10,44
B0BP6ZS2TX,2023-02-11,28
B0BP6ZS2TX,2023-02-12,40
B0BP6ZS2TX,2023-02-13,50
B0BP6ZS2TX,2023-02-14,51
B0BP6ZS2TX,2023-02-15,46
B0BP6ZS2TX,2023-02-16,51
B0BP6ZS2TX,2023-02-17,38
B0BP6ZS2TX,2023-02-18,43
B0BP6ZS2TX,2023-02-19,44
B0BP6ZS2TX,2023-02-20,39
B0BP6ZS2TX,2023-02-21,100
B0BP6ZS2TX,2023-02-22,81
B0BP6ZS2TX,2023-02-23,142
B0BP6ZS2TX,2023-02-24,98
B0BP6ZS2TX,2023-02-25,106
B0BP6ZS2TX,2023-02-26,121
B0BP6ZS2TX,2023-02-27,112
B0BP6ZS2TX,2023-02-28,126
B0BP6ZS2TX,2023-03-01,154
B0BP6ZS2TX,2023-03-02,100
B0BP6ZS2TX,2023-03-03,110
B0BP6ZS2TX,2023-03-04,110
B0BP6ZS2TX,2023-03-05,115
B0BP6ZS2TX,2023-03-06,103
B0BP6ZS2TX,2023-03-07,106
B0BP6ZS2TX,2023-03-08,69
B0BP6ZS2TX,2023-03-09,61
B0BP6ZS2TX,2023-03-10,57
B0BP6ZS2TX,2023-03-11,70
B0BP6ZS2TX,2023-03-12,54
B0BP6ZS2TX,2023-03-13,56
B0BP6ZS2TX,2023-03-14,30
B0BP6ZS2TX,2023-03-15,35
B0BP6ZS2TX,2023-03-16,35
B0BP6ZS2TX,2023-03-17,22
B0BP6ZS2TX,2023-03-18,27
B0BP6ZS2TX,2023-03-19,22
B0BP6ZS2TX,2023-03-20,34
B0BP6ZS2TX,2023-03-21,79
B0BP6ZS2TX,2023-03-22,155
B0BP6ZS2TX,2023-03-23,121
B0BP6ZS2TX,2023-03-24,51
B0BP6ZS2TX,2023-03-25,32
B0BP6ZS2TX,2023-03-26,30
B0BP6ZS2TX,2023-03-27,21
B0BP6ZS2TX,2023-03-28,17
B0BP6ZS2TX,2023-03-29,20
B0BP6ZS2TX,2023-03-30,22
B0BP6ZS2TX,2023-03-31,23
B0BP6ZS2TX,2023-04-01,33
B0BP6ZS2TX,2023-04-02,36
B0BP6ZS2TX,2023-04-03,129
B0BP6ZS2TX,2023-04-04,127
B0BP6ZS2TX,2023-04-05,51
B0BP6ZS2TX,2023-04-06,30
B0BP6ZS2TX,2023-04-07,29
B0BP6ZS2TX,2023-04-08,34
B0BP6ZS2TX,2023-04-09,50
B0BP6ZS2TX,2023-04-10,57
B0BP6ZS2TX,2023-04-11,32
B0BP6ZS2TX,2023-04-12,28
B0BP6ZS2TX,2023-04-13,30
B0BP6ZS2TX,2023-04-14,33
B0BP6ZS2TX,2023-04-15,44
B0BP6ZS2TX,2023-04-16,60
B0BP6ZS2TX,2023-04-17,56
B0BP6ZS2TX,2023-04-18,61
B0BP6ZS2TX,2023-04-19,72
B0BP6ZS2TX,2023-04-20,61
B0BP6ZS2TX,2023-04-21,74
B0BP6ZS2TX,2023-04-22,65
B0BP6ZS2TX,2023-04-23,53
B0BP6ZS2TX,2023-04-24,82
B0BP6ZS2TX,2023-04-25,88
B0BP6ZS2TX,2023-04-26,76
B0BP6ZS2TX,2023-04-27,76
B0BP6ZS2TX,2023-04-28,75
B0BP6ZS2TX,2023-04-29,64
B0BP6ZS2TX,2023-04-30,85
B0BP6ZS2TX,2023-05-01,161
B0BP6ZS2TX,2023-05-02,180
B0BP6ZS2TX,2023-05-03,283
B0BP6ZS2TX,2023-05-04,359
B0BP6ZS2TX,2023-05-05,369
B0BP6ZS2TX,2023-05-06,372
B0BP6ZS2TX,2023-05-07,309
B0BP6ZS2TX,2023-05-08,357
B0BP6ZS2TX,2023-05-09,495
B0BP6ZS2TX,2023-05-10,367
B0BP6ZS2TX,2023-05-11,210
B0BP6ZS2TX,2023-05-12,154
B0BP6ZS2TX,2023-05-13,112
B0BP6ZS2TX,2023-05-14,118
B0BP6ZS2TX,2023-05-15,146
B0BP6ZS2TX,2023-05-16,132
B0BP6ZS2TX,2023-05-17,94
B0BP6ZS2TX,2023-05-18,95
B0BP6ZS2TX,2023-05-19,97
B0BP6ZS2TX,2023-05-20,90
B0BP6ZS2TX,2023-05-21,123
B0BP6ZS2TX,2023-05-22,127
B0BP6ZS2TX,2023-05-23,51
B0BP6ZS2TX,2023-05-24,39
B0BP6ZS2TX,2023-05-25,49
B0BP6ZS2TX,2023-05-26,52
