asin,date,daily_salesrank
B0BPM6K84W,2023-01-01,579
B0BPM6K84W,2023-01-02,544
B0BPM6K84W,2023-01-03,591
B0BPM6K84W,2023-01-04,781
B0BPM6K84W,2023-01-05,647
B0BPM6K84W,2023-01-06,1093
B0BPM6K84W,2023-01-07,1335
B0BPM6K84W,2023-01-08,1581
B0BPM6K84W,2023-01-09,1775
B0BPM6K84W,2023-01-10,640
B0BPM6K84W,2023-01-11,1000
B0BPM6K84W,2023-01-12,652
B0BPM6K84W,2023-01-13,456
B0BPM6K84W,2023-01-14,777
B0BPM6K84W,2023-01-15,1127
B0BPM6K84W,2023-01-16,1421
B0BPM6K84W,2023-01-17,19
B0BPM6K84W,2023-01-18,18
B0BPM6K84W,2023-01-19,18
B0BPM6K84W,2023-01-20,17
B0BPM6K84W,2023-01-21,33
B0BPM6K84W,2023-01-22,76
B0BPM6K84W,2023-01-23,97
B0BPM6K84W,2023-01-24,94
B0BPM6K84W,2023-01-25,117
B0BPM6K84W,2023-01-26,137
B0BPM6K84W,2023-01-27,89
B0BPM6K84W,2023-01-28,86
B0BPM6K84W,2023-01-29,101
B0BPM6K84W,2023-01-30,62
B0BPM6K84W,2023-01-31,60
B0BPM6K84W,2023-02-01,30
B0BPM6K84W,2023-02-02,32
B0BPM6K84W,2023-02-03,34
B0BPM6K84W,2023-02-04,41
B0BPM6K84W,2023-02-05,36
B0BPM6K84W,2023-02-06,31
B0BPM6K84W,2023-02-07,33
B0BPM6K84W,2023-02-08,32
B0BPM6K84W,2023-02-09,44
B0BPM6K84W,2023-02-10,65
B0BPM6K84W,2023-02-11,87
B0BPM6K84W,2023-02-12,130
B0BPM6K84W,2023-02-13,159
B0BPM6K84W,2023-02-14,142
B0BPM6K84W,2023-02-15,85
B0BPM6K84W,2023-02-16,68
B0BPM6K84W,2023-02-17,56
B0BPM6K84W,2023-02-18,35
B0BPM6K84W,2023-02-19,28
B0BPM6K84W,2023-02-20,23
B0BPM6K84W,2023-02-21,35
B0BPM6K84W,2023-02-22,34
B0BPM6K84W,2023-02-23,32
B0BPM6K84W,2023-02-24,33
B0BPM6K84W,2023-02-25,35
B0BPM6K84W,2023-02-26,69
B0BPM6K84W,2023-02-27,100
B0BPM6K84W,2023-02-28,97
B0BPM6K84W,2023-03-01,106
B0BPM6K84W,2023-03-02,95
B0BPM6K84W,2023-03-03,91
B0BPM6K84W,2023-03-04,72
B0BPM6K84W,2023-03-05,91
B0BPM6K84W,2023-03-06,103
B0BPM6K84W,2023-03-07,104
B0BPM6K84W,2023-03-08,96
B0BPM6K84W,2023-03-09,123
B0BPM6K84W,2023-03-10,69
B0BPM6K84W,2023-03-11,90
B0BPM6K84W,2023-03-12,59
B0BPM6K84W,2023-03-13,71
B0BPM6K84W,2023-03-14,70
B0BPM6K84W,2023-03-15,84
B0BPM6K84W,2023-03-16,96
B0BPM6K84W,2023-03-17,69
B0BPM6K84W,2023-03-18,78
B0BPM6K84W,2023-03-19,95
B0BPM6K84W,2023-03-20,69
B0BPM6K84W,2023-03-21,75
B0BPM6K84W,2023-03-22,77
B0BPM6K84W,2023-03-23,55
B0BPM6K84W,2023-03-24,47
B0BPM6K84W,2023-03-25,48
B0BPM6K84W,2023-03-26,56
B0BPM6K84W,2023-03-27,63
B0BPM6K84W,2023-03-28,51
B0BPM6K84W,2023-03-29,53
