asin,date,daily_salesrank
B0BPM8TQLZ,2023-01-01,
B0BPM8TQLZ,2023-01-02,
B0BPM8TQLZ,2023-01-03,
B0BPM8TQLZ,2023-01-04,
B0BPM8TQLZ,2023-01-05,648
B0BPM8TQLZ,2023-01-06,750
B0BPM8TQLZ,2023-01-07,1335
B0BPM8TQLZ,2023-01-08,1630
B0BPM8TQLZ,2023-01-09,1919
B0BPM8TQLZ,2023-01-10,2260
B0BPM8TQLZ,2023-01-11,2419
B0BPM8TQLZ,2023-01-12,2671
B0BPM8TQLZ,2023-01-13,2887
B0BPM8TQLZ,2023-01-14,3087
B0BPM8TQLZ,2023-01-15,3237
B0BPM8TQLZ,2023-01-16,3381
B0BPM8TQLZ,2023-01-17,19
B0BPM8TQLZ,2023-01-18,18
B0BPM8TQLZ,2023-01-19,17
B0BPM8TQLZ,2023-01-20,18
B0BPM8TQLZ,2023-01-21,31
B0BPM8TQLZ,2023-01-22,80
B0BPM8TQLZ,2023-01-23,97
B0BPM8TQLZ,2023-01-24,109
B0BPM8TQLZ,2023-01-25,117
B0BPM8TQLZ,2023-01-26,137
B0BPM8TQLZ,2023-01-27,89
B0BPM8TQLZ,2023-01-28,86
B0BPM8TQLZ,2023-01-29,101
B0BPM8TQLZ,2023-01-30,62
B0BPM8TQLZ,2023-01-31,63
B0BPM8TQLZ,2023-02-01,30
B0BPM8TQLZ,2023-02-02,32
B0BPM8TQLZ,2023-02-03,34
B0BPM8TQLZ,2023-02-04,41
B0BPM8TQLZ,2023-02-05,36
B0BPM8TQLZ,2023-02-06,31
B0BPM8TQLZ,2023-02-07,34
B0BPM8TQLZ,2023-02-08,34
B0BPM8TQLZ,2023-02-09,47
B0BPM8TQLZ,2023-02-10,65
B0BPM8TQLZ,2023-02-11,87
B0BPM8TQLZ,2023-02-12,142
B0BPM8TQLZ,2023-02-13,159
B0BPM8TQLZ,2023-02-14,136
B0BPM8TQLZ,2023-02-15,82
B0BPM8TQLZ,2023-02-16,81
B0BPM8TQLZ,2023-02-17,59
B0BPM8TQLZ,2023-02-18,35
B0BPM8TQLZ,2023-02-19,28
B0BPM8TQLZ,2023-02-20,24
B0BPM8TQLZ,2023-02-21,35
B0BPM8TQLZ,2023-02-22,34
B0BPM8TQLZ,2023-02-23,33
B0BPM8TQLZ,2023-02-24,33
B0BPM8TQLZ,2023-02-25,35
B0BPM8TQLZ,2023-02-26,69
B0BPM8TQLZ,2023-02-27,100
B0BPM8TQLZ,2023-02-28,99
B0BPM8TQLZ,2023-03-01,110
B0BPM8TQLZ,2023-03-02,95
B0BPM8TQLZ,2023-03-03,79
B0BPM8TQLZ,2023-03-04,72
B0BPM8TQLZ,2023-03-05,91
B0BPM8TQLZ,2023-03-06,103
B0BPM8TQLZ,2023-03-07,104
B0BPM8TQLZ,2023-03-08,100
B0BPM8TQLZ,2023-03-09,96
B0BPM8TQLZ,2023-03-10,69
B0BPM8TQLZ,2023-03-11,90
B0BPM8TQLZ,2023-03-12,59
B0BPM8TQLZ,2023-03-13,71
B0BPM8TQLZ,2023-03-14,70
B0BPM8TQLZ,2023-03-15,84
B0BPM8TQLZ,2023-03-16,79
B0BPM8TQLZ,2023-03-17,69
B0BPM8TQLZ,2023-03-18,78
B0BPM8TQLZ,2023-03-19,109
B0BPM8TQLZ,2023-03-20,69
B0BPM8TQLZ,2023-03-21,75
B0BPM8TQLZ,2023-03-22,77
B0BPM8TQLZ,2023-03-23,55
B0BPM8TQLZ,2023-03-24,47
B0BPM8TQLZ,2023-03-25,48
B0BPM8TQLZ,2023-03-26,58
B0BPM8TQLZ,2023-03-27,63
B0BPM8TQLZ,2023-03-28,51
B0BPM8TQLZ,2023-03-29,50
B0BPM8TQLZ,2023-03-30,53
B0BPM8TQLZ,2023-03-31,43
B0BPM8TQLZ,2023-04-01,57
B0BPM8TQLZ,2023-04-02,58
B0BPM8TQLZ,2023-04-03,78
B0BPM8TQLZ,2023-04-04,55
B0BPM8TQLZ,2023-04-05,44
B0BPM8TQLZ,2023-04-06,56
B0BPM8TQLZ,2023-04-07,72
B0BPM8TQLZ,2023-04-08,85
B0BPM8TQLZ,2023-04-09,106
