asin,week_start_date,weekly_salesrank
B0162EV9QQ,2023-01-01,661
B0162EV9QQ,2023-01-08,1334
B0162EV9QQ,2023-01-15,2133
B0162EV9QQ,2023-01-22,2351
B0162EV9QQ,2023-01-29,776
B0162EV9QQ,2023-02-05,843
B0162EV9QQ,2023-02-12,577
B0162EV9QQ,2023-02-19,439
B0162EV9QQ,2023-02-26,789
B0162EV9QQ,2023-03-05,516
B0162EV9QQ,2023-03-12,632
B0162EV9QQ,2023-03-19,629
B0162EV9QQ,2023-03-26,578
B0162EV9QQ,2023-04-02,753
B0162EV9QQ,2023-04-09,625
B0162EV9QQ,2023-04-16,569
B0162EV9QQ,2023-04-23,808
B0162EV9QQ,2023-04-30,2132
B0162EV9QQ,2023-05-07,648
B0162EV9QQ,2023-05-14,2170
B0162EV9QQ,2023-05-21,800
B0162EV9QQ,2023-05-28,570
B0162EV9QQ,2023-06-04,675
B0162EV9QQ,2023-06-11,607
B0162EV9QQ,2023-06-18,1973
B0162EV9QQ,2023-06-25,692
B0162EV9QQ,2023-07-02,718
B0162EV9QQ,2023-07-09,1069
B0162EV9QQ,2023-07-16,1819
B0162EV9QQ,2023-07-23,2440
B0162EV9QQ,2023-07-30,716
B0162EV9QQ,2023-08-06,2733
B0162EV9QQ,2023-08-13,683
B0162EV9QQ,2023-08-20,2324
B0162EV9QQ,2023-08-27,719
B0162EV9QQ,2023-09-03,2261
B0162EV9QQ,2023-09-10,2585
B0162EV9QQ,2023-09-17,2732
B0162EV9QQ,2023-09-24,648
B0162EV9QQ,2023-10-01,1533
B0162EV9QQ,2023-10-08,2926
B0162EV9QQ,2023-10-15,2980
B0162EV9QQ,2023-10-22,583
B0162EV9QQ,2023-10-29,651
B0162EV9QQ,2023-11-05,468
B0162EV9QQ,2023-11-12,486
B0162EV9QQ,2023-11-19,603
B0162EV9QQ,2023-11-26,734
B0162EV9QQ,2023-12-03,2126
B0162EV9QQ,2023-12-10,741
B0162EV9QQ,2023-12-17,728
B0162EV9QQ,2023-12-24,1536
B0162EV9QQ,2023-12-31,762
B0162EV9QQ,2024-01-07,578
B0162EV9QQ,2024-01-14,2235
B0162EV9QQ,2024-01-21,2611
B0162EV9QQ,2024-01-28,2808
B0162EV9QQ,2024-02-04,615
B0162EV9QQ,2024-02-11,529
B0162EV9QQ,2024-02-18,617
B0162EV9QQ,2024-02-25,448
B0162EV9QQ,2024-03-03,588
B0162EV9QQ,2024-03-10,779
B0162EV9QQ,2024-03-17,665
B0162EV9QQ,2024-03-24,510
B0162EV9QQ,2024-03-31,737
B0162EV9QQ,2024-04-07,676
B0162EV9QQ,2024-04-14,853
B0162EV9QQ,2024-04-21,1973
B0162EV9QQ,2024-04-28,929
B0162EV9QQ,2024-05-05,2057
B0162EV9QQ,2024-05-12,704
B0162EV9QQ,2024-05-19,643
B0162EV9QQ,2024-05-26,753
B0162EV9QQ,2024-06-02,636
B0162EV9QQ,2024-06-09,632
B0162EV9QQ,2024-06-16,507
B0162EV9QQ,2024-06-23,1283
B0162EV9QQ,2024-06-30,794
B0162EV9QQ,2024-07-07,880
B0162EV9QQ,2024-07-14,730
B0162EV9QQ,2024-07-21,770
B0162EV9QQ,2024-07-28,733
B0162EV9QQ,2024-08-04,907
B0162EV9QQ,2024-08-11,895
B0162EV9QQ,2024-08-18,710
B0162EV9QQ,2024-08-25,1016
B0162EV9QQ,2024-09-01,663
B0162EV9QQ,2024-09-08,865
B0162EV9QQ,2024-09-15,2279
B0162EV9QQ,2024-09-22,559
B0162EV9QQ,2024-09-29,845
B0162EV9QQ,2024-10-06,2635
B0162EV9QQ,2024-10-13,582
B0162EV9QQ,2024-10-20,853
B0162EV9QQ,2024-10-27,510
B0162EV9QQ,2024-11-03,746
B0162EV9QQ,2024-11-10,1090
B0162EV9QQ,2024-11-17,2695
B0162EV9QQ,2024-11-24,838
B0162EV9QQ,2024-12-01,2491
B0162EV9QQ,2024-12-08,859
B0162EV9QQ,2024-12-15,605
B0162EV9QQ,2024-12-22,1740
B0162EV9QQ,2024-12-29,1308
B0162EV9QQ,2025-01-05,1170
B0162EV9QQ,2025-01-12,841
