asin,week_start_date,weekly_salesrank
B01HUJES06,2023-01-01,575
B01HUJES06,2023-01-08,636
B01HUJES06,2023-01-15,618
B01HUJES06,2023-01-22,583
B01HUJES06,2023-01-29,613
B01HUJES06,2023-02-05,558
B01HUJES06,2023-02-12,585
B01HUJES06,2023-02-19,597
B01HUJES06,2023-02-26,617
B01HUJES06,2023-03-05,536
B01HUJES06,2023-03-12,354
B01HUJES06,2023-03-19,1275
B01HUJES06,2023-03-26,1769
B01HUJES06,2023-04-02,728
B01HUJES06,2023-04-09,1874
B01HUJES06,2023-04-16,686
B01HUJES06,2023-04-23,651
B01HUJES06,2023-04-30,1242
B01HUJES06,2023-05-07,595
B01HUJES06,2023-05-14,396
B01HUJES06,2023-05-21,911
B01HUJES06,2023-05-28,1691
B01HUJES06,2023-06-04,1844
B01HUJES06,2023-06-11,1834
B01HUJES06,2023-06-18,669
B01HUJES06,2023-06-25,1642
B01HUJES06,2023-07-02,1929
B01HUJES06,2023-07-09,1987
B01HUJES06,2023-07-16,1961
B01HUJES06,2023-07-23,684
B01HUJES06,2023-07-30,862
B01HUJES06,2023-08-06,1469
B01HUJES06,2023-08-13,613
B01HUJES06,2023-08-20,1541
B01HUJES06,2023-08-27,355
B01HUJES06,2023-09-03,473
B01HUJES06,2023-09-10,811
B01HUJES06,2023-09-17,582
B01HUJES06,2023-09-24,613
B01HUJES06,2023-10-01,437
B01HUJES06,2023-10-08,655
B01HUJES06,2023-10-15,515
B01HUJES06,2023-10-22,547
B01HUJES06,2023-10-29,380
B01HUJES06,2023-11-05,429
B01HUJES06,2023-11-12,904
B01HUJES06,2023-11-19,607
B01HUJES06,2023-11-26,1665
B01HUJES06,2023-12-03,2055
B01HUJES06,2023-12-10,1397
B01HUJES06,2023-12-17,662
B01HUJES06,2023-12-24,1524
B01HUJES06,2023-12-31,1933
B01HUJES06,2024-01-07,2099
B01HUJES06,2024-01-14,2101
B01HUJES06,2024-01-21,2141
B01HUJES06,2024-01-28,2166
B01HUJES06,2024-02-04,712
B01HUJES06,2024-02-11,690
B01HUJES06,2024-02-18,883
B01HUJES06,2024-02-25,2122
B01HUJES06,2024-03-03,621
B01HUJES06,2024-03-10,789
B01HUJES06,2024-03-17,1181
B01HUJES06,2024-03-24,2245
B01HUJES06,2024-03-31,958
B01HUJES06,2024-04-07,701
B01HUJES06,2024-04-14,2053
B01HUJES06,2024-04-21,2299
B01HUJES06,2024-04-28,798
B01HUJES06,2024-05-05,1599
B01HUJES06,2024-05-12,2288
B01HUJES06,2024-05-19,2396
B01HUJES06,2024-05-26,972
B01HUJES06,2024-06-02,2369
B01HUJES06,2024-06-09,2481
B01HUJES06,2024-06-16,814
B01HUJES06,2024-06-23,635
B01HUJES06,2024-06-30,679
B01HUJES06,2024-07-07,769
B01HUJES06,2024-07-14,1702
B01HUJES06,2024-07-21,728
B01HUJES06,2024-07-28,1620
B01HUJES06,2024-08-04,2595
B01HUJES06,2024-08-11,1108
B01HUJES06,2024-08-18,2512
B01HUJES06,2024-08-25,2671
B01HUJES06,2024-09-01,1234
B01HUJES06,2024-09-08,1081
B01HUJES06,2024-09-15,2391
B01HUJES06,2024-09-22,967
B01HUJES06,2024-09-29,1053
B01HUJES06,2024-10-06,2778
B01HUJES06,2024-10-13,2771
B01HUJES06,2024-10-20,2886
B01HUJES06,2024-10-27,2827
B01HUJES06,2024-11-03,635
B01HUJES06,2024-11-10,1982
B01HUJES06,2024-11-17,923
B01HUJES06,2024-11-24,715
B01HUJES06,2024-12-01,1895
B01HUJES06,2024-12-08,638
B01HUJES06,2024-12-15,1553
B01HUJES06,2024-12-22,2629
B01HUJES06,2024-12-29,2734
B01HUJES06,2025-01-05,2838
B01HUJES06,2025-01-12,3000
B01HUJES06,2025-01-19,2980
B01HUJES06,2025-01-26,3026
B01HUJES06,2025-02-02,3075
B01HUJES06,2025-02-09,3129
B01HUJES06,2025-02-16,3208
B01HUJES06,2025-02-23,3234
B01HUJES06,2025-03-02,991
B01HUJES06,2025-03-09,2873
B01HUJES06,2025-03-16,739
B01HUJES06,2025-03-23,2402
B01HUJES06,2025-03-30,3196
B01HUJES06,2025-04-06,3326
B01HUJES06,2025-04-13,3420
B01HUJES06,2025-04-20,1001
B01HUJES06,2025-04-27,2337
B01HUJES06,2025-05-04,3299
B01HUJES06,2025-05-11,3969
B01HUJES06,2025-05-18,4205
B01HUJES06,2025-05-25,4408
B01HUJES06,2025-06-01,4549
B01HUJES06,2025-06-08,4697
B01HUJES06,2025-06-15,4664
B01HUJES06,2025-06-22,4768
B01HUJES06,2025-06-29,4816
B01HUJES06,2025-07-06,4938
B01HUJES06,2025-07-13,5036
B01HUJES06,2025-07-20,5202
B01HUJES06,2025-07-27,5171
B01HUJES06,2025-08-03,5175
B01HUJES06,2025-08-10,5197
B01HUJES06,2025-08-17,1226
B01HUJES06,2025-08-24,3659
B01HUJES06,2025-08-31,4498
B01HUJES06,2025-09-07,4907
B01HUJES06,2025-09-14,5170
B01HUJES06,2025-09-21,1633
B01HUJES06,2025-09-28,1604
B01HUJES06,2025-10-05,1734
B01HUJES06,2025-10-12,2705
B01HUJES06,2025-10-19,1594
B01HUJES06,2025-10-26,4737
B01HUJES06,2025-11-02,5126
B01HUJES06,2025-11-09,5495
B01HUJES06,2025-11-16,1243
B01HUJES06,2025-11-23,2601
B01HUJES06,2025-11-30,4201
B01HUJES06,2025-12-07,4851
B01HUJES06,2025-12-14,1675
B01HUJES06,2025-12-21,5634
B01HUJES06,2025-12-28,5827
