asin,week_start_date,weekly_salesrank
B07CDRZYM5,2023-01-01,555
B07CDRZYM5,2023-01-08,592
B07CDRZYM5,2023-01-15,107
B07CDRZYM5,2023-01-22,320
B07CDRZYM5,2023-01-29,376
B07CDRZYM5,2023-02-05,537
B07CDRZYM5,2023-02-12,397
B07CDRZYM5,2023-02-19,335
B07CDRZYM5,2023-02-26,387
B07CDRZYM5,2023-03-05,348
B07CDRZYM5,2023-03-12,305
B07CDRZYM5,2023-03-19,145
B07CDRZYM5,2023-03-26,216
B07CDRZYM5,2023-04-02,436
B07CDRZYM5,2023-04-09,372
B07CDRZYM5,2023-04-16,523
B07CDRZYM5,2023-04-23,513
B07CDRZYM5,2023-04-30,701
B07CDRZYM5,2023-05-07,470
B07CDRZYM5,2023-05-14,389
B07CDRZYM5,2023-05-21,478
B07CDRZYM5,2023-05-28,709
B07CDRZYM5,2023-06-04,731
B07CDRZYM5,2023-06-11,550
B07CDRZYM5,2023-06-18,709
B07CDRZYM5,2023-06-25,525
B07CDRZYM5,2023-07-02,504
B07CDRZYM5,2023-07-09,477
B07CDRZYM5,2023-07-16,569
B07CDRZYM5,2023-07-23,771
B07CDRZYM5,2023-07-30,632
B07CDRZYM5,2023-08-06,409
B07CDRZYM5,2023-08-13,369
B07CDRZYM5,2023-08-20,412
B07CDRZYM5,2023-08-27,425
B07CDRZYM5,2023-09-03,755
B07CDRZYM5,2023-09-10,451
B07CDRZYM5,2023-09-17,496
B07CDRZYM5,2023-09-24,440
B07CDRZYM5,2023-10-01,771
B07CDRZYM5,2023-10-08,788
B07CDRZYM5,2023-10-15,388
B07CDRZYM5,2023-10-22,505
B07CDRZYM5,2023-10-29,369
B07CDRZYM5,2023-11-05,483
B07CDRZYM5,2023-11-12,455
B07CDRZYM5,2023-11-19,347
B07CDRZYM5,2023-11-26,921
B07CDRZYM5,2023-12-03,456
B07CDRZYM5,2023-12-10,592
B07CDRZYM5,2023-12-17,917
B07CDRZYM5,2023-12-24,860
B07CDRZYM5,2023-12-31,413
B07CDRZYM5,2024-01-07,525
B07CDRZYM5,2024-01-14,421
B07CDRZYM5,2024-01-21,866
B07CDRZYM5,2024-01-28,911
B07CDRZYM5,2024-02-04,54
B07CDRZYM5,2024-02-11,2248
B07CDRZYM5,2024-02-18,874
B07CDRZYM5,2024-02-25,2304
B07CDRZYM5,2024-03-03,3
B07CDRZYM5,2024-03-10,247
B07CDRZYM5,2024-03-17,382
B07CDRZYM5,2024-03-24,580
B07CDRZYM5,2024-03-31,667
B07CDRZYM5,2024-04-07,2
B07CDRZYM5,2024-04-14,2
B07CDRZYM5,2024-04-21,2339
B07CDRZYM5,2024-04-28,2425
B07CDRZYM5,2024-05-05,2489
B07CDRZYM5,2024-05-12,636
B07CDRZYM5,2024-05-19,2152
B07CDRZYM5,2024-05-26,2466
B07CDRZYM5,2024-06-02,890
B07CDRZYM5,2024-06-09,827
B07CDRZYM5,2024-06-16,1100
B07CDRZYM5,2024-06-23,589
B07CDRZYM5,2024-06-30,1757
B07CDRZYM5,2024-07-07,842
B07CDRZYM5,2024-07-14,1688
B07CDRZYM5,2024-07-21,513
B07CDRZYM5,2024-07-28,837
