asin,week_start_date,weekly_salesrank
B07JQX29XR,2023-01-01,5377
B07JQX29XR,2023-01-08,559
B07JQX29XR,2023-01-15,5509
B07JQX29XR,2023-01-22,5526
B07JQX29XR,2023-01-29,5535
B07JQX29XR,2023-02-05,5566
B07JQX29XR,2023-02-12,574
B07JQX29XR,2023-02-19,2171
B07JQX29XR,2023-02-26,3382
B07JQX29XR,2023-03-05,3924
B07JQX29XR,2023-03-12,4415
B07JQX29XR,2023-03-19,4804
B07JQX29XR,2023-03-26,5095
B07JQX29XR,2023-04-02,5323
B07JQX29XR,2023-04-09,5482
B07JQX29XR,2023-04-16,5520
B07JQX29XR,2023-04-23,5597
B07JQX29XR,2023-04-30,5650
B07JQX29XR,2023-05-07,5682
B07JQX29XR,2023-05-14,5735
B07JQX29XR,2023-05-21,5746
B07JQX29XR,2023-05-28,5560
B07JQX29XR,2023-06-04,5566
B07JQX29XR,2023-06-11,5578
B07JQX29XR,2023-06-18,5586
B07JQX29XR,2023-06-25,5552
B07JQX29XR,2023-07-02,696
B07JQX29XR,2023-07-09,1620
B07JQX29XR,2023-07-16,3323
B07JQX29XR,2023-07-23,3901
B07JQX29XR,2023-07-30,4368
B07JQX29XR,2023-08-06,4712
B07JQX29XR,2023-08-13,4975
B07JQX29XR,2023-08-20,5143
B07JQX29XR,2023-08-27,5322
B07JQX29XR,2023-09-03,5388
B07JQX29XR,2023-09-10,5463
B07JQX29XR,2023-09-17,5560
B07JQX29XR,2023-09-24,5599
B07JQX29XR,2023-10-01,5611
B07JQX29XR,2023-10-08,5679
B07JQX29XR,2023-10-15,5693
B07JQX29XR,2023-10-22,5752
B07JQX29XR,2023-10-29,5777
B07JQX29XR,2023-11-05,5814
B07JQX29XR,2023-11-12,5850
B07JQX29XR,2023-11-19,5853
B07JQX29XR,2023-11-26,5875
B07JQX29XR,2023-12-03,5934
B07JQX29XR,2023-12-10,5973
B07JQX29XR,2023-12-17,5995
B07JQX29XR,2023-12-24,6064
B07JQX29XR,2023-12-31,6056
B07JQX29XR,2024-01-07,6066
B07JQX29XR,2024-01-14,6071
B07JQX29XR,2024-01-21,6101
B07JQX29XR,2024-01-28,6120
B07JQX29XR,2024-02-04,6179
B07JQX29XR,2024-02-11,6247
B07JQX29XR,2024-02-18,6273
B07JQX29XR,2024-02-25,6286
B07JQX29XR,2024-03-03,6335
B07JQX29XR,2024-03-10,6381
B07JQX29XR,2024-03-17,6415
B07JQX29XR,2024-03-24,6482
B07JQX29XR,2024-03-31,6531
B07JQX29XR,2024-04-07,6613
B07JQX29XR,2024-04-14,6630
B07JQX29XR,2024-04-21,6655
B07JQX29XR,2024-04-28,6756
B07JQX29XR,2024-05-05,6726
B07JQX29XR,2024-05-12,6761
B07JQX29XR,2024-05-19,6822
B07JQX29XR,2024-05-26,6888
B07JQX29XR,2024-06-02,6914
B07JQX29XR,2024-06-09,6993
B07JQX29XR,2024-06-16,7067
B07JQX29XR,2024-06-23,7071
B07JQX29XR,2024-06-30,7109
B07JQX29XR,2024-07-07,7202
B07JQX29XR,2024-07-14,7329
B07JQX29XR,2024-07-21,7403
B07JQX29XR,2024-07-28,7463
B07JQX29XR,2024-08-04,7523
B07JQX29XR,2024-08-11,7579
B07JQX29XR,2024-08-18,7664
B07JQX29XR,2024-08-25,7706
B07JQX29XR,2024-09-01,7735
B07JQX29XR,2024-09-08,7794
B07JQX29XR,2024-09-15,7798
B07JQX29XR,2024-09-22,7798
B07JQX29XR,2024-09-29,7852
B07JQX29XR,2024-10-06,7901
B07JQX29XR,2024-10-13,8005
B07JQX29XR,2024-10-20,8032
B07JQX29XR,2024-10-27,8103
B07JQX29XR,2024-11-03,8102
B07JQX29XR,2024-11-10,8173
B07JQX29XR,2024-11-17,8239
B07JQX29XR,2024-11-24,8280
B07JQX29XR,2024-12-01,8379
B07JQX29XR,2024-12-08,8469
B07JQX29XR,2024-12-15,8541
B07JQX29XR,2024-12-22,8568
B07JQX29XR,2024-12-29,8696
B07JQX29XR,2025-01-05,8712
B07JQX29XR,2025-01-12,8738
B07JQX29XR,2025-01-19,8759
B07JQX29XR,2025-01-26,8828
B07JQX29XR,2025-02-02,8886
B07JQX29XR,2025-02-09,8945
B07JQX29XR,2025-02-16,9001
B07JQX29XR,2025-02-23,9080
B07JQX29XR,2025-03-02,9124
B07JQX29XR,2025-03-09,9215
B07JQX29XR,2025-03-16,819
B07JQX29XR,2025-03-23,3647
B07JQX29XR,2025-03-30,4962
B07JQX29XR,2025-04-06,5811
B07JQX29XR,2025-04-13,6768
B07JQX29XR,2025-04-20,7313
B07JQX29XR,2025-04-27,7864
B07JQX29XR,2025-05-04,8337
B07JQX29XR,2025-05-11,8847
B07JQX29XR,2025-05-18,9187
B07JQX29XR,2025-05-25,9426
B07JQX29XR,2025-06-01,9592
B07JQX29XR,2025-06-08,9758
B07JQX29XR,2025-06-15,9803
B07JQX29XR,2025-06-22,9873
B07JQX29XR,2025-06-29,9998
B07JQX29XR,2025-07-06,10886
B07JQX29XR,2025-07-13,11041
B07JQX29XR,2025-07-20,11330
B07JQX29XR,2025-07-27,11410
B07JQX29XR,2025-08-03,11491
B07JQX29XR,2025-08-10,11642
B07JQX29XR,2025-08-17,11769
B07JQX29XR,2025-08-24,11832
B07JQX29XR,2025-08-31,11980
B07JQX29XR,2025-09-07,12106
B07JQX29XR,2025-09-14,12243
B07JQX29XR,2025-09-21,12371
B07JQX29XR,2025-09-28,12541
B07JQX29XR,2025-10-05,12602
