asin,week_start_date,weekly_salesrank
B07JR174ZT,2023-01-01,552
B07JR174ZT,2023-01-08,592
B07JR174ZT,2023-01-15,101
B07JR174ZT,2023-01-22,281
B07JR174ZT,2023-01-29,410
B07JR174ZT,2023-02-05,537
B07JR174ZT,2023-02-12,397
B07JR174ZT,2023-02-19,335
B07JR174ZT,2023-02-26,387
B07JR174ZT,2023-03-05,352
B07JR174ZT,2023-03-12,305
B07JR174ZT,2023-03-19,145
B07JR174ZT,2023-03-26,216
B07JR174ZT,2023-04-02,436
B07JR174ZT,2023-04-09,408
B07JR174ZT,2023-04-16,461
B07JR174ZT,2023-04-23,513
B07JR174ZT,2023-04-30,701
B07JR174ZT,2023-05-07,422
B07JR174ZT,2023-05-14,389
B07JR174ZT,2023-05-21,478
B07JR174ZT,2023-05-28,724
B07JR174ZT,2023-06-04,742
B07JR174ZT,2023-06-11,516
B07JR174ZT,2023-06-18,758
B07JR174ZT,2023-06-25,581
B07JR174ZT,2023-07-02,508
B07JR174ZT,2023-07-09,553
B07JR174ZT,2023-07-16,568
B07JR174ZT,2023-07-23,749
B07JR174ZT,2023-07-30,624
B07JR174ZT,2023-08-06,409
B07JR174ZT,2023-08-13,385
B07JR174ZT,2023-08-20,412
B07JR174ZT,2023-08-27,425
B07JR174ZT,2023-09-03,731
B07JR174ZT,2023-09-10,565
B07JR174ZT,2023-09-17,574
B07JR174ZT,2023-09-24,496
B07JR174ZT,2023-10-01,771
B07JR174ZT,2023-10-08,782
B07JR174ZT,2023-10-15,451
B07JR174ZT,2023-10-22,482
B07JR174ZT,2023-10-29,369
B07JR174ZT,2023-11-05,624
B07JR174ZT,2023-11-12,473
B07JR174ZT,2023-11-19,347
B07JR174ZT,2023-11-26,921
B07JR174ZT,2023-12-03,534
B07JR174ZT,2023-12-10,543
B07JR174ZT,2023-12-17,891
B07JR174ZT,2023-12-24,860
B07JR174ZT,2023-12-31,413
B07JR174ZT,2024-01-07,377
B07JR174ZT,2024-01-14,471
B07JR174ZT,2024-01-21,820
B07JR174ZT,2024-01-28,903
B07JR174ZT,2024-02-04,44
B07JR174ZT,2024-02-11,1055
B07JR174ZT,2024-02-18,615
B07JR174ZT,2024-02-25,1066
B07JR174ZT,2024-03-03,3
B07JR174ZT,2024-03-10,247
B07JR174ZT,2024-03-17,382
B07JR174ZT,2024-03-24,11
B07JR174ZT,2024-03-31,549
B07JR174ZT,2024-04-07,2
B07JR174ZT,2024-04-14,2
B07JR174ZT,2024-04-21,1134
B07JR174ZT,2024-04-28,576
B07JR174ZT,2024-05-05,467
B07JR174ZT,2024-05-12,411
B07JR174ZT,2024-05-19,668
B07JR174ZT,2024-05-26,1249
B07JR174ZT,2024-06-02,610
B07JR174ZT,2024-06-09,1249
B07JR174ZT,2024-06-16,694
B07JR174ZT,2024-06-23,650
B07JR174ZT,2024-06-30,724
B07JR174ZT,2024-07-07,1340
B07JR174ZT,2024-07-14,1418
B07JR174ZT,2024-07-21,1400
B07JR174ZT,2024-07-28,1444
B07JR174ZT,2024-08-04,1393
B07JR174ZT,2024-08-11,1418
B07JR174ZT,2024-08-18,827
B07JR174ZT,2024-08-25,592
B07JR174ZT,2024-09-01,766
B07JR174ZT,2024-09-08,483
B07JR174ZT,2024-09-15,559
B07JR174ZT,2024-09-22,692
B07JR174ZT,2024-09-29,1135
B07JR174ZT,2024-10-06,1256
B07JR174ZT,2024-10-13,1274
B07JR174ZT,2024-10-20,611
B07JR174ZT,2024-10-27,527
B07JR174ZT,2024-11-03,636
B07JR174ZT,2024-11-10,504
B07JR174ZT,2024-11-17,504
B07JR174ZT,2024-11-24,320
B07JR174ZT,2024-12-01,864
B07JR174ZT,2024-12-08,1593
B07JR174ZT,2024-12-15,1600
B07JR174ZT,2024-12-22,1564
B07JR174ZT,2024-12-29,689
B07JR174ZT,2025-01-05,1603
B07JR174ZT,2025-01-12,727
B07JR174ZT,2025-01-19,726
B07JR174ZT,2025-01-26,1488
B07JR174ZT,2025-02-02,1604
B07JR174ZT,2025-02-09,1631
B07JR174ZT,2025-02-16,858
B07JR174ZT,2025-02-23,1711
B07JR174ZT,2025-03-02,1693
B07JR174ZT,2025-03-09,818
B07JR174ZT,2025-03-16,1790
B07JR174ZT,2025-03-23,1842
B07JR174ZT,2025-03-30,1034
B07JR174ZT,2025-04-06,980
B07JR174ZT,2025-04-13,1035
B07JR174ZT,2025-04-20,1838
B07JR174ZT,2025-04-27,1841
B07JR174ZT,2025-05-04,1858
B07JR174ZT,2025-05-11,1430
B07JR174ZT,2025-05-18,1310
B07JR174ZT,2025-05-25,1587
B07JR174ZT,2025-06-01,2954
B07JR174ZT,2025-06-08,3657
B07JR174ZT,2025-06-15,3819
B07JR174ZT,2025-06-22,4136
B07JR174ZT,2025-06-29,4255
B07JR174ZT,2025-07-06,4480
B07JR174ZT,2025-07-13,4652
B07JR174ZT,2025-07-20,4741
B07JR174ZT,2025-07-27,4683
B07JR174ZT,2025-08-03,4
B07JR174ZT,2025-08-10,4
B07JR174ZT,2025-08-17,3
B07JR174ZT,2025-08-24,3
B07JR174ZT,2025-08-31,4
B07JR174ZT,2025-09-07,4
B07JR174ZT,2025-09-14,
B07JR174ZT,2025-09-21,4
B07JR174ZT,2025-09-28,6
B07JR174ZT,2025-10-05,5
B07JR174ZT,2025-10-12,6
B07JR174ZT,2025-10-19,
B07JR174ZT,2025-10-26,4
B07JR174ZT,2025-11-02,5
B07JR174ZT,2025-11-09,27
B07JR174ZT,2025-11-16,31
B07JR174ZT,2025-11-23,21
B07JR174ZT,2025-11-30,17
B07JR174ZT,2025-12-07,34
B07JR174ZT,2025-12-14,47
B07JR174ZT,2025-12-21,36
B07JR174ZT,2025-12-28,47
