asin,week_start_date,weekly_salesrank
B07LBWQ3BF,2023-01-01,323
B07LBWQ3BF,2023-01-08,248
B07LBWQ3BF,2023-01-15,391
B07LBWQ3BF,2023-01-22,307
B07LBWQ3BF,2023-01-29,270
B07LBWQ3BF,2023-02-05,286
B07LBWQ3BF,2023-02-12,295
B07LBWQ3BF,2023-02-19,256
B07LBWQ3BF,2023-02-26,213
B07LBWQ3BF,2023-03-05,484
B07LBWQ3BF,2023-03-12,1047
B07LBWQ3BF,2023-03-19,391
B07LBWQ3BF,2023-03-26,270
B07LBWQ3BF,2023-04-02,336
B07LBWQ3BF,2023-04-09,296
B07LBWQ3BF,2023-04-16,428
B07LBWQ3BF,2023-04-23,287
B07LBWQ3BF,2023-04-30,275
B07LBWQ3BF,2023-05-07,328
B07LBWQ3BF,2023-05-14,242
B07LBWQ3BF,2023-05-21,367
B07LBWQ3BF,2023-05-28,298
B07LBWQ3BF,2023-06-04,289
B07LBWQ3BF,2023-06-11,273
B07LBWQ3BF,2023-06-18,284
B07LBWQ3BF,2023-06-25,322
B07LBWQ3BF,2023-07-02,387
B07LBWQ3BF,2023-07-09,333
B07LBWQ3BF,2023-07-16,1119
B07LBWQ3BF,2023-07-23,1455
B07LBWQ3BF,2023-07-30,1601
B07LBWQ3BF,2023-08-06,340
B07LBWQ3BF,2023-08-13,363
B07LBWQ3BF,2023-08-20,283
B07LBWQ3BF,2023-08-27,312
B07LBWQ3BF,2023-09-03,269
B07LBWQ3BF,2023-09-10,249
B07LBWQ3BF,2023-09-17,227
B07LBWQ3BF,2023-09-24,769
B07LBWQ3BF,2023-10-01,1369
B07LBWQ3BF,2023-10-08,437
B07LBWQ3BF,2023-10-15,457
B07LBWQ3BF,2023-10-22,285
B07LBWQ3BF,2023-10-29,375
B07LBWQ3BF,2023-11-05,301
B07LBWQ3BF,2023-11-12,435
B07LBWQ3BF,2023-11-19,341
B07LBWQ3BF,2023-11-26,416
B07LBWQ3BF,2023-12-03,312
B07LBWQ3BF,2023-12-10,1088
B07LBWQ3BF,2023-12-17,1588
B07LBWQ3BF,2023-12-24,319
B07LBWQ3BF,2023-12-31,372
B07LBWQ3BF,2024-01-07,320
B07LBWQ3BF,2024-01-14,372
B07LBWQ3BF,2024-01-21,458
B07LBWQ3BF,2024-01-28,305
B07LBWQ3BF,2024-02-04,340
B07LBWQ3BF,2024-02-11,334
B07LBWQ3BF,2024-02-18,432
B07LBWQ3BF,2024-02-25,321
B07LBWQ3BF,2024-03-03,344
B07LBWQ3BF,2024-03-10,370
B07LBWQ3BF,2024-03-17,197
B07LBWQ3BF,2024-03-24,222
B07LBWQ3BF,2024-03-31,257
B07LBWQ3BF,2024-04-07,222
B07LBWQ3BF,2024-04-14,358
B07LBWQ3BF,2024-04-21,409
B07LBWQ3BF,2024-04-28,420
B07LBWQ3BF,2024-05-05,317
B07LBWQ3BF,2024-05-12,522
B07LBWQ3BF,2024-05-19,573
B07LBWQ3BF,2024-05-26,407
B07LBWQ3BF,2024-06-02,380
B07LBWQ3BF,2024-06-09,528
B07LBWQ3BF,2024-06-16,463
B07LBWQ3BF,2024-06-23,452
B07LBWQ3BF,2024-06-30,467
B07LBWQ3BF,2024-07-07,530
B07LBWQ3BF,2024-07-14,796
B07LBWQ3BF,2024-07-21,680
B07LBWQ3BF,2024-07-28,840
B07LBWQ3BF,2024-08-04,594
B07LBWQ3BF,2024-08-11,730
B07LBWQ3BF,2024-08-18,667
B07LBWQ3BF,2024-08-25,599
B07LBWQ3BF,2024-09-01,786
B07LBWQ3BF,2024-09-08,687
B07LBWQ3BF,2024-09-15,742
B07LBWQ3BF,2024-09-22,969
B07LBWQ3BF,2024-09-29,902
B07LBWQ3BF,2024-10-06,703
B07LBWQ3BF,2024-10-13,737
B07LBWQ3BF,2024-10-20,1125
B07LBWQ3BF,2024-10-27,521
B07LBWQ3BF,2024-11-03,1677
B07LBWQ3BF,2024-11-10,1129
B07LBWQ3BF,2024-11-17,668
B07LBWQ3BF,2024-11-24,1145
B07LBWQ3BF,2024-12-01,829
B07LBWQ3BF,2024-12-08,708
B07LBWQ3BF,2024-12-15,547
B07LBWQ3BF,2024-12-22,578
B07LBWQ3BF,2024-12-29,1570
B07LBWQ3BF,2025-01-05,942
B07LBWQ3BF,2025-01-12,1492
B07LBWQ3BF,2025-01-19,654
B07LBWQ3BF,2025-01-26,806
B07LBWQ3BF,2025-02-02,733
B07LBWQ3BF,2025-02-09,691
B07LBWQ3BF,2025-02-16,738
B07LBWQ3BF,2025-02-23,2338
B07LBWQ3BF,2025-03-02,768
B07LBWQ3BF,2025-03-09,744
B07LBWQ3BF,2025-03-16,795
B07LBWQ3BF,2025-03-23,735
B07LBWQ3BF,2025-03-30,877
B07LBWQ3BF,2025-04-06,763
B07LBWQ3BF,2025-04-13,1267
B07LBWQ3BF,2025-04-20,838
B07LBWQ3BF,2025-04-27,2506
B07LBWQ3BF,2025-05-04,1273
B07LBWQ3BF,2025-05-11,2282
B07LBWQ3BF,2025-05-18,1461
B07LBWQ3BF,2025-05-25,1336
B07LBWQ3BF,2025-06-01,1167
B07LBWQ3BF,2025-06-08,1353
B07LBWQ3BF,2025-06-15,1286
B07LBWQ3BF,2025-06-22,2346
B07LBWQ3BF,2025-06-29,1401
B07LBWQ3BF,2025-07-06,1696
B07LBWQ3BF,2025-07-13,1336
B07LBWQ3BF,2025-07-20,1989
B07LBWQ3BF,2025-07-27,1024
B07LBWQ3BF,2025-08-03,1451
B07LBWQ3BF,2025-08-10,1309
B07LBWQ3BF,2025-08-17,1451
B07LBWQ3BF,2025-08-24,1339
B07LBWQ3BF,2025-08-31,1211
B07LBWQ3BF,2025-09-07,1683
B07LBWQ3BF,2025-09-14,2742
B07LBWQ3BF,2025-09-21,3015
B07LBWQ3BF,2025-09-28,1533
B07LBWQ3BF,2025-10-05,1403
B07LBWQ3BF,2025-10-12,1511
B07LBWQ3BF,2025-10-19,1468
B07LBWQ3BF,2025-10-26,1511
B07LBWQ3BF,2025-11-02,2275
B07LBWQ3BF,2025-11-09,3055
B07LBWQ3BF,2025-11-16,3365
B07LBWQ3BF,2025-11-23,1363
B07LBWQ3BF,2025-11-30,1412
B07LBWQ3BF,2025-12-07,1542
