asin,week_start_date,weekly_salesrank
B07RWR7BX6,2023-01-01,54
B07RWR7BX6,2023-01-08,44
B07RWR7BX6,2023-01-15,34
B07RWR7BX6,2023-01-22,21
B07RWR7BX6,2023-01-29,19
B07RWR7BX6,2023-02-05,25
B07RWR7BX6,2023-02-12,25
B07RWR7BX6,2023-02-19,27
B07RWR7BX6,2023-02-26,20
B07RWR7BX6,2023-03-05,25
B07RWR7BX6,2023-03-12,24
B07RWR7BX6,2023-03-19,23
B07RWR7BX6,2023-03-26,11
B07RWR7BX6,2023-04-02,17
B07RWR7BX6,2023-04-09,23
B07RWR7BX6,2023-04-16,27
B07RWR7BX6,2023-04-23,28
B07RWR7BX6,2023-04-30,24
B07RWR7BX6,2023-05-07,31
B07RWR7BX6,2023-05-14,60
B07RWR7BX6,2023-05-21,39
B07RWR7BX6,2023-05-28,14
B07RWR7BX6,2023-06-04,22
B07RWR7BX6,2023-06-11,46
B07RWR7BX6,2023-06-18,42
B07RWR7BX6,2023-06-25,32
B07RWR7BX6,2023-07-02,31
B07RWR7BX6,2023-07-09,50
B07RWR7BX6,2023-07-16,45
B07RWR7BX6,2023-07-23,38
B07RWR7BX6,2023-07-30,54
B07RWR7BX6,2023-08-06,37
B07RWR7BX6,2023-08-13,34
B07RWR7BX6,2023-08-20,35
B07RWR7BX6,2023-08-27,35
B07RWR7BX6,2023-09-03,40
B07RWR7BX6,2023-09-10,26
B07RWR7BX6,2023-09-17,27
B07RWR7BX6,2023-09-24,56
B07RWR7BX6,2023-10-01,62
B07RWR7BX6,2023-10-08,45
B07RWR7BX6,2023-10-15,36
B07RWR7BX6,2023-10-22,21
B07RWR7BX6,2023-10-29,28
B07RWR7BX6,2023-11-05,82
B07RWR7BX6,2023-11-12,180
B07RWR7BX6,2023-11-19,39
B07RWR7BX6,2023-11-26,33
B07RWR7BX6,2023-12-03,28
B07RWR7BX6,2023-12-10,31
B07RWR7BX6,2023-12-17,31
B07RWR7BX6,2023-12-24,30
B07RWR7BX6,2023-12-31,42
B07RWR7BX6,2024-01-07,27
B07RWR7BX6,2024-01-14,13
B07RWR7BX6,2024-01-21,17
B07RWR7BX6,2024-01-28,19
B07RWR7BX6,2024-02-04,16
B07RWR7BX6,2024-02-11,17
B07RWR7BX6,2024-02-18,19
