asin,week_start_date,weekly_salesrank
B07SQCZRCG,2023-01-01,
B07SQCZRCG,2023-01-08,
B07SQCZRCG,2023-01-15,
B07SQCZRCG,2023-01-22,
B07SQCZRCG,2023-01-29,
B07SQCZRCG,2023-02-05,
B07SQCZRCG,2023-02-12,
B07SQCZRCG,2023-02-19,
B07SQCZRCG,2023-02-26,
B07SQCZRCG,2023-03-05,
B07SQCZRCG,2023-03-12,
B07SQCZRCG,2023-03-19,
B07SQCZRCG,2023-03-26,
B07SQCZRCG,2023-04-02,
B07SQCZRCG,2023-04-09,
B07SQCZRCG,2023-04-16,
B07SQCZRCG,2023-04-23,
B07SQCZRCG,2023-04-30,
B07SQCZRCG,2023-05-07,
B07SQCZRCG,2023-05-14,
B07SQCZRCG,2023-05-21,
B07SQCZRCG,2023-05-28,
B07SQCZRCG,2023-06-04,
B07SQCZRCG,2023-06-11,
B07SQCZRCG,2023-06-18,
B07SQCZRCG,2023-06-25,
B07SQCZRCG,2023-07-02,
B07SQCZRCG,2023-07-09,
B07SQCZRCG,2023-07-16,
B07SQCZRCG,2023-07-23,
B07SQCZRCG,2023-07-30,
B07SQCZRCG,2023-08-06,
B07SQCZRCG,2023-08-13,
B07SQCZRCG,2023-08-20,
B07SQCZRCG,2023-08-27,
B07SQCZRCG,2023-09-03,
B07SQCZRCG,2023-09-10,1508
B07SQCZRCG,2023-09-17,669
B07SQCZRCG,2023-09-24,1472
B07SQCZRCG,2023-10-01,629
B07SQCZRCG,2023-10-08,626
B07SQCZRCG,2023-10-15,795
B07SQCZRCG,2023-10-22,1388
B07SQCZRCG,2023-10-29,1468
B07SQCZRCG,2023-11-05,485
B07SQCZRCG,2023-11-12,659
B07SQCZRCG,2023-11-19,576
B07SQCZRCG,2023-11-26,1441
B07SQCZRCG,2023-12-03,1613
B07SQCZRCG,2023-12-10,903
B07SQCZRCG,2023-12-17,589
B07SQCZRCG,2023-12-24,1532
B07SQCZRCG,2023-12-31,592
B07SQCZRCG,2024-01-07,1516
B07SQCZRCG,2024-01-14,1564
B07SQCZRCG,2024-01-21,550
B07SQCZRCG,2024-01-28,508
B07SQCZRCG,2024-02-04,1374
B07SQCZRCG,2024-02-11,1588
B07SQCZRCG,2024-02-18,1642
B07SQCZRCG,2024-02-25,1668
B07SQCZRCG,2024-03-03,1758
B07SQCZRCG,2024-03-10,600
B07SQCZRCG,2024-03-17,716
B07SQCZRCG,2024-03-24,675
B07SQCZRCG,2024-03-31,1749
B07SQCZRCG,2024-04-07,1806
B07SQCZRCG,2024-04-14,631
B07SQCZRCG,2024-04-21,1479
B07SQCZRCG,2024-04-28,1779
B07SQCZRCG,2024-05-05,710
B07SQCZRCG,2024-05-12,1831
B07SQCZRCG,2024-05-19,555
B07SQCZRCG,2024-05-26,1877
B07SQCZRCG,2024-06-02,1954
B07SQCZRCG,2024-06-09,810
B07SQCZRCG,2024-06-16,787
B07SQCZRCG,2024-06-23,832
B07SQCZRCG,2024-06-30,696
B07SQCZRCG,2024-07-07,1922
B07SQCZRCG,2024-07-14,2085
B07SQCZRCG,2024-07-21,2136
B07SQCZRCG,2024-07-28,2172
B07SQCZRCG,2024-08-04,2080
B07SQCZRCG,2024-08-11,2062
B07SQCZRCG,2024-08-18,2112
B07SQCZRCG,2024-08-25,2122
B07SQCZRCG,2024-09-01,821
B07SQCZRCG,2024-09-08,1273
B07SQCZRCG,2024-09-15,752
B07SQCZRCG,2024-09-22,1109
B07SQCZRCG,2024-09-29,2018
B07SQCZRCG,2024-10-06,2122
B07SQCZRCG,2024-10-13,2121
B07SQCZRCG,2024-10-20,2147
B07SQCZRCG,2024-10-27,2127
B07SQCZRCG,2024-11-03,2187
