asin,week_start_date,weekly_salesrank
B07YC9Z3N1,2023-01-01,1709
B07YC9Z3N1,2023-01-08,1823
B07YC9Z3N1,2023-01-15,1798
B07YC9Z3N1,2023-01-22,1793
B07YC9Z3N1,2023-01-29,1824
B07YC9Z3N1,2023-02-05,1806
B07YC9Z3N1,2023-02-12,1852
B07YC9Z3N1,2023-02-19,1864
B07YC9Z3N1,2023-02-26,1844
B07YC9Z3N1,2023-03-05,1897
B07YC9Z3N1,2023-03-12,610
B07YC9Z3N1,2023-03-19,1623
B07YC9Z3N1,2023-03-26,1969
B07YC9Z3N1,2023-04-02,2023
B07YC9Z3N1,2023-04-09,1955
B07YC9Z3N1,2023-04-16,1990
B07YC9Z3N1,2023-04-23,2003
B07YC9Z3N1,2023-04-30,2000
B07YC9Z3N1,2023-05-07,1988
B07YC9Z3N1,2023-05-14,2008
B07YC9Z3N1,2023-05-21,2005
B07YC9Z3N1,2023-05-28,1918
B07YC9Z3N1,2023-06-04,634
B07YC9Z3N1,2023-06-11,1616
B07YC9Z3N1,2023-06-18,649
B07YC9Z3N1,2023-06-25,1734
B07YC9Z3N1,2023-07-02,2016
B07YC9Z3N1,2023-07-09,2077
B07YC9Z3N1,2023-07-16,2052
B07YC9Z3N1,2023-07-23,2043
B07YC9Z3N1,2023-07-30,2040
B07YC9Z3N1,2023-08-06,2086
B07YC9Z3N1,2023-08-13,703
B07YC9Z3N1,2023-08-20,1372
B07YC9Z3N1,2023-08-27,2005
B07YC9Z3N1,2023-09-03,2048
B07YC9Z3N1,2023-09-10,2037
B07YC9Z3N1,2023-09-17,2082
B07YC9Z3N1,2023-09-24,2132
B07YC9Z3N1,2023-10-01,623
B07YC9Z3N1,2023-10-08,544
B07YC9Z3N1,2023-10-15,890
B07YC9Z3N1,2023-10-22,651
B07YC9Z3N1,2023-10-29,1885
B07YC9Z3N1,2023-11-05,669
B07YC9Z3N1,2023-11-12,746
B07YC9Z3N1,2023-11-19,1894
B07YC9Z3N1,2023-11-26,2216
B07YC9Z3N1,2023-12-03,2342
B07YC9Z3N1,2023-12-10,2329
B07YC9Z3N1,2023-12-17,2386
B07YC9Z3N1,2023-12-24,2320
B07YC9Z3N1,2023-12-31,621
B07YC9Z3N1,2024-01-07,1341
B07YC9Z3N1,2024-01-14,631
B07YC9Z3N1,2024-01-21,588
B07YC9Z3N1,2024-01-28,556
B07YC9Z3N1,2024-02-04,534
B07YC9Z3N1,2024-02-11,1246
B07YC9Z3N1,2024-02-18,2140
B07YC9Z3N1,2024-02-25,619
B07YC9Z3N1,2024-03-03,2132
B07YC9Z3N1,2024-03-10,776
B07YC9Z3N1,2024-03-17,756
B07YC9Z3N1,2024-03-24,803
B07YC9Z3N1,2024-03-31,1849
B07YC9Z3N1,2024-04-07,860
B07YC9Z3N1,2024-04-14,696
B07YC9Z3N1,2024-04-21,1847
B07YC9Z3N1,2024-04-28,760
B07YC9Z3N1,2024-05-05,2311
B07YC9Z3N1,2024-05-12,858
B07YC9Z3N1,2024-05-19,1800
B07YC9Z3N1,2024-05-26,971
B07YC9Z3N1,2024-06-02,2377
B07YC9Z3N1,2024-06-09,2609
B07YC9Z3N1,2024-06-16,2704
B07YC9Z3N1,2024-06-23,1036
B07YC9Z3N1,2024-06-30,2441
B07YC9Z3N1,2024-07-07,834
B07YC9Z3N1,2024-07-14,1231
B07YC9Z3N1,2024-07-21,1056
B07YC9Z3N1,2024-07-28,1856
B07YC9Z3N1,2024-08-04,773
B07YC9Z3N1,2024-08-11,1864
B07YC9Z3N1,2024-08-18,2745
B07YC9Z3N1,2024-08-25,2870
B07YC9Z3N1,2024-09-01,2938
B07YC9Z3N1,2024-09-08,2964
B07YC9Z3N1,2024-09-15,2967
