asin,week_start_date,weekly_salesrank
B084K7PM6J,2023-01-01,487
B084K7PM6J,2023-01-08,564
B084K7PM6J,2023-01-15,573
B084K7PM6J,2023-01-22,546
B084K7PM6J,2023-01-29,592
B084K7PM6J,2023-02-05,520
B084K7PM6J,2023-02-12,571
B084K7PM6J,2023-02-19,306
B084K7PM6J,2023-02-26,596
B084K7PM6J,2023-03-05,420
B084K7PM6J,2023-03-12,407
B084K7PM6J,2023-03-19,615
B084K7PM6J,2023-03-26,677
B084K7PM6J,2023-04-02,455
B084K7PM6J,2023-04-09,365
B084K7PM6J,2023-04-16,573
B084K7PM6J,2023-04-23,649
B084K7PM6J,2023-04-30,687
B084K7PM6J,2023-05-07,436
B084K7PM6J,2023-05-14,688
B084K7PM6J,2023-05-21,673
B084K7PM6J,2023-05-28,510
B084K7PM6J,2023-06-04,577
B084K7PM6J,2023-06-11,709
B084K7PM6J,2023-06-18,690
B084K7PM6J,2023-06-25,702
B084K7PM6J,2023-07-02,369
B084K7PM6J,2023-07-09,514
B084K7PM6J,2023-07-16,526
B084K7PM6J,2023-07-23,433
B084K7PM6J,2023-07-30,471
B084K7PM6J,2023-08-06,579
B084K7PM6J,2023-08-13,485
B084K7PM6J,2023-08-20,757
B084K7PM6J,2023-08-27,754
B084K7PM6J,2023-09-03,358
B084K7PM6J,2023-09-10,681
B084K7PM6J,2023-09-17,465
B084K7PM6J,2023-09-24,480
B084K7PM6J,2023-10-01,412
B084K7PM6J,2023-10-08,752
B084K7PM6J,2023-10-15,761
B084K7PM6J,2023-10-22,425
B084K7PM6J,2023-10-29,699
B084K7PM6J,2023-11-05,389
B084K7PM6J,2023-11-12,506
B084K7PM6J,2023-11-19,463
B084K7PM6J,2023-11-26,919
B084K7PM6J,2023-12-03,869
B084K7PM6J,2023-12-10,868
B084K7PM6J,2023-12-17,602
B084K7PM6J,2023-12-24,652
B084K7PM6J,2023-12-31,776
B084K7PM6J,2024-01-07,560
B084K7PM6J,2024-01-14,831
B084K7PM6J,2024-01-21,870
B084K7PM6J,2024-01-28,497
B084K7PM6J,2024-02-04,864
B084K7PM6J,2024-02-11,867
B084K7PM6J,2024-02-18,906
B084K7PM6J,2024-02-25,904
B084K7PM6J,2024-03-03,926
B084K7PM6J,2024-03-10,552
B084K7PM6J,2024-03-17,681
B084K7PM6J,2024-03-24,592
B084K7PM6J,2024-03-31,598
B084K7PM6J,2024-04-07,578
B084K7PM6J,2024-04-14,579
B084K7PM6J,2024-04-21,555
B084K7PM6J,2024-04-28,534
B084K7PM6J,2024-05-05,580
B084K7PM6J,2024-05-12,429
B084K7PM6J,2024-05-19,576
B084K7PM6J,2024-05-26,575
B084K7PM6J,2024-06-02,416
B084K7PM6J,2024-06-09,322
B084K7PM6J,2024-06-16,553
B084K7PM6J,2024-06-23,503
B084K7PM6J,2024-06-30,429
B084K7PM6J,2024-07-07,921
B084K7PM6J,2024-07-14,832
B084K7PM6J,2024-07-21,632
B084K7PM6J,2024-07-28,1029
B084K7PM6J,2024-08-04,1195
B084K7PM6J,2024-08-11,680
B084K7PM6J,2024-08-18,1072
B084K7PM6J,2024-08-25,1194
B084K7PM6J,2024-09-01,609
B084K7PM6J,2024-09-08,738
B084K7PM6J,2024-09-15,819
B084K7PM6J,2024-09-22,1212
B084K7PM6J,2024-09-29,689
B084K7PM6J,2024-10-06,1238
B084K7PM6J,2024-10-13,1260
B084K7PM6J,2024-10-20,644
B084K7PM6J,2024-10-27,444
B084K7PM6J,2024-11-03,1193
B084K7PM6J,2024-11-10,1257
B084K7PM6J,2024-11-17,1288
B084K7PM6J,2024-11-24,1321
B084K7PM6J,2024-12-01,779
B084K7PM6J,2024-12-08,1367
B084K7PM6J,2024-12-15,1377
B084K7PM6J,2024-12-22,1357
B084K7PM6J,2024-12-29,1302
B084K7PM6J,2025-01-05,1397
B084K7PM6J,2025-01-12,1390
B084K7PM6J,2025-01-19,1346
B084K7PM6J,2025-01-26,1387
B084K7PM6J,2025-02-02,1409
B084K7PM6J,2025-02-09,1438
B084K7PM6J,2025-02-16,1476
B084K7PM6J,2025-02-23,1496
B084K7PM6J,2025-03-02,841
B084K7PM6J,2025-03-09,1498
B084K7PM6J,2025-03-16,690
B084K7PM6J,2025-03-23,1413
B084K7PM6J,2025-03-30,1641
B084K7PM6J,2025-04-06,1611
B084K7PM6J,2025-04-13,1666
B084K7PM6J,2025-04-20,1650
B084K7PM6J,2025-04-27,1650
B084K7PM6J,2025-05-04,1624
B084K7PM6J,2025-05-11,4220
B084K7PM6J,2025-05-18,4223
B084K7PM6J,2025-05-25,4296
B084K7PM6J,2025-06-01,4379
B084K7PM6J,2025-06-08,4492
B084K7PM6J,2025-06-15,4405
B084K7PM6J,2025-06-22,4542
B084K7PM6J,2025-06-29,4610
B084K7PM6J,2025-07-06,4764
B084K7PM6J,2025-07-13,4885
B084K7PM6J,2025-07-20,1633
B084K7PM6J,2025-07-27,2417
B084K7PM6J,2025-08-03,4
B084K7PM6J,2025-08-10,4
B084K7PM6J,2025-08-17,3
B084K7PM6J,2025-08-24,3
B084K7PM6J,2025-08-31,5
B084K7PM6J,2025-09-07,4
B084K7PM6J,2025-09-14,
B084K7PM6J,2025-09-21,4
B084K7PM6J,2025-09-28,6
B084K7PM6J,2025-10-05,5
B084K7PM6J,2025-10-12,6
B084K7PM6J,2025-10-19,
B084K7PM6J,2025-10-26,4
B084K7PM6J,2025-11-02,5
B084K7PM6J,2025-11-09,27
B084K7PM6J,2025-11-16,34
B084K7PM6J,2025-11-23,21
B084K7PM6J,2025-11-30,17
B084K7PM6J,2025-12-07,34
B084K7PM6J,2025-12-14,47
B084K7PM6J,2025-12-21,36
B084K7PM6J,2025-12-28,45
