asin,week_start_date,weekly_salesrank
B08KH6QFYZ,2023-01-01,116
B08KH6QFYZ,2023-01-08,88
B08KH6QFYZ,2023-01-15,120
B08KH6QFYZ,2023-01-22,159
B08KH6QFYZ,2023-01-29,98
B08KH6QFYZ,2023-02-05,104
B08KH6QFYZ,2023-02-12,124
B08KH6QFYZ,2023-02-19,84
B08KH6QFYZ,2023-02-26,81
B08KH6QFYZ,2023-03-05,82
B08KH6QFYZ,2023-03-12,94
B08KH6QFYZ,2023-03-19,129
B08KH6QFYZ,2023-03-26,127
B08KH6QFYZ,2023-04-02,124
B08KH6QFYZ,2023-04-09,80
B08KH6QFYZ,2023-04-16,90
B08KH6QFYZ,2023-04-23,112
B08KH6QFYZ,2023-04-30,124
B08KH6QFYZ,2023-05-07,105
B08KH6QFYZ,2023-05-14,86
B08KH6QFYZ,2023-05-21,125
B08KH6QFYZ,2023-05-28,130
B08KH6QFYZ,2023-06-04,150
B08KH6QFYZ,2023-06-11,94
B08KH6QFYZ,2023-06-18,126
B08KH6QFYZ,2023-06-25,92
B08KH6QFYZ,2023-07-02,153
B08KH6QFYZ,2023-07-09,126
B08KH6QFYZ,2023-07-16,109
B08KH6QFYZ,2023-07-23,171
B08KH6QFYZ,2023-07-30,112
B08KH6QFYZ,2023-08-06,102
B08KH6QFYZ,2023-08-13,94
B08KH6QFYZ,2023-08-20,115
B08KH6QFYZ,2023-08-27,132
B08KH6QFYZ,2023-09-03,82
B08KH6QFYZ,2023-09-10,235
B08KH6QFYZ,2023-09-17,161
B08KH6QFYZ,2023-09-24,178
B08KH6QFYZ,2023-10-01,146
B08KH6QFYZ,2023-10-08,119
B08KH6QFYZ,2023-10-15,140
B08KH6QFYZ,2023-10-22,167
B08KH6QFYZ,2023-10-29,145
B08KH6QFYZ,2023-11-05,193
B08KH6QFYZ,2023-11-12,118
B08KH6QFYZ,2023-11-19,149
B08KH6QFYZ,2023-11-26,148
B08KH6QFYZ,2023-12-03,181
B08KH6QFYZ,2023-12-10,159
B08KH6QFYZ,2023-12-17,94
B08KH6QFYZ,2023-12-24,91
B08KH6QFYZ,2023-12-31,101
B08KH6QFYZ,2024-01-07,106
B08KH6QFYZ,2024-01-14,82
B08KH6QFYZ,2024-01-21,101
B08KH6QFYZ,2024-01-28,108
B08KH6QFYZ,2024-02-04,96
B08KH6QFYZ,2024-02-11,112
B08KH6QFYZ,2024-02-18,132
B08KH6QFYZ,2024-02-25,88
B08KH6QFYZ,2024-03-03,97
B08KH6QFYZ,2024-03-10,121
