asin,week_start_date,weekly_salesrank
B08Q7Q29CQ,2023-01-01,3
B08Q7Q29CQ,2023-01-08,5
B08Q7Q29CQ,2023-01-15,5
B08Q7Q29CQ,2023-01-22,19
B08Q7Q29CQ,2023-01-29,38
B08Q7Q29CQ,2023-02-05,237
B08Q7Q29CQ,2023-02-12,151
B08Q7Q29CQ,2023-02-19,55
B08Q7Q29CQ,2023-02-26,20
B08Q7Q29CQ,2023-03-05,12
B08Q7Q29CQ,2023-03-12,6
B08Q7Q29CQ,2023-03-19,3
B08Q7Q29CQ,2023-03-26,4
B08Q7Q29CQ,2023-04-02,5
B08Q7Q29CQ,2023-04-09,11
B08Q7Q29CQ,2023-04-16,26
B08Q7Q29CQ,2023-04-23,56
B08Q7Q29CQ,2023-04-30,68
B08Q7Q29CQ,2023-05-07,88
B08Q7Q29CQ,2023-05-14,114
B08Q7Q29CQ,2023-05-21,113
B08Q7Q29CQ,2023-05-28,131
B08Q7Q29CQ,2023-06-04,110
B08Q7Q29CQ,2023-06-11,38
B08Q7Q29CQ,2023-06-18,18
B08Q7Q29CQ,2023-06-25,59
B08Q7Q29CQ,2023-07-02,32
B08Q7Q29CQ,2023-07-09,30
B08Q7Q29CQ,2023-07-16,30
B08Q7Q29CQ,2023-07-23,37
B08Q7Q29CQ,2023-07-30,35
B08Q7Q29CQ,2023-08-06,29
B08Q7Q29CQ,2023-08-13,52
B08Q7Q29CQ,2023-08-20,18
B08Q7Q29CQ,2023-08-27,14
B08Q7Q29CQ,2023-09-03,22
B08Q7Q29CQ,2023-09-10,20
B08Q7Q29CQ,2023-09-17,23
B08Q7Q29CQ,2023-09-24,26
B08Q7Q29CQ,2023-10-01,68
B08Q7Q29CQ,2023-10-08,55
B08Q7Q29CQ,2023-10-15,52
B08Q7Q29CQ,2023-10-22,35
B08Q7Q29CQ,2023-10-29,4
B08Q7Q29CQ,2023-11-05,4
B08Q7Q29CQ,2023-11-12,19
B08Q7Q29CQ,2023-11-19,7
B08Q7Q29CQ,2023-11-26,9
B08Q7Q29CQ,2023-12-03,11
B08Q7Q29CQ,2023-12-10,48
B08Q7Q29CQ,2023-12-17,51
B08Q7Q29CQ,2023-12-24,82
B08Q7Q29CQ,2023-12-31,88
B08Q7Q29CQ,2024-01-07,56
B08Q7Q29CQ,2024-01-14,50
B08Q7Q29CQ,2024-01-21,18
B08Q7Q29CQ,2024-01-28,65
B08Q7Q29CQ,2024-02-04,14
B08Q7Q29CQ,2024-02-11,12
B08Q7Q29CQ,2024-02-18,4
B08Q7Q29CQ,2024-02-25,4
B08Q7Q29CQ,2024-03-03,3
B08Q7Q29CQ,2024-03-10,4
B08Q7Q29CQ,2024-03-17,3
