asin,week_start_date,weekly_salesrank
B0956MW64T,2023-01-01,32
B0956MW64T,2023-01-08,70
B0956MW64T,2023-01-15,22
B0956MW64T,2023-01-22,22
B0956MW64T,2023-01-29,30
B0956MW64T,2023-02-05,19
B0956MW64T,2023-02-12,15
B0956MW64T,2023-02-19,42
B0956MW64T,2023-02-26,28
B0956MW64T,2023-03-05,24
B0956MW64T,2023-03-12,33
B0956MW64T,2023-03-19,34
B0956MW64T,2023-03-26,194
B0956MW64T,2023-04-02,321
B0956MW64T,2023-04-09,428
B0956MW64T,2023-04-16,377
B0956MW64T,2023-04-23,405
B0956MW64T,2023-04-30,352
B0956MW64T,2023-05-07,467
B0956MW64T,2023-05-14,496
B0956MW64T,2023-05-21,358
B0956MW64T,2023-05-28,230
B0956MW64T,2023-06-04,219
B0956MW64T,2023-06-11,269
B0956MW64T,2023-06-18,230
B0956MW64T,2023-06-25,496
B0956MW64T,2023-07-02,414
B0956MW64T,2023-07-09,430
B0956MW64T,2023-07-16,860
B0956MW64T,2023-07-23,604
B0956MW64T,2023-07-30,1142
B0956MW64T,2023-08-06,794
B0956MW64T,2023-08-13,615
B0956MW64T,2023-08-20,579
B0956MW64T,2023-08-27,651
B0956MW64T,2023-09-03,530
B0956MW64T,2023-09-10,1074
B0956MW64T,2023-09-17,733
B0956MW64T,2023-09-24,610
B0956MW64T,2023-10-01,1121
B0956MW64T,2023-10-08,1123
B0956MW64T,2023-10-15,1170
B0956MW64T,2023-10-22,524
B0956MW64T,2023-10-29,1129
B0956MW64T,2023-11-05,598
B0956MW64T,2023-11-12,1078
B0956MW64T,2023-11-19,406
B0956MW64T,2023-11-26,721
B0956MW64T,2023-12-03,1220
B0956MW64T,2023-12-10,1254
B0956MW64T,2023-12-17,763
B0956MW64T,2023-12-24,1165
B0956MW64T,2023-12-31,1100
B0956MW64T,2024-01-07,761
B0956MW64T,2024-01-14,1194
B0956MW64T,2024-01-21,647
B0956MW64T,2024-01-28,1210
B0956MW64T,2024-02-04,1235
B0956MW64T,2024-02-11,593
B0956MW64T,2024-02-18,1191
B0956MW64T,2024-02-25,674
B0956MW64T,2024-03-03,1335
B0956MW64T,2024-03-10,1330
B0956MW64T,2024-03-17,1381
B0956MW64T,2024-03-24,1413
B0956MW64T,2024-03-31,1451
B0956MW64T,2024-04-07,1393
B0956MW64T,2024-04-14,1440
B0956MW64T,2024-04-21,1453
B0956MW64T,2024-04-28,1441
B0956MW64T,2024-05-05,1446
B0956MW64T,2024-05-12,665
B0956MW64T,2024-05-19,833
B0956MW64T,2024-05-26,677
B0956MW64T,2024-06-02,1453
B0956MW64T,2024-06-09,1471
B0956MW64T,2024-06-16,659
B0956MW64T,2024-06-23,1534
B0956MW64T,2024-06-30,862
B0956MW64T,2024-07-07,648
B0956MW64T,2024-07-14,1526
B0956MW64T,2024-07-21,1650
B0956MW64T,2024-07-28,780
B0956MW64T,2024-08-04,1470
B0956MW64T,2024-08-11,1630
B0956MW64T,2024-08-18,1658
B0956MW64T,2024-08-25,1639
B0956MW64T,2024-09-01,1206
B0956MW64T,2024-09-08,949
B0956MW64T,2024-09-15,1542
B0956MW64T,2024-09-22,780
B0956MW64T,2024-09-29,1056
B0956MW64T,2024-10-06,802
B0956MW64T,2024-10-13,651
B0956MW64T,2024-10-20,1687
B0956MW64T,2024-10-27,1706
B0956MW64T,2024-11-03,1752
B0956MW64T,2024-11-10,1749
B0956MW64T,2024-11-17,1745
B0956MW64T,2024-11-24,1790
B0956MW64T,2024-12-01,1736
B0956MW64T,2024-12-08,1872
B0956MW64T,2024-12-15,1561
B0956MW64T,2024-12-22,1561
B0956MW64T,2024-12-29,1743
B0956MW64T,2025-01-05,862
B0956MW64T,2025-01-12,1873
B0956MW64T,2025-01-19,755
B0956MW64T,2025-01-26,1765
B0956MW64T,2025-02-02,1894
B0956MW64T,2025-02-09,1892
B0956MW64T,2025-02-16,1982
B0956MW64T,2025-02-23,2006
B0956MW64T,2025-03-02,2005
B0956MW64T,2025-03-09,2010
B0956MW64T,2025-03-16,2085
B0956MW64T,2025-03-23,2130
B0956MW64T,2025-03-30,2131
B0956MW64T,2025-04-06,1830
B0956MW64T,2025-04-13,2126
B0956MW64T,2025-04-20,2119
B0956MW64T,2025-04-27,1440
B0956MW64T,2025-05-04,2023
B0956MW64T,2025-05-11,3470
B0956MW64T,2025-05-18,3794
B0956MW64T,2025-05-25,4057
B0956MW64T,2025-06-01,4277
B0956MW64T,2025-06-08,1648
B0956MW64T,2025-06-15,2802
B0956MW64T,2025-06-22,4123
B0956MW64T,2025-06-29,4450
B0956MW64T,2025-07-06,4876
B0956MW64T,2025-07-13,5273
B0956MW64T,2025-07-20,5488
B0956MW64T,2025-07-27,5438
B0956MW64T,2025-08-03,5458
B0956MW64T,2025-08-10,5513
B0956MW64T,2025-08-17,1632
B0956MW64T,2025-08-24,1630
B0956MW64T,2025-08-31,1683
B0956MW64T,2025-09-07,2438
B0956MW64T,2025-09-14,1676
B0956MW64T,2025-09-21,1650
B0956MW64T,2025-09-28,1573
B0956MW64T,2025-10-05,3257
B0956MW64T,2025-10-12,1140
B0956MW64T,2025-10-19,1183
B0956MW64T,2025-10-26,1749
B0956MW64T,2025-11-02,3469
B0956MW64T,2025-11-09,1644
B0956MW64T,2025-11-16,3764
B0956MW64T,2025-11-23,4294
B0956MW64T,2025-11-30,2919
B0956MW64T,2025-12-07,1685
B0956MW64T,2025-12-14,3538
B0956MW64T,2025-12-21,4408
B0956MW64T,2025-12-28,4842
