asin,week_start_date,weekly_salesrank
B0956PSK2H,2023-01-01,32
B0956PSK2H,2023-01-08,70
B0956PSK2H,2023-01-15,22
B0956PSK2H,2023-01-22,23
B0956PSK2H,2023-01-29,31
B0956PSK2H,2023-02-05,19
B0956PSK2H,2023-02-12,16
B0956PSK2H,2023-02-19,41
B0956PSK2H,2023-02-26,28
B0956PSK2H,2023-03-05,24
B0956PSK2H,2023-03-12,33
B0956PSK2H,2023-03-19,35
B0956PSK2H,2023-03-26,184
B0956PSK2H,2023-04-02,263
B0956PSK2H,2023-04-09,398
B0956PSK2H,2023-04-16,377
B0956PSK2H,2023-04-23,405
B0956PSK2H,2023-04-30,352
B0956PSK2H,2023-05-07,467
B0956PSK2H,2023-05-14,496
B0956PSK2H,2023-05-21,358
B0956PSK2H,2023-05-28,230
B0956PSK2H,2023-06-04,219
B0956PSK2H,2023-06-11,269
B0956PSK2H,2023-06-18,230
B0956PSK2H,2023-06-25,558
B0956PSK2H,2023-07-02,414
B0956PSK2H,2023-07-09,430
B0956PSK2H,2023-07-16,801
B0956PSK2H,2023-07-23,567
B0956PSK2H,2023-07-30,1131
B0956PSK2H,2023-08-06,774
B0956PSK2H,2023-08-13,516
B0956PSK2H,2023-08-20,579
B0956PSK2H,2023-08-27,651
B0956PSK2H,2023-09-03,530
B0956PSK2H,2023-09-10,560
B0956PSK2H,2023-09-17,658
B0956PSK2H,2023-09-24,610
B0956PSK2H,2023-10-01,1121
B0956PSK2H,2023-10-08,1123
B0956PSK2H,2023-10-15,1160
B0956PSK2H,2023-10-22,524
B0956PSK2H,2023-10-29,1129
B0956PSK2H,2023-11-05,598
B0956PSK2H,2023-11-12,1057
B0956PSK2H,2023-11-19,373
B0956PSK2H,2023-11-26,699
B0956PSK2H,2023-12-03,1220
B0956PSK2H,2023-12-10,1245
B0956PSK2H,2023-12-17,589
B0956PSK2H,2023-12-24,1165
B0956PSK2H,2023-12-31,1100
B0956PSK2H,2024-01-07,737
B0956PSK2H,2024-01-14,1194
B0956PSK2H,2024-01-21,623
B0956PSK2H,2024-01-28,1204
B0956PSK2H,2024-02-04,1224
B0956PSK2H,2024-02-11,390
B0956PSK2H,2024-02-18,1191
B0956PSK2H,2024-02-25,674
B0956PSK2H,2024-03-03,1331
B0956PSK2H,2024-03-10,1315
B0956PSK2H,2024-03-17,1365
B0956PSK2H,2024-03-24,1393
B0956PSK2H,2024-03-31,1441
B0956PSK2H,2024-04-07,1375
B0956PSK2H,2024-04-14,1426
B0956PSK2H,2024-04-21,1407
B0956PSK2H,2024-04-28,1432
B0956PSK2H,2024-05-05,1417
B0956PSK2H,2024-05-12,665
B0956PSK2H,2024-05-19,590
B0956PSK2H,2024-05-26,493
B0956PSK2H,2024-06-02,1437
B0956PSK2H,2024-06-09,1468
B0956PSK2H,2024-06-16,649
B0956PSK2H,2024-06-23,1527
B0956PSK2H,2024-06-30,705
B0956PSK2H,2024-07-07,648
B0956PSK2H,2024-07-14,1522
B0956PSK2H,2024-07-21,1638
B0956PSK2H,2024-07-28,733
B0956PSK2H,2024-08-04,1468
B0956PSK2H,2024-08-11,1605
B0956PSK2H,2024-08-18,1656
B0956PSK2H,2024-08-25,1646
B0956PSK2H,2024-09-01,820
B0956PSK2H,2024-09-08,949
B0956PSK2H,2024-09-15,1467
B0956PSK2H,2024-09-22,726
B0956PSK2H,2024-09-29,848
B0956PSK2H,2024-10-06,705
B0956PSK2H,2024-10-13,619
B0956PSK2H,2024-10-20,1673
B0956PSK2H,2024-10-27,1700
B0956PSK2H,2024-11-03,1724
B0956PSK2H,2024-11-10,1738
B0956PSK2H,2024-11-17,1744
B0956PSK2H,2024-11-24,1780
B0956PSK2H,2024-12-01,936
B0956PSK2H,2024-12-08,1836
B0956PSK2H,2024-12-15,854
B0956PSK2H,2024-12-22,1718
B0956PSK2H,2024-12-29,1743
B0956PSK2H,2025-01-05,943
B0956PSK2H,2025-01-12,1858
B0956PSK2H,2025-01-19,755
B0956PSK2H,2025-01-26,1789
B0956PSK2H,2025-02-02,1894
B0956PSK2H,2025-02-09,1892
B0956PSK2H,2025-02-16,1979
B0956PSK2H,2025-02-23,2006
B0956PSK2H,2025-03-02,2010
B0956PSK2H,2025-03-09,2010
B0956PSK2H,2025-03-16,2055
B0956PSK2H,2025-03-23,2121
B0956PSK2H,2025-03-30,2133
B0956PSK2H,2025-04-06,1830
B0956PSK2H,2025-04-13,890
B0956PSK2H,2025-04-20,1690
B0956PSK2H,2025-04-27,994
B0956PSK2H,2025-05-04,2059
B0956PSK2H,2025-05-11,3463
B0956PSK2H,2025-05-18,3794
B0956PSK2H,2025-05-25,4050
B0956PSK2H,2025-06-01,4277
B0956PSK2H,2025-06-08,1648
B0956PSK2H,2025-06-15,2771
B0956PSK2H,2025-06-22,4034
B0956PSK2H,2025-06-29,4445
B0956PSK2H,2025-07-06,4851
B0956PSK2H,2025-07-13,5159
B0956PSK2H,2025-07-20,5417
B0956PSK2H,2025-07-27,5439
B0956PSK2H,2025-08-03,5457
B0956PSK2H,2025-08-10,5513
B0956PSK2H,2025-08-17,1632
B0956PSK2H,2025-08-24,1630
B0956PSK2H,2025-08-31,1683
B0956PSK2H,2025-09-07,2438
B0956PSK2H,2025-09-14,1676
B0956PSK2H,2025-09-21,1650
B0956PSK2H,2025-09-28,1573
B0956PSK2H,2025-10-05,3258
B0956PSK2H,2025-10-12,1140
B0956PSK2H,2025-10-19,1183
B0956PSK2H,2025-10-26,1184
B0956PSK2H,2025-11-02,3171
B0956PSK2H,2025-11-09,1638
B0956PSK2H,2025-11-16,3112
B0956PSK2H,2025-11-23,4157
B0956PSK2H,2025-11-30,1787
B0956PSK2H,2025-12-07,1685
B0956PSK2H,2025-12-14,2111
B0956PSK2H,2025-12-21,4200
B0956PSK2H,2025-12-28,4752
