asin,week_start_date,weekly_salesrank
B09571SNLK,2023-01-01,32
B09571SNLK,2023-01-08,70
B09571SNLK,2023-01-15,22
B09571SNLK,2023-01-22,22
B09571SNLK,2023-01-29,30
B09571SNLK,2023-02-05,16
B09571SNLK,2023-02-12,15
B09571SNLK,2023-02-19,42
B09571SNLK,2023-02-26,28
B09571SNLK,2023-03-05,24
B09571SNLK,2023-03-12,37
B09571SNLK,2023-03-19,34
B09571SNLK,2023-03-26,194
B09571SNLK,2023-04-02,263
B09571SNLK,2023-04-09,398
B09571SNLK,2023-04-16,377
B09571SNLK,2023-04-23,405
B09571SNLK,2023-04-30,352
B09571SNLK,2023-05-07,467
B09571SNLK,2023-05-14,603
B09571SNLK,2023-05-21,580
B09571SNLK,2023-05-28,230
B09571SNLK,2023-06-04,219
B09571SNLK,2023-06-11,269
B09571SNLK,2023-06-18,230
B09571SNLK,2023-06-25,496
B09571SNLK,2023-07-02,414
B09571SNLK,2023-07-09,430
B09571SNLK,2023-07-16,801
B09571SNLK,2023-07-23,567
B09571SNLK,2023-07-30,1131
B09571SNLK,2023-08-06,793
B09571SNLK,2023-08-13,615
B09571SNLK,2023-08-20,579
B09571SNLK,2023-08-27,651
B09571SNLK,2023-09-03,530
B09571SNLK,2023-09-10,560
B09571SNLK,2023-09-17,733
B09571SNLK,2023-09-24,610
B09571SNLK,2023-10-01,1121
B09571SNLK,2023-10-08,1123
B09571SNLK,2023-10-15,1160
B09571SNLK,2023-10-22,524
B09571SNLK,2023-10-29,1129
B09571SNLK,2023-11-05,460
B09571SNLK,2023-11-12,1057
B09571SNLK,2023-11-19,373
B09571SNLK,2023-11-26,699
B09571SNLK,2023-12-03,1220
B09571SNLK,2023-12-10,1235
B09571SNLK,2023-12-17,589
B09571SNLK,2023-12-24,1165
B09571SNLK,2023-12-31,1100
B09571SNLK,2024-01-07,737
B09571SNLK,2024-01-14,1194
B09571SNLK,2024-01-21,623
B09571SNLK,2024-01-28,1204
B09571SNLK,2024-02-04,1224
B09571SNLK,2024-02-11,390
B09571SNLK,2024-02-18,1191
B09571SNLK,2024-02-25,674
B09571SNLK,2024-03-03,1331
B09571SNLK,2024-03-10,1315
B09571SNLK,2024-03-17,1365
B09571SNLK,2024-03-24,1403
B09571SNLK,2024-03-31,1441
B09571SNLK,2024-04-07,1393
B09571SNLK,2024-04-14,1426
B09571SNLK,2024-04-21,1407
B09571SNLK,2024-04-28,1432
B09571SNLK,2024-05-05,1417
B09571SNLK,2024-05-12,665
B09571SNLK,2024-05-19,661
B09571SNLK,2024-05-26,493
B09571SNLK,2024-06-02,1437
B09571SNLK,2024-06-09,1468
B09571SNLK,2024-06-16,649
B09571SNLK,2024-06-23,1527
B09571SNLK,2024-06-30,705
B09571SNLK,2024-07-07,648
B09571SNLK,2024-07-14,1522
B09571SNLK,2024-07-21,1638
B09571SNLK,2024-07-28,764
B09571SNLK,2024-08-04,1468
B09571SNLK,2024-08-11,1603
B09571SNLK,2024-08-18,1656
B09571SNLK,2024-08-25,1639
B09571SNLK,2024-09-01,820
B09571SNLK,2024-09-08,881
B09571SNLK,2024-09-15,1488
B09571SNLK,2024-09-22,698
B09571SNLK,2024-09-29,671
B09571SNLK,2024-10-06,802
B09571SNLK,2024-10-13,619
B09571SNLK,2024-10-20,1675
B09571SNLK,2024-10-27,1716
B09571SNLK,2024-11-03,1722
B09571SNLK,2024-11-10,1739
B09571SNLK,2024-11-17,1745
B09571SNLK,2024-11-24,1795
B09571SNLK,2024-12-01,998
B09571SNLK,2024-12-08,1839
B09571SNLK,2024-12-15,911
B09571SNLK,2024-12-22,1720
B09571SNLK,2024-12-29,1743
B09571SNLK,2025-01-05,767
B09571SNLK,2025-01-12,1873
B09571SNLK,2025-01-19,755
B09571SNLK,2025-01-26,1737
B09571SNLK,2025-02-02,1891
B09571SNLK,2025-02-09,1903
B09571SNLK,2025-02-16,1989
B09571SNLK,2025-02-23,2012
B09571SNLK,2025-03-02,2027
B09571SNLK,2025-03-09,2023
B09571SNLK,2025-03-16,2069
B09571SNLK,2025-03-23,2137
B09571SNLK,2025-03-30,2140
B09571SNLK,2025-04-06,1830
B09571SNLK,2025-04-13,969
B09571SNLK,2025-04-20,1203
B09571SNLK,2025-04-27,857
B09571SNLK,2025-05-04,2059
B09571SNLK,2025-05-11,3661
B09571SNLK,2025-05-18,3739
B09571SNLK,2025-05-25,4054
B09571SNLK,2025-06-01,4277
B09571SNLK,2025-06-08,1648
B09571SNLK,2025-06-15,2859
B09571SNLK,2025-06-22,4033
B09571SNLK,2025-06-29,4443
B09571SNLK,2025-07-06,4851
B09571SNLK,2025-07-13,5159
B09571SNLK,2025-07-20,5415
B09571SNLK,2025-07-27,5438
B09571SNLK,2025-08-03,5457
B09571SNLK,2025-08-10,5513
B09571SNLK,2025-08-17,1632
B09571SNLK,2025-08-24,1630
B09571SNLK,2025-08-31,1683
B09571SNLK,2025-09-07,2438
B09571SNLK,2025-09-14,1676
B09571SNLK,2025-09-21,1650
B09571SNLK,2025-09-28,1573
B09571SNLK,2025-10-05,3257
B09571SNLK,2025-10-12,1140
B09571SNLK,2025-10-19,1183
B09571SNLK,2025-10-26,1184
B09571SNLK,2025-11-02,3268
B09571SNLK,2025-11-09,2086
B09571SNLK,2025-11-16,3764
B09571SNLK,2025-11-23,4155
B09571SNLK,2025-11-30,2352
B09571SNLK,2025-12-07,1685
B09571SNLK,2025-12-14,2111
B09571SNLK,2025-12-21,4180
B09571SNLK,2025-12-28,4861
