asin,week_start_date,weekly_salesrank
B09DKK6VCL,2023-01-01,37
B09DKK6VCL,2023-01-08,45
B09DKK6VCL,2023-01-15,39
B09DKK6VCL,2023-01-22,32
B09DKK6VCL,2023-01-29,19
B09DKK6VCL,2023-02-05,18
B09DKK6VCL,2023-02-12,52
B09DKK6VCL,2023-02-19,37
B09DKK6VCL,2023-02-26,31
B09DKK6VCL,2023-03-05,32
B09DKK6VCL,2023-03-12,49
B09DKK6VCL,2023-03-19,41
B09DKK6VCL,2023-03-26,48
B09DKK6VCL,2023-04-02,38
B09DKK6VCL,2023-04-09,47
B09DKK6VCL,2023-04-16,60
B09DKK6VCL,2023-04-23,28
B09DKK6VCL,2023-04-30,77
B09DKK6VCL,2023-05-07,65
B09DKK6VCL,2023-05-14,77
B09DKK6VCL,2023-05-21,84
B09DKK6VCL,2023-05-28,76
B09DKK6VCL,2023-06-04,108
B09DKK6VCL,2023-06-11,116
B09DKK6VCL,2023-06-18,102
B09DKK6VCL,2023-06-25,101
B09DKK6VCL,2023-07-02,69
B09DKK6VCL,2023-07-09,25
B09DKK6VCL,2023-07-16,51
B09DKK6VCL,2023-07-23,40
B09DKK6VCL,2023-07-30,41
B09DKK6VCL,2023-08-06,29
B09DKK6VCL,2023-08-13,32
B09DKK6VCL,2023-08-20,20
B09DKK6VCL,2023-08-27,30
B09DKK6VCL,2023-09-03,18
B09DKK6VCL,2023-09-10,23
B09DKK6VCL,2023-09-17,29
B09DKK6VCL,2023-09-24,15
B09DKK6VCL,2023-10-01,20
B09DKK6VCL,2023-10-08,23
B09DKK6VCL,2023-10-15,31
B09DKK6VCL,2023-10-22,66
B09DKK6VCL,2023-10-29,83
B09DKK6VCL,2023-11-05,93
B09DKK6VCL,2023-11-12,109
B09DKK6VCL,2023-11-19,59
B09DKK6VCL,2023-11-26,128
B09DKK6VCL,2023-12-03,131
B09DKK6VCL,2023-12-10,78
B09DKK6VCL,2023-12-17,82
B09DKK6VCL,2023-12-24,72
B09DKK6VCL,2023-12-31,68
B09DKK6VCL,2024-01-07,62
B09DKK6VCL,2024-01-14,63
B09DKK6VCL,2024-01-21,52
B09DKK6VCL,2024-01-28,52
B09DKK6VCL,2024-02-04,109
B09DKK6VCL,2024-02-11,107
