asin,week_start_date,weekly_salesrank
B09G2KS69R,2023-01-01,252
B09G2KS69R,2023-01-08,206
B09G2KS69R,2023-01-15,207
B09G2KS69R,2023-01-22,208
B09G2KS69R,2023-01-29,223
B09G2KS69R,2023-02-05,336
B09G2KS69R,2023-02-12,381
B09G2KS69R,2023-02-19,509
B09G2KS69R,2023-02-26,482
B09G2KS69R,2023-03-05,561
B09G2KS69R,2023-03-12,494
B09G2KS69R,2023-03-19,435
B09G2KS69R,2023-03-26,568
B09G2KS69R,2023-04-02,550
B09G2KS69R,2023-04-09,1026
B09G2KS69R,2023-04-16,656
B09G2KS69R,2023-04-23,1259
B09G2KS69R,2023-04-30,675
B09G2KS69R,2023-05-07,1249
B09G2KS69R,2023-05-14,1281
B09G2KS69R,2023-05-21,526
B09G2KS69R,2023-05-28,468
B09G2KS69R,2023-06-04,361
B09G2KS69R,2023-06-11,510
B09G2KS69R,2023-06-18,451
B09G2KS69R,2023-06-25,512
B09G2KS69R,2023-07-02,452
B09G2KS69R,2023-07-09,525
B09G2KS69R,2023-07-16,466
B09G2KS69R,2023-07-23,490
B09G2KS69R,2023-07-30,1064
B09G2KS69R,2023-08-06,761
B09G2KS69R,2023-08-13,386
B09G2KS69R,2023-08-20,538
B09G2KS69R,2023-08-27,638
B09G2KS69R,2023-09-03,1304
B09G2KS69R,2023-09-10,500
B09G2KS69R,2023-09-17,425
B09G2KS69R,2023-09-24,601
B09G2KS69R,2023-10-01,648
B09G2KS69R,2023-10-08,465
B09G2KS69R,2023-10-15,960
B09G2KS69R,2023-10-22,1320
B09G2KS69R,2023-10-29,576
B09G2KS69R,2023-11-05,503
B09G2KS69R,2023-11-12,502
B09G2KS69R,2023-11-19,850
B09G2KS69R,2023-11-26,558
B09G2KS69R,2023-12-03,508
B09G2KS69R,2023-12-10,1146
B09G2KS69R,2023-12-17,1466
B09G2KS69R,2023-12-24,1395
B09G2KS69R,2023-12-31,590
B09G2KS69R,2024-01-07,554
B09G2KS69R,2024-01-14,1195
B09G2KS69R,2024-01-21,1425
B09G2KS69R,2024-01-28,511
B09G2KS69R,2024-02-04,1003
B09G2KS69R,2024-02-11,1476
B09G2KS69R,2024-02-18,1500
B09G2KS69R,2024-02-25,825
B09G2KS69R,2024-03-03,1595
B09G2KS69R,2024-03-10,534
B09G2KS69R,2024-03-17,1611
B09G2KS69R,2024-03-24,797
B09G2KS69R,2024-03-31,1230
B09G2KS69R,2024-04-07,1649
B09G2KS69R,2024-04-14,1647
B09G2KS69R,2024-04-21,1687
B09G2KS69R,2024-04-28,1689
B09G2KS69R,2024-05-05,1700
B09G2KS69R,2024-05-12,688
B09G2KS69R,2024-05-19,837
B09G2KS69R,2024-05-26,621
B09G2KS69R,2024-06-02,627
B09G2KS69R,2024-06-09,737
B09G2KS69R,2024-06-16,1709
B09G2KS69R,2024-06-23,1784
B09G2KS69R,2024-06-30,739
B09G2KS69R,2024-07-07,1877
B09G2KS69R,2024-07-14,550
B09G2KS69R,2024-07-21,851
B09G2KS69R,2024-07-28,703
B09G2KS69R,2024-08-04,1837
B09G2KS69R,2024-08-11,596
B09G2KS69R,2024-08-18,770
B09G2KS69R,2024-08-25,592
B09G2KS69R,2024-09-01,706
B09G2KS69R,2024-09-08,878
B09G2KS69R,2024-09-15,648
B09G2KS69R,2024-09-22,1870
B09G2KS69R,2024-09-29,1872
B09G2KS69R,2024-10-06,701
B09G2KS69R,2024-10-13,697
B09G2KS69R,2024-10-20,681
B09G2KS69R,2024-10-27,1625
B09G2KS69R,2024-11-03,1965
B09G2KS69R,2024-11-10,1963
B09G2KS69R,2024-11-17,2003
B09G2KS69R,2024-11-24,2028
B09G2KS69R,2024-12-01,2275
B09G2KS69R,2024-12-08,783
B09G2KS69R,2024-12-15,712
B09G2KS69R,2024-12-22,902
B09G2KS69R,2024-12-29,1992
B09G2KS69R,2025-01-05,2170
B09G2KS69R,2025-01-12,692
B09G2KS69R,2025-01-19,688
B09G2KS69R,2025-01-26,1582
B09G2KS69R,2025-02-02,572
B09G2KS69R,2025-02-09,610
B09G2KS69R,2025-02-16,1532
B09G2KS69R,2025-02-23,1135
B09G2KS69R,2025-03-02,2225
B09G2KS69R,2025-03-09,1055
B09G2KS69R,2025-03-16,1390
B09G2KS69R,2025-03-23,778
B09G2KS69R,2025-03-30,1540
B09G2KS69R,2025-04-06,2321
B09G2KS69R,2025-04-13,967
B09G2KS69R,2025-04-20,926
B09G2KS69R,2025-04-27,923
B09G2KS69R,2025-05-04,1825
B09G2KS69R,2025-05-11,1540
B09G2KS69R,2025-05-18,2732
B09G2KS69R,2025-05-25,1633
B09G2KS69R,2025-06-01,1957
B09G2KS69R,2025-06-08,1998
B09G2KS69R,2025-06-15,3385
B09G2KS69R,2025-06-22,1652
B09G2KS69R,2025-06-29,1624
B09G2KS69R,2025-07-06,3452
B09G2KS69R,2025-07-13,3940
B09G2KS69R,2025-07-20,4047
B09G2KS69R,2025-07-27,4230
B09G2KS69R,2025-08-03,1651
B09G2KS69R,2025-08-10,1051
B09G2KS69R,2025-08-17,1471
B09G2KS69R,2025-08-24,3112
B09G2KS69R,2025-08-31,3656
B09G2KS69R,2025-09-07,4170
B09G2KS69R,2025-09-14,1500
B09G2KS69R,2025-09-21,2325
B09G2KS69R,2025-09-28,3788
B09G2KS69R,2025-10-05,4400
B09G2KS69R,2025-10-12,4728
B09G2KS69R,2025-10-19,1642
B09G2KS69R,2025-10-26,3816
B09G2KS69R,2025-11-02,4286
B09G2KS69R,2025-11-09,1272
B09G2KS69R,2025-11-16,1795
B09G2KS69R,2025-11-23,3538
B09G2KS69R,2025-11-30,3291
B09G2KS69R,2025-12-07,1680
B09G2KS69R,2025-12-14,4574
B09G2KS69R,2025-12-21,1391
B09G2KS69R,2025-12-28,1428
