asin,week_start_date,weekly_salesrank
B09G2LJQ98,2023-01-01,252
B09G2LJQ98,2023-01-08,219
B09G2LJQ98,2023-01-15,196
B09G2LJQ98,2023-01-22,208
B09G2LJQ98,2023-01-29,223
B09G2LJQ98,2023-02-05,311
B09G2LJQ98,2023-02-12,381
B09G2LJQ98,2023-02-19,509
B09G2LJQ98,2023-02-26,482
B09G2LJQ98,2023-03-05,529
B09G2LJQ98,2023-03-12,494
B09G2LJQ98,2023-03-19,370
B09G2LJQ98,2023-03-26,649
B09G2LJQ98,2023-04-02,488
B09G2LJQ98,2023-04-09,1026
B09G2LJQ98,2023-04-16,656
B09G2LJQ98,2023-04-23,1259
B09G2LJQ98,2023-04-30,675
B09G2LJQ98,2023-05-07,1249
B09G2LJQ98,2023-05-14,1293
B09G2LJQ98,2023-05-21,526
B09G2LJQ98,2023-05-28,437
B09G2LJQ98,2023-06-04,306
B09G2LJQ98,2023-06-11,441
B09G2LJQ98,2023-06-18,451
B09G2LJQ98,2023-06-25,512
B09G2LJQ98,2023-07-02,404
B09G2LJQ98,2023-07-09,525
B09G2LJQ98,2023-07-16,466
B09G2LJQ98,2023-07-23,490
B09G2LJQ98,2023-07-30,523
B09G2LJQ98,2023-08-06,686
B09G2LJQ98,2023-08-13,386
B09G2LJQ98,2023-08-20,538
B09G2LJQ98,2023-08-27,672
B09G2LJQ98,2023-09-03,1312
B09G2LJQ98,2023-09-10,500
B09G2LJQ98,2023-09-17,492
B09G2LJQ98,2023-09-24,601
B09G2LJQ98,2023-10-01,832
B09G2LJQ98,2023-10-08,610
B09G2LJQ98,2023-10-15,960
B09G2LJQ98,2023-10-22,1320
B09G2LJQ98,2023-10-29,576
B09G2LJQ98,2023-11-05,503
B09G2LJQ98,2023-11-12,721
B09G2LJQ98,2023-11-19,734
B09G2LJQ98,2023-11-26,637
B09G2LJQ98,2023-12-03,508
B09G2LJQ98,2023-12-10,1063
B09G2LJQ98,2023-12-17,1466
B09G2LJQ98,2023-12-24,1390
B09G2LJQ98,2023-12-31,590
B09G2LJQ98,2024-01-07,554
B09G2LJQ98,2024-01-14,1232
B09G2LJQ98,2024-01-21,1430
B09G2LJQ98,2024-01-28,511
B09G2LJQ98,2024-02-04,1085
B09G2LJQ98,2024-02-11,1476
B09G2LJQ98,2024-02-18,1500
B09G2LJQ98,2024-02-25,711
B09G2LJQ98,2024-03-03,1595
B09G2LJQ98,2024-03-10,534
B09G2LJQ98,2024-03-17,1535
B09G2LJQ98,2024-03-24,797
B09G2LJQ98,2024-03-31,1160
B09G2LJQ98,2024-04-07,1660
B09G2LJQ98,2024-04-14,1647
B09G2LJQ98,2024-04-21,1682
B09G2LJQ98,2024-04-28,1682
B09G2LJQ98,2024-05-05,1695
B09G2LJQ98,2024-05-12,626
B09G2LJQ98,2024-05-19,650
B09G2LJQ98,2024-05-26,801
B09G2LJQ98,2024-06-02,839
B09G2LJQ98,2024-06-09,937
B09G2LJQ98,2024-06-16,1686
B09G2LJQ98,2024-06-23,1781
B09G2LJQ98,2024-06-30,739
B09G2LJQ98,2024-07-07,1878
B09G2LJQ98,2024-07-14,640
B09G2LJQ98,2024-07-21,878
B09G2LJQ98,2024-07-28,907
B09G2LJQ98,2024-08-04,1833
B09G2LJQ98,2024-08-11,643
B09G2LJQ98,2024-08-18,724
B09G2LJQ98,2024-08-25,615
B09G2LJQ98,2024-09-01,808
B09G2LJQ98,2024-09-08,926
B09G2LJQ98,2024-09-15,893
B09G2LJQ98,2024-09-22,1856
B09G2LJQ98,2024-09-29,1873
B09G2LJQ98,2024-10-06,1106
B09G2LJQ98,2024-10-13,956
B09G2LJQ98,2024-10-20,839
B09G2LJQ98,2024-10-27,1650
B09G2LJQ98,2024-11-03,1951
B09G2LJQ98,2024-11-10,1963
B09G2LJQ98,2024-11-17,2008
B09G2LJQ98,2024-11-24,2018
B09G2LJQ98,2024-12-01,2272
B09G2LJQ98,2024-12-08,868
B09G2LJQ98,2024-12-15,821
B09G2LJQ98,2024-12-22,990
B09G2LJQ98,2024-12-29,2007
B09G2LJQ98,2025-01-05,2171
B09G2LJQ98,2025-01-12,692
B09G2LJQ98,2025-01-19,1105
B09G2LJQ98,2025-01-26,1648
B09G2LJQ98,2025-02-02,566
B09G2LJQ98,2025-02-09,732
B09G2LJQ98,2025-02-16,1497
B09G2LJQ98,2025-02-23,1135
B09G2LJQ98,2025-03-02,2243
B09G2LJQ98,2025-03-09,2255
B09G2LJQ98,2025-03-16,1390
B09G2LJQ98,2025-03-23,991
B09G2LJQ98,2025-03-30,1638
B09G2LJQ98,2025-04-06,2346
B09G2LJQ98,2025-04-13,1242
B09G2LJQ98,2025-04-20,1682
B09G2LJQ98,2025-04-27,923
B09G2LJQ98,2025-05-04,1825
B09G2LJQ98,2025-05-11,1579
B09G2LJQ98,2025-05-18,2742
B09G2LJQ98,2025-05-25,1633
B09G2LJQ98,2025-06-01,1957
B09G2LJQ98,2025-06-08,1998
B09G2LJQ98,2025-06-15,3384
B09G2LJQ98,2025-06-22,1633
B09G2LJQ98,2025-06-29,2074
B09G2LJQ98,2025-07-06,3452
B09G2LJQ98,2025-07-13,4002
B09G2LJQ98,2025-07-20,4045
B09G2LJQ98,2025-07-27,1653
B09G2LJQ98,2025-08-03,1470
B09G2LJQ98,2025-08-10,1051
B09G2LJQ98,2025-08-17,1470
B09G2LJQ98,2025-08-24,2985
B09G2LJQ98,2025-08-31,3655
B09G2LJQ98,2025-09-07,4126
B09G2LJQ98,2025-09-14,1500
B09G2LJQ98,2025-09-21,2951
B09G2LJQ98,2025-09-28,3781
B09G2LJQ98,2025-10-05,4429
B09G2LJQ98,2025-10-12,4727
B09G2LJQ98,2025-10-19,1642
B09G2LJQ98,2025-10-26,3657
