asin,week_start_date,weekly_salesrank
B09J8MF636,2023-01-01,312
B09J8MF636,2023-01-08,414
B09J8MF636,2023-01-15,28
B09J8MF636,2023-01-22,28
B09J8MF636,2023-01-29,25
B09J8MF636,2023-02-05,28
B09J8MF636,2023-02-12,45
B09J8MF636,2023-02-19,32
B09J8MF636,2023-02-26,60
B09J8MF636,2023-03-05,72
B09J8MF636,2023-03-12,97
B09J8MF636,2023-03-19,55
B09J8MF636,2023-03-26,56
B09J8MF636,2023-04-02,54
B09J8MF636,2023-04-09,54
B09J8MF636,2023-04-16,50
B09J8MF636,2023-04-23,72
B09J8MF636,2023-04-30,144
B09J8MF636,2023-05-07,130
B09J8MF636,2023-05-14,81
B09J8MF636,2023-05-21,126
B09J8MF636,2023-05-28,142
B09J8MF636,2023-06-04,179
B09J8MF636,2023-06-11,134
B09J8MF636,2023-06-18,99
B09J8MF636,2023-06-25,77
B09J8MF636,2023-07-02,70
B09J8MF636,2023-07-09,61
B09J8MF636,2023-07-16,93
B09J8MF636,2023-07-23,75
B09J8MF636,2023-07-30,51
B09J8MF636,2023-08-06,50
B09J8MF636,2023-08-13,71
B09J8MF636,2023-08-20,59
B09J8MF636,2023-08-27,50
B09J8MF636,2023-09-03,51
B09J8MF636,2023-09-10,50
B09J8MF636,2023-09-17,59
B09J8MF636,2023-09-24,53
B09J8MF636,2023-10-01,113
B09J8MF636,2023-10-08,266
B09J8MF636,2023-10-15,182
B09J8MF636,2023-10-22,186
B09J8MF636,2023-10-29,158
B09J8MF636,2023-11-05,129
B09J8MF636,2023-11-12,210
B09J8MF636,2023-11-19,63
B09J8MF636,2023-11-26,57
B09J8MF636,2023-12-03,104
B09J8MF636,2023-12-10,124
B09J8MF636,2023-12-17,76
B09J8MF636,2023-12-24,98
B09J8MF636,2023-12-31,92
B09J8MF636,2024-01-07,144
B09J8MF636,2024-01-14,172
B09J8MF636,2024-01-21,175
B09J8MF636,2024-01-28,179
B09J8MF636,2024-02-04,138
B09J8MF636,2024-02-11,295
B09J8MF636,2024-02-18,163
B09J8MF636,2024-02-25,423
B09J8MF636,2024-03-03,302
B09J8MF636,2024-03-10,412
B09J8MF636,2024-03-17,526
B09J8MF636,2024-03-24,395
B09J8MF636,2024-03-31,1006
B09J8MF636,2024-04-07,601
B09J8MF636,2024-04-14,449
B09J8MF636,2024-04-21,614
B09J8MF636,2024-04-28,1667
B09J8MF636,2024-05-05,1755
B09J8MF636,2024-05-12,1756
B09J8MF636,2024-05-19,1817
B09J8MF636,2024-05-26,1870
B09J8MF636,2024-06-02,491
B09J8MF636,2024-06-09,1915
B09J8MF636,2024-06-16,1939
B09J8MF636,2024-06-23,676
B09J8MF636,2024-06-30,438
B09J8MF636,2024-07-07,470
B09J8MF636,2024-07-14,2085
B09J8MF636,2024-07-21,2084
B09J8MF636,2024-07-28,1025
B09J8MF636,2024-08-04,1573
B09J8MF636,2024-08-11,1985
B09J8MF636,2024-08-18,2038
B09J8MF636,2024-08-25,2053
B09J8MF636,2024-09-01,2082
B09J8MF636,2024-09-08,2050
B09J8MF636,2024-09-15,2069
B09J8MF636,2024-09-22,2070
B09J8MF636,2024-09-29,2059
B09J8MF636,2024-10-06,2064
B09J8MF636,2024-10-13,2066
B09J8MF636,2024-10-20,2078
B09J8MF636,2024-10-27,2067
B09J8MF636,2024-11-03,2138
B09J8MF636,2024-11-10,2104
B09J8MF636,2024-11-17,2127
B09J8MF636,2024-11-24,2151
B09J8MF636,2024-12-01,2392
B09J8MF636,2024-12-08,2272
B09J8MF636,2024-12-15,2255
B09J8MF636,2024-12-22,2213
B09J8MF636,2024-12-29,2153
B09J8MF636,2025-01-05,2297
B09J8MF636,2025-01-12,2311
B09J8MF636,2025-01-19,2275
B09J8MF636,2025-01-26,2271
B09J8MF636,2025-02-02,2356
B09J8MF636,2025-02-09,2331
B09J8MF636,2025-02-16,2402
B09J8MF636,2025-02-23,2446
B09J8MF636,2025-03-02,2457
B09J8MF636,2025-03-09,2463
B09J8MF636,2025-03-16,2503
B09J8MF636,2025-03-23,2573
B09J8MF636,2025-03-30,2613
B09J8MF636,2025-04-06,2602
B09J8MF636,2025-04-13,2669
B09J8MF636,2025-04-20,2755
B09J8MF636,2025-04-27,2660
B09J8MF636,2025-05-04,2614
B09J8MF636,2025-05-11,2591
B09J8MF636,2025-05-18,2563
B09J8MF636,2025-05-25,2583
B09J8MF636,2025-06-01,1414
B09J8MF636,2025-06-08,707
B09J8MF636,2025-06-15,735
B09J8MF636,2025-06-22,2002
B09J8MF636,2025-06-29,2544
B09J8MF636,2025-07-06,2683
B09J8MF636,2025-07-13,1278
B09J8MF636,2025-07-20,1398
B09J8MF636,2025-07-27,1498
B09J8MF636,2025-08-03,4
B09J8MF636,2025-08-10,4
B09J8MF636,2025-08-17,3
B09J8MF636,2025-08-24,3
B09J8MF636,2025-08-31,5
B09J8MF636,2025-09-07,4
B09J8MF636,2025-09-14,
B09J8MF636,2025-09-21,4
B09J8MF636,2025-09-28,6
B09J8MF636,2025-10-05,5
B09J8MF636,2025-10-12,6
B09J8MF636,2025-10-19,
B09J8MF636,2025-10-26,4
B09J8MF636,2025-11-02,5
B09J8MF636,2025-11-09,66
B09J8MF636,2025-11-16,61
B09J8MF636,2025-11-23,156
B09J8MF636,2025-11-30,120
B09J8MF636,2025-12-07,42
B09J8MF636,2025-12-14,52
B09J8MF636,2025-12-21,58
B09J8MF636,2025-12-28,76
