asin,week_start_date,weekly_salesrank
B09N71PGTB,2023-01-01,4
B09N71PGTB,2023-01-08,4
B09N71PGTB,2023-01-15,4
B09N71PGTB,2023-01-22,4
B09N71PGTB,2023-01-29,3
B09N71PGTB,2023-02-05,4
B09N71PGTB,2023-02-12,4
B09N71PGTB,2023-02-19,10
B09N71PGTB,2023-02-26,14
B09N71PGTB,2023-03-05,13
B09N71PGTB,2023-03-12,17
B09N71PGTB,2023-03-19,15
B09N71PGTB,2023-03-26,15
B09N71PGTB,2023-04-02,30
B09N71PGTB,2023-04-09,56
B09N71PGTB,2023-04-16,36
B09N71PGTB,2023-04-23,65
B09N71PGTB,2023-04-30,38
B09N71PGTB,2023-05-07,33
B09N71PGTB,2023-05-14,31
B09N71PGTB,2023-05-21,17
B09N71PGTB,2023-05-28,25
B09N71PGTB,2023-06-04,28
B09N71PGTB,2023-06-11,30
B09N71PGTB,2023-06-18,22
B09N71PGTB,2023-06-25,19
B09N71PGTB,2023-07-02,23
B09N71PGTB,2023-07-09,46
B09N71PGTB,2023-07-16,40
B09N71PGTB,2023-07-23,38
B09N71PGTB,2023-07-30,39
B09N71PGTB,2023-08-06,43
B09N71PGTB,2023-08-13,32
B09N71PGTB,2023-08-20,32
B09N71PGTB,2023-08-27,16
B09N71PGTB,2023-09-03,43
B09N71PGTB,2023-09-10,35
B09N71PGTB,2023-09-17,52
B09N71PGTB,2023-09-24,44
B09N71PGTB,2023-10-01,41
B09N71PGTB,2023-10-08,38
B09N71PGTB,2023-10-15,33
B09N71PGTB,2023-10-22,27
B09N71PGTB,2023-10-29,29
B09N71PGTB,2023-11-05,39
B09N71PGTB,2023-11-12,21
B09N71PGTB,2023-11-19,24
B09N71PGTB,2023-11-26,28
B09N71PGTB,2023-12-03,27
B09N71PGTB,2023-12-10,25
B09N71PGTB,2023-12-17,37
B09N71PGTB,2023-12-24,32
B09N71PGTB,2023-12-31,23
B09N71PGTB,2024-01-07,24
B09N71PGTB,2024-01-14,24
B09N71PGTB,2024-01-21,13
B09N71PGTB,2024-01-28,15
B09N71PGTB,2024-02-04,42
B09N71PGTB,2024-02-11,37
B09N71PGTB,2024-02-18,31
B09N71PGTB,2024-02-25,17
B09N71PGTB,2024-03-03,16
B09N71PGTB,2024-03-10,32
B09N71PGTB,2024-03-17,51
B09N71PGTB,2024-03-24,52
B09N71PGTB,2024-03-31,80
B09N71PGTB,2024-04-07,89
B09N71PGTB,2024-04-14,73
B09N71PGTB,2024-04-21,60
B09N71PGTB,2024-04-28,52
B09N71PGTB,2024-05-05,86
B09N71PGTB,2024-05-12,43
B09N71PGTB,2024-05-19,28
B09N71PGTB,2024-05-26,27
B09N71PGTB,2024-06-02,24
B09N71PGTB,2024-06-09,59
B09N71PGTB,2024-06-16,31
B09N71PGTB,2024-06-23,31
B09N71PGTB,2024-06-30,43
B09N71PGTB,2024-07-07,44
B09N71PGTB,2024-07-14,57
B09N71PGTB,2024-07-21,28
B09N71PGTB,2024-07-28,29
B09N71PGTB,2024-08-04,79
B09N71PGTB,2024-08-11,110
B09N71PGTB,2024-08-18,78
B09N71PGTB,2024-08-25,88
B09N71PGTB,2024-09-01,131
B09N71PGTB,2024-09-08,185
B09N71PGTB,2024-09-15,184
B09N71PGTB,2024-09-22,140
B09N71PGTB,2024-09-29,144
B09N71PGTB,2024-10-06,215
B09N71PGTB,2024-10-13,179
B09N71PGTB,2024-10-20,173
B09N71PGTB,2024-10-27,142
B09N71PGTB,2024-11-03,145
B09N71PGTB,2024-11-10,148
B09N71PGTB,2024-11-17,176
B09N71PGTB,2024-11-24,155
B09N71PGTB,2024-12-01,212
B09N71PGTB,2024-12-08,156
B09N71PGTB,2024-12-15,97
B09N71PGTB,2024-12-22,164
B09N71PGTB,2024-12-29,260
B09N71PGTB,2025-01-05,271
B09N71PGTB,2025-01-12,182
B09N71PGTB,2025-01-19,208
B09N71PGTB,2025-01-26,272
B09N71PGTB,2025-02-02,285
B09N71PGTB,2025-02-09,320
B09N71PGTB,2025-02-16,200
B09N71PGTB,2025-02-23,258
B09N71PGTB,2025-03-02,256
B09N71PGTB,2025-03-09,337
B09N71PGTB,2025-03-16,220
B09N71PGTB,2025-03-23,3
B09N71PGTB,2025-03-30,7
B09N71PGTB,2025-04-06,8
B09N71PGTB,2025-04-13,6
B09N71PGTB,2025-04-20,8
B09N71PGTB,2025-04-27,7
B09N71PGTB,2025-05-04,5
B09N71PGTB,2025-05-11,4
B09N71PGTB,2025-05-18,6
B09N71PGTB,2025-05-25,5
B09N71PGTB,2025-06-01,7
B09N71PGTB,2025-06-08,411
B09N71PGTB,2025-06-15,401
B09N71PGTB,2025-06-22,532
