asin,week_start_date,weekly_salesrank
B09NNH112Q,2023-01-01,35
B09NNH112Q,2023-01-08,49
B09NNH112Q,2023-01-15,39
B09NNH112Q,2023-01-22,32
B09NNH112Q,2023-01-29,22
B09NNH112Q,2023-02-05,18
B09NNH112Q,2023-02-12,320
B09NNH112Q,2023-02-19,396
B09NNH112Q,2023-02-26,506
B09NNH112Q,2023-03-05,354
B09NNH112Q,2023-03-12,240
B09NNH112Q,2023-03-19,469
B09NNH112Q,2023-03-26,291
B09NNH112Q,2023-04-02,276
B09NNH112Q,2023-04-09,321
B09NNH112Q,2023-04-16,229
B09NNH112Q,2023-04-23,130
B09NNH112Q,2023-04-30,83
B09NNH112Q,2023-05-07,142
B09NNH112Q,2023-05-14,155
B09NNH112Q,2023-05-21,195
B09NNH112Q,2023-05-28,158
B09NNH112Q,2023-06-04,224
B09NNH112Q,2023-06-11,87
B09NNH112Q,2023-06-18,73
B09NNH112Q,2023-06-25,
B09NNH112Q,2023-07-02,
B09NNH112Q,2023-07-09,178
B09NNH112Q,2023-07-16,214
B09NNH112Q,2023-07-23,40
B09NNH112Q,2023-07-30,43
B09NNH112Q,2023-08-06,29
B09NNH112Q,2023-08-13,32
B09NNH112Q,2023-08-20,38
B09NNH112Q,2023-08-27,50
B09NNH112Q,2023-09-03,51
B09NNH112Q,2023-09-10,49
B09NNH112Q,2023-09-17,59
B09NNH112Q,2023-09-24,53
B09NNH112Q,2023-10-01,113
B09NNH112Q,2023-10-08,99
B09NNH112Q,2023-10-15,164
B09NNH112Q,2023-10-22,359
B09NNH112Q,2023-10-29,425
B09NNH112Q,2023-11-05,585
B09NNH112Q,2023-11-12,710
B09NNH112Q,2023-11-19,63
B09NNH112Q,2023-11-26,57
B09NNH112Q,2023-12-03,96
B09NNH112Q,2023-12-10,124
B09NNH112Q,2023-12-17,76
B09NNH112Q,2023-12-24,98
B09NNH112Q,2023-12-31,92
B09NNH112Q,2024-01-07,144
B09NNH112Q,2024-01-14,175
B09NNH112Q,2024-01-21,175
B09NNH112Q,2024-01-28,217
B09NNH112Q,2024-02-04,142
B09NNH112Q,2024-02-11,295
B09NNH112Q,2024-02-18,168
B09NNH112Q,2024-02-25,756
B09NNH112Q,2024-03-03,1050
B09NNH112Q,2024-03-10,614
B09NNH112Q,2024-03-17,1820
B09NNH112Q,2024-03-24,2264
B09NNH112Q,2024-03-31,2377
B09NNH112Q,2024-04-07,689
B09NNH112Q,2024-04-14,621
B09NNH112Q,2024-04-21,1989
B09NNH112Q,2024-04-28,2380
B09NNH112Q,2024-05-05,658
B09NNH112Q,2024-05-12,670
B09NNH112Q,2024-05-19,2078
B09NNH112Q,2024-05-26,2436
B09NNH112Q,2024-06-02,435
B09NNH112Q,2024-06-09,2608
B09NNH112Q,2024-06-16,2657
B09NNH112Q,2024-06-23,816
B09NNH112Q,2024-06-30,438
B09NNH112Q,2024-07-07,371
B09NNH112Q,2024-07-14,2014
B09NNH112Q,2024-07-21,702
B09NNH112Q,2024-07-28,683
B09NNH112Q,2024-08-04,1009
B09NNH112Q,2024-08-11,638
B09NNH112Q,2024-08-18,1908
B09NNH112Q,2024-08-25,701
B09NNH112Q,2024-09-01,735
