asin,week_start_date,weekly_salesrank
B09P31T6GF,2023-01-01,72360
B09P31T6GF,2023-01-08,22911
B09P31T6GF,2023-01-15,27747
B09P31T6GF,2023-01-22,29022
B09P31T6GF,2023-01-29,22903
B09P31T6GF,2023-02-05,21481
B09P31T6GF,2023-02-12,22782
B09P31T6GF,2023-02-19,25673
B09P31T6GF,2023-02-26,37378
B09P31T6GF,2023-03-05,289
B09P31T6GF,2023-03-12,333
B09P31T6GF,2023-03-19,391
B09P31T6GF,2023-03-26,209
B09P31T6GF,2023-04-02,401
B09P31T6GF,2023-04-09,610
B09P31T6GF,2023-04-16,1623
B09P31T6GF,2023-04-23,655
B09P31T6GF,2023-04-30,693
B09P31T6GF,2023-05-07,609
B09P31T6GF,2023-05-14,1022
B09P31T6GF,2023-05-21,1461
B09P31T6GF,2023-05-28,586
B09P31T6GF,2023-06-04,1344
B09P31T6GF,2023-06-11,2020
B09P31T6GF,2023-06-18,411
B09P31T6GF,2023-06-25,487
B09P31T6GF,2023-07-02,1228
B09P31T6GF,2023-07-09,762
B09P31T6GF,2023-07-16,461
B09P31T6GF,2023-07-23,614
B09P31T6GF,2023-07-30,628
B09P31T6GF,2023-08-06,1397
B09P31T6GF,2023-08-13,616
B09P31T6GF,2023-08-20,592
B09P31T6GF,2023-08-27,508
B09P31T6GF,2023-09-03,538
B09P31T6GF,2023-09-10,1547
B09P31T6GF,2023-09-17,550
B09P31T6GF,2023-09-24,422
B09P31T6GF,2023-10-01,509
B09P31T6GF,2023-10-08,661
B09P31T6GF,2023-10-15,1076
B09P31T6GF,2023-10-22,619
B09P31T6GF,2023-10-29,424
B09P31T6GF,2023-11-05,1328
B09P31T6GF,2023-11-12,850
B09P31T6GF,2023-11-19,783
B09P31T6GF,2023-11-26,500
B09P31T6GF,2023-12-03,819
B09P31T6GF,2023-12-10,1604
B09P31T6GF,2023-12-17,2112
B09P31T6GF,2023-12-24,682
B09P31T6GF,2023-12-31,941
B09P31T6GF,2024-01-07,1022
B09P31T6GF,2024-01-14,820
B09P31T6GF,2024-01-21,705
B09P31T6GF,2024-01-28,700
B09P31T6GF,2024-02-04,855
B09P31T6GF,2024-02-11,1993
B09P31T6GF,2024-02-18,2197
B09P31T6GF,2024-02-25,2301
B09P31T6GF,2024-03-03,2499
B09P31T6GF,2024-03-10,690
B09P31T6GF,2024-03-17,786
B09P31T6GF,2024-03-24,747
B09P31T6GF,2024-03-31,1442
B09P31T6GF,2024-04-07,2295
B09P31T6GF,2024-04-14,2355
B09P31T6GF,2024-04-21,2512
B09P31T6GF,2024-04-28,2574
B09P31T6GF,2024-05-05,757
B09P31T6GF,2024-05-12,1012
B09P31T6GF,2024-05-19,2091
B09P31T6GF,2024-05-26,1351
B09P31T6GF,2024-06-02,735
B09P31T6GF,2024-06-09,752
B09P31T6GF,2024-06-16,1361
B09P31T6GF,2024-06-23,741
B09P31T6GF,2024-06-30,1215
B09P31T6GF,2024-07-07,2619
B09P31T6GF,2024-07-14,2796
B09P31T6GF,2024-07-21,837
B09P31T6GF,2024-07-28,843
B09P31T6GF,2024-08-04,1569
B09P31T6GF,2024-08-11,775
B09P31T6GF,2024-08-18,2404
B09P31T6GF,2024-08-25,2742
B09P31T6GF,2024-09-01,2879
B09P31T6GF,2024-09-08,750
B09P31T6GF,2024-09-15,671
B09P31T6GF,2024-09-22,504
B09P31T6GF,2024-09-29,543
B09P31T6GF,2024-10-06,692
B09P31T6GF,2024-10-13,919
B09P31T6GF,2024-10-20,868
B09P31T6GF,2024-10-27,683
B09P31T6GF,2024-11-03,749
B09P31T6GF,2024-11-10,645
B09P31T6GF,2024-11-17,746
B09P31T6GF,2024-11-24,946
B09P31T6GF,2024-12-01,1711
B09P31T6GF,2024-12-08,1119
