asin,week_start_date,weekly_salesrank
B0BH8JRJCQ,2023-01-01,363
B0BH8JRJCQ,2023-01-08,577
B0BH8JRJCQ,2023-01-15,408
B0BH8JRJCQ,2023-01-22,290
B0BH8JRJCQ,2023-01-29,233
B0BH8JRJCQ,2023-02-05,197
B0BH8JRJCQ,2023-02-12,215
B0BH8JRJCQ,2023-02-19,234
B0BH8JRJCQ,2023-02-26,156
B0BH8JRJCQ,2023-03-05,101
B0BH8JRJCQ,2023-03-12,238
B0BH8JRJCQ,2023-03-19,225
B0BH8JRJCQ,2023-03-26,169
B0BH8JRJCQ,2023-04-02,160
B0BH8JRJCQ,2023-04-09,167
B0BH8JRJCQ,2023-04-16,203
B0BH8JRJCQ,2023-04-23,153
B0BH8JRJCQ,2023-04-30,209
B0BH8JRJCQ,2023-05-07,113
B0BH8JRJCQ,2023-05-14,416
B0BH8JRJCQ,2023-05-21,208
B0BH8JRJCQ,2023-05-28,193
B0BH8JRJCQ,2023-06-04,172
B0BH8JRJCQ,2023-06-11,163
B0BH8JRJCQ,2023-06-18,127
B0BH8JRJCQ,2023-06-25,215
B0BH8JRJCQ,2023-07-02,162
B0BH8JRJCQ,2023-07-09,82
B0BH8JRJCQ,2023-07-16,69
B0BH8JRJCQ,2023-07-23,94
B0BH8JRJCQ,2023-07-30,63
B0BH8JRJCQ,2023-08-06,46
B0BH8JRJCQ,2023-08-13,45
B0BH8JRJCQ,2023-08-20,67
B0BH8JRJCQ,2023-08-27,48
B0BH8JRJCQ,2023-09-03,49
B0BH8JRJCQ,2023-09-10,41
B0BH8JRJCQ,2023-09-17,34
B0BH8JRJCQ,2023-09-24,44
B0BH8JRJCQ,2023-10-01,33
B0BH8JRJCQ,2023-10-08,14
B0BH8JRJCQ,2023-10-15,11
B0BH8JRJCQ,2023-10-22,16
B0BH8JRJCQ,2023-10-29,14
B0BH8JRJCQ,2023-11-05,16
B0BH8JRJCQ,2023-11-12,43
B0BH8JRJCQ,2023-11-19,18
B0BH8JRJCQ,2023-11-26,15
B0BH8JRJCQ,2023-12-03,25
B0BH8JRJCQ,2023-12-10,26
B0BH8JRJCQ,2023-12-17,44
B0BH8JRJCQ,2023-12-24,44
B0BH8JRJCQ,2023-12-31,32
B0BH8JRJCQ,2024-01-07,60
B0BH8JRJCQ,2024-01-14,32
B0BH8JRJCQ,2024-01-21,28
B0BH8JRJCQ,2024-01-28,36
B0BH8JRJCQ,2024-02-04,33
B0BH8JRJCQ,2024-02-11,40
B0BH8JRJCQ,2024-02-18,47
B0BH8JRJCQ,2024-02-25,20
B0BH8JRJCQ,2024-03-03,21
B0BH8JRJCQ,2024-03-10,27
B0BH8JRJCQ,2024-03-17,30
B0BH8JRJCQ,2024-03-24,36
B0BH8JRJCQ,2024-03-31,31
B0BH8JRJCQ,2024-04-07,23
B0BH8JRJCQ,2024-04-14,24
B0BH8JRJCQ,2024-04-21,24
B0BH8JRJCQ,2024-04-28,40
B0BH8JRJCQ,2024-05-05,31
B0BH8JRJCQ,2024-05-12,36
B0BH8JRJCQ,2024-05-19,42
B0BH8JRJCQ,2024-05-26,52
B0BH8JRJCQ,2024-06-02,69
B0BH8JRJCQ,2024-06-09,59
