asin,week_start_date,weekly_salesrank
B0BPM8TQLZ,2023-01-01,648
B0BPM8TQLZ,2023-01-08,1630
B0BPM8TQLZ,2023-01-15,17
B0BPM8TQLZ,2023-01-22,80
B0BPM8TQLZ,2023-01-29,30
B0BPM8TQLZ,2023-02-05,31
B0BPM8TQLZ,2023-02-12,35
B0BPM8TQLZ,2023-02-19,24
B0BPM8TQLZ,2023-02-26,69
B0BPM8TQLZ,2023-03-05,69
B0BPM8TQLZ,2023-03-12,59
B0BPM8TQLZ,2023-03-19,47
B0BPM8TQLZ,2023-03-26,43
B0BPM8TQLZ,2023-04-02,44
B0BPM8TQLZ,2023-04-09,63
B0BPM8TQLZ,2023-04-16,50
B0BPM8TQLZ,2023-04-23,44
B0BPM8TQLZ,2023-04-30,49
B0BPM8TQLZ,2023-05-07,66
B0BPM8TQLZ,2023-05-14,49
B0BPM8TQLZ,2023-05-21,42
B0BPM8TQLZ,2023-05-28,31
B0BPM8TQLZ,2023-06-04,43
B0BPM8TQLZ,2023-06-11,33
B0BPM8TQLZ,2023-06-18,43
B0BPM8TQLZ,2023-06-25,39
B0BPM8TQLZ,2023-07-02,32
B0BPM8TQLZ,2023-07-09,26
B0BPM8TQLZ,2023-07-16,26
B0BPM8TQLZ,2023-07-23,26
B0BPM8TQLZ,2023-07-30,24
B0BPM8TQLZ,2023-08-06,50
B0BPM8TQLZ,2023-08-13,40
B0BPM8TQLZ,2023-08-20,41
B0BPM8TQLZ,2023-08-27,43
B0BPM8TQLZ,2023-09-03,43
B0BPM8TQLZ,2023-09-10,29
B0BPM8TQLZ,2023-09-17,28
B0BPM8TQLZ,2023-09-24,33
B0BPM8TQLZ,2023-10-01,38
B0BPM8TQLZ,2023-10-08,31
B0BPM8TQLZ,2023-10-15,63
B0BPM8TQLZ,2023-10-22,70
B0BPM8TQLZ,2023-10-29,57
B0BPM8TQLZ,2023-11-05,48
B0BPM8TQLZ,2023-11-12,28
B0BPM8TQLZ,2023-11-19,26
B0BPM8TQLZ,2023-11-26,79
B0BPM8TQLZ,2023-12-03,144
B0BPM8TQLZ,2023-12-10,121
B0BPM8TQLZ,2023-12-17,122
B0BPM8TQLZ,2023-12-24,113
B0BPM8TQLZ,2023-12-31,81
B0BPM8TQLZ,2024-01-07,199
B0BPM8TQLZ,2024-01-14,178
B0BPM8TQLZ,2024-01-21,154
B0BPM8TQLZ,2024-01-28,266
B0BPM8TQLZ,2024-02-04,344
B0BPM8TQLZ,2024-02-11,420
B0BPM8TQLZ,2024-02-18,350
B0BPM8TQLZ,2024-02-25,216
B0BPM8TQLZ,2024-03-03,446
B0BPM8TQLZ,2024-03-10,2534
B0BPM8TQLZ,2024-03-17,490
B0BPM8TQLZ,2024-03-24,438
B0BPM8TQLZ,2024-03-31,402
B0BPM8TQLZ,2024-04-07,656
B0BPM8TQLZ,2024-04-14,628
B0BPM8TQLZ,2024-04-21,583
B0BPM8TQLZ,2024-04-28,425
B0BPM8TQLZ,2024-05-05,636
B0BPM8TQLZ,2024-05-12,375
B0BPM8TQLZ,2024-05-19,497
B0BPM8TQLZ,2024-05-26,307
B0BPM8TQLZ,2024-06-02,233
B0BPM8TQLZ,2024-06-09,224
B0BPM8TQLZ,2024-06-16,238
B0BPM8TQLZ,2024-06-23,215
B0BPM8TQLZ,2024-06-30,271
B0BPM8TQLZ,2024-07-07,401
B0BPM8TQLZ,2024-07-14,426
B0BPM8TQLZ,2024-07-21,319
B0BPM8TQLZ,2024-07-28,259
B0BPM8TQLZ,2024-08-04,235
B0BPM8TQLZ,2024-08-11,263
B0BPM8TQLZ,2024-08-18,904
B0BPM8TQLZ,2024-08-25,371
B0BPM8TQLZ,2024-09-01,241
B0BPM8TQLZ,2024-09-08,223
B0BPM8TQLZ,2024-09-15,303
B0BPM8TQLZ,2024-09-22,331
B0BPM8TQLZ,2024-09-29,507
B0BPM8TQLZ,2024-10-06,504
B0BPM8TQLZ,2024-10-13,229
B0BPM8TQLZ,2024-10-20,819
B0BPM8TQLZ,2024-10-27,610
B0BPM8TQLZ,2024-11-03,577
B0BPM8TQLZ,2024-11-10,189
B0BPM8TQLZ,2024-11-17,414
B0BPM8TQLZ,2024-11-24,2297
B0BPM8TQLZ,2024-12-01,2554
B0BPM8TQLZ,2024-12-08,1774
B0BPM8TQLZ,2024-12-15,2147
B0BPM8TQLZ,2024-12-22,2339
B0BPM8TQLZ,2024-12-29,2296
B0BPM8TQLZ,2025-01-05,2406
B0BPM8TQLZ,2025-01-12,2424
B0BPM8TQLZ,2025-01-19,2414
B0BPM8TQLZ,2025-01-26,2435
B0BPM8TQLZ,2025-02-02,2511
B0BPM8TQLZ,2025-02-09,2500
B0BPM8TQLZ,2025-02-16,2547
B0BPM8TQLZ,2025-02-23,2598
B0BPM8TQLZ,2025-03-02,2627
B0BPM8TQLZ,2025-03-09,2616
B0BPM8TQLZ,2025-03-16,2681
B0BPM8TQLZ,2025-03-23,2726
B0BPM8TQLZ,2025-03-30,2791
B0BPM8TQLZ,2025-04-06,2748
B0BPM8TQLZ,2025-04-13,2810
B0BPM8TQLZ,2025-04-20,2843
B0BPM8TQLZ,2025-04-27,2793
B0BPM8TQLZ,2025-05-04,2654
B0BPM8TQLZ,2025-05-11,1459
B0BPM8TQLZ,2025-05-18,1836
B0BPM8TQLZ,2025-05-25,2590
B0BPM8TQLZ,2025-06-01,2697
B0BPM8TQLZ,2025-06-08,2847
B0BPM8TQLZ,2025-06-15,2717
B0BPM8TQLZ,2025-06-22,2982
B0BPM8TQLZ,2025-06-29,3116
B0BPM8TQLZ,2025-07-06,1614
B0BPM8TQLZ,2025-07-13,3178
B0BPM8TQLZ,2025-07-20,
B0BPM8TQLZ,2025-07-27,3479
B0BPM8TQLZ,2025-08-03,3598
B0BPM8TQLZ,2025-08-10,3650
B0BPM8TQLZ,2025-08-17,3623
B0BPM8TQLZ,2025-08-24,3704
B0BPM8TQLZ,2025-08-31,3784
B0BPM8TQLZ,2025-09-07,3877
B0BPM8TQLZ,2025-09-14,3873
B0BPM8TQLZ,2025-09-21,3998
B0BPM8TQLZ,2025-09-28,4105
B0BPM8TQLZ,2025-10-05,4167
B0BPM8TQLZ,2025-10-12,4473
B0BPM8TQLZ,2025-10-19,4658
B0BPM8TQLZ,2025-10-26,4885
B0BPM8TQLZ,2025-11-02,5060
B0BPM8TQLZ,2025-11-09,5525
B0BPM8TQLZ,2025-11-16,6205
B0BPM8TQLZ,2025-11-23,1873
B0BPM8TQLZ,2025-11-30,1985
B0BPM8TQLZ,2025-12-07,3552
B0BPM8TQLZ,2025-12-14,4678
B0BPM8TQLZ,2025-12-21,1683
B0BPM8TQLZ,2025-12-28,1142
