asin,week_start_date,weekly_salesrank
B0BQQKTMVD,2023-01-01,264
B0BQQKTMVD,2023-01-08,626
B0BQQKTMVD,2023-01-15,257
B0BQQKTMVD,2023-01-22,237
B0BQQKTMVD,2023-01-29,411
B0BQQKTMVD,2023-02-05,492
B0BQQKTMVD,2023-02-12,556
B0BQQKTMVD,2023-02-19,276
B0BQQKTMVD,2023-02-26,177
B0BQQKTMVD,2023-03-05,198
B0BQQKTMVD,2023-03-12,172
B0BQQKTMVD,2023-03-19,222
B0BQQKTMVD,2023-03-26,302
B0BQQKTMVD,2023-04-02,310
B0BQQKTMVD,2023-04-09,361
B0BQQKTMVD,2023-04-16,460
B0BQQKTMVD,2023-04-23,562
B0BQQKTMVD,2023-04-30,273
B0BQQKTMVD,2023-05-07,275
B0BQQKTMVD,2023-05-14,270
B0BQQKTMVD,2023-05-21,253
B0BQQKTMVD,2023-05-28,151
B0BQQKTMVD,2023-06-04,74
B0BQQKTMVD,2023-06-11,278
B0BQQKTMVD,2023-06-18,250
B0BQQKTMVD,2023-06-25,396
B0BQQKTMVD,2023-07-02,288
B0BQQKTMVD,2023-07-09,391
B0BQQKTMVD,2023-07-16,439
B0BQQKTMVD,2023-07-23,240
B0BQQKTMVD,2023-07-30,214
B0BQQKTMVD,2023-08-06,289
B0BQQKTMVD,2023-08-13,164
B0BQQKTMVD,2023-08-20,210
B0BQQKTMVD,2023-08-27,149
B0BQQKTMVD,2023-09-03,129
B0BQQKTMVD,2023-09-10,157
B0BQQKTMVD,2023-09-17,217
B0BQQKTMVD,2023-09-24,141
B0BQQKTMVD,2023-10-01,169
B0BQQKTMVD,2023-10-08,55
B0BQQKTMVD,2023-10-15,65
B0BQQKTMVD,2023-10-22,109
B0BQQKTMVD,2023-10-29,205
B0BQQKTMVD,2023-11-05,188
B0BQQKTMVD,2023-11-12,258
B0BQQKTMVD,2023-11-19,62
B0BQQKTMVD,2023-11-26,45
B0BQQKTMVD,2023-12-03,64
