asin,date,daily_salesrank
B09N71PGTB,2023/1/1,7
B09N71PGTB,2023/1/2,7
B09N71PGTB,2023/1/3,7
B09N71PGTB,2023/1/4,7
B09N71PGTB,2023/1/5,5
B09N71PGTB,2023/1/6,4
B09N71PGTB,2023/1/7,5
B09N71PGTB,2023/1/8,5
B09N71PGTB,2023/1/9,5
B09N71PGTB,2023/1/10,7
B09N71PGTB,2023/1/11,6
B09N71PGTB,2023/1/12,5
B09N71PGTB,2023/1/13,4
B09N71PGTB,2023/1/14,
B09N71PGTB,2023/1/15,
B09N71PGTB,2023/1/16,
B09N71PGTB,2023/1/17,5
B09N71PGTB,2023/1/18,4
B09N71PGTB,2023/1/19,
B09N71PGTB,2023/1/20,
B09N71PGTB,2023/1/21,4
B09N71PGTB,2023/1/22,5
B09N71PGTB,2023/1/23,6
B09N71PGTB,2023/1/24,4
B09N71PGTB,2023/1/25,7
B09N71PGTB,2023/1/26,9
B09N71PGTB,2023/1/27,8
B09N71PGTB,2023/1/28,8
B09N71PGTB,2023/1/29,12
B09N71PGTB,2023/1/30,14
B09N71PGTB,2023/1/31,10
B09N71PGTB,2023/2/1,5
B09N71PGTB,2023/2/2,4
B09N71PGTB,2023/2/3,3
B09N71PGTB,2023/2/4,4
B09N71PGTB,2023/2/5,
B09N71PGTB,2023/2/6,4
B09N71PGTB,2023/2/7,4
B09N71PGTB,2023/2/8,
B09N71PGTB,2023/2/9,8
B09N71PGTB,2023/2/10,5
B09N71PGTB,2023/2/11,4
B09N71PGTB,2023/2/12,5
B09N71PGTB,2023/2/13,4
B09N71PGTB,2023/2/14,4
B09N71PGTB,2023/2/15,
B09N71PGTB,2023/2/16,4
B09N71PGTB,2023/2/17,4
B09N71PGTB,2023/2/18,7
B09N71PGTB,2023/2/19,12
B09N71PGTB,2023/2/20,14
B09N71PGTB,2023/2/21,10
B09N71PGTB,2023/2/22,14
B09N71PGTB,2023/2/23,15
B09N71PGTB,2023/2/24,11
B09N71PGTB,2023/2/25,11
B09N71PGTB,2023/2/26,16
B09N71PGTB,2023/2/27,23
B09N71PGTB,2023/2/28,22
B09N71PGTB,2023/3/1,14
B09N71PGTB,2023/3/2,16
B09N71PGTB,2023/3/3,23
B09N71PGTB,2023/3/4,35
B09N71PGTB,2023/3/5,22
B09N71PGTB,2023/3/6,23
B09N71PGTB,2023/3/7,20
B09N71PGTB,2023/3/8,16
B09N71PGTB,2023/3/9,13
